columna,muestra_unicos
comunidades_autonomas,TOTAL NACIONAL | ANDALUCÍA | ARAGÓN | ASTURIAS (PRINCIPADO DE) | BALEARS (ILLES) | CANARIAS | CANTABRIA | CASTILLA Y LEÓN | CASTILLA - LA MANCHA | CATALUÑA | COMUNITAT VALENCIANA | EXTREMADURA | GALICIA | MADRID (COMUNIDAD DE) | MURCIA (REGIÓN DE) | NAVARRA (COMUNIDAD FORAL DE) | PAÍS VASCO | RIOJA (LA) | CIUDAD AUTÓNOMA DE CEUTA | CIUDAD AUTÓNOMA DE MELILLA | EN EL EXTRANJERO | DESCONOCIDA
tipologia_penal,1. CONTRA LAS PERSONAS | 1.1.-Homicidios dolosos/asesinatos | 1.1.1.-Homicidios dolosos/asesinatos consumados | 1.2.-Lesiones | 1.3.-Malos tratos ámbito familiar | 1.4.-Otros contra las personas | 2. CONTRA LA LIBERTAD | 2.1.-Malos tratos habituales en el ámbito familiar | 2.2.-Otros contra la libertad | 3. LIBERTAD SEXUAL | 3.1.-Agresión sexual | 3.2.-Agresión sexual con penetración | 3.3.-Corrupción de menores o incapacitados | 3.4.-Pornografía de menores | 3.5.-Otros contra la libertad sexual | 4. RELACIONES FAMILIARES | 5. PATRIMONIO | 5.1.-Hurtos | 5.2.-Robos con fuerza en las cosas | 5.2.1.-Robos con fuerza en las cosas en el interior de vehículos | 5.2.2.-Robos con fuerza en viviendas | 5.2.3.-Robos con fuerza en establecimientos | 5.3.-Robos con violencia o intimidación | 5.3.1.-Robos con violencia en vía pública | 5.3.2.-Robos con violencia en viviendas | 5.3.3.-Robos con violencia en establecimientos | 5.4.-Sustracción de vehículos | 5.5.-Estafas | 5.5.1.-Estafas informáticas | 5.6.-Daños | 5.7.-Contra la propiedad intelectual/industrial | 5.8.-Blanqueo de capitales | 5.9.-Otros contra el patrimonio | 6. SEGURIDAD COLECTIVA | 6.1.-Tráfico de drogas | 6.2.-Contra la seguridad vial | 6.3.-Otros contra la seguridad colectiva | 7. FALSEDADES | 8. ADMÓN. PÚBLICA | 9. ADMÓN. JUSTICIA | 10. ORDEN PÚBLICO | 11. LEGISLACIÓN ESPECIAL | 12. OTRAS INFRACCIONES PENALES | TOTAL INFRACCIONES PENALES
periodo,2023 | 2022 | 2021 | 2020 | 2019 | 2018 | 2017 | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010
total,195.302 | 181.894 | 159.540 | 141.869 | 159.909 | 153.525 | 150.363 | 145.212 | 189.246 | 233.846 | 230.390 | 237.300 | 244.461 | 244.533 | 1.544 | 1.384 | 1.165 | 1.101 | 1.090 | 1.008 | 1.029 | 1.019 | 893 | 950 | 889 | 1.031 | 1.107 | 1.103 | 315 | 319 | 261 | 279 | 254 | 227 | 236 | 210 | 244 | 232 | 228 | 252 | 271 | 281 | 90.444 | 86.577 | 74.813 | 64.416 | 79.537 | 78.214 | 78.624 | 77.292
