x,y,pearson_r,pearson_p,n,spearman_r,spearman_p,kendall_r,kendall_p
pct_extranjeros,share_extranjeros,0.9761258828341012,5.868505369578265e-8,12,0.9720279720279722,1.2868115751494757e-7,0.9090909090909092,3.882670788364902e-5
pct_extranjeros,tasa_hc_100k,0.9550345198046504,1.3422026540570656e-6,12,0.9790209790209792,3.089801398548779e-8,0.9393939393939394,2.123454219485978e-5
pct_extranjeros,tasa_he_100k,0.9032197166967416,5.673011888296583e-5,12,0.8741258741258742,2.0071307332423193e-4,0.7272727272727273,9.966088437560236e-4
