scope,method,x,y,n,estimate,p_value,conf_low,conf_high,block,p_adj_fdr
total,kendall,d_tasa_hc_100k,d_share_ext,13,0.38461538461538464,0.06721007896807413,NA,NA,deltas,0.06721007896807413
total,pearson,d_tasa_he_100k,d_pct_extran,13,0.348429846476121,0.24332335383494155,-0.2506811544603522,0.7545557447464992,deltas,0.4688826376832445
total,spearman,d_tasa_he_100k,d_pct_extran,13,0.5274725274725275,0.06395489148355481,NA,NA,deltas,0.0959323372253322
total,kendall,d_tasa_he_100k,d_pct_extran,13,0.38461538461538464,0.06721007896807413,NA,NA,deltas,0.06721007896807413
total,pearson,d_tasa_he_100k,d_share_ext,13,-0.11561941103809388,0.7068181026570932,-0.6266821780361898,0.46498774766508544,deltas,0.7068181026570932
total,spearman,d_tasa_he_100k,d_share_ext,13,0.4175824175824176,0.15567475363347455,NA,NA,deltas,0.15567475363347455
total,kendall,d_tasa_he_100k,d_share_ext,13,0.41025641025641024,0.05090444811242372,NA,NA,deltas,0.06721007896807413
total,pearson,d_pct_extran,d_share_ext,13,0.7633279749056843,0.0023972423412553,0.3664761091314672,0.92519320894677,deltas,0.0071917270237659
total,spearman,d_pct_extran,d_share_ext,13,0.8956043956043956,3.4809729944820617e-5,NA,NA,deltas,1.3696312322234082e-4
total,kendall,d_pct_extran,d_share_ext,13,0.717948717948718,6.343219821947077e-4,NA,NA,deltas,0.00190296594658412
sin_covid,pearson,d_tasa_hc_100k,d_tasa_he_100k,11,0.8220452778529311,0.00190247267490951,0.438313215319154,0.95231199107017,deltas,0.00517585715447638
sin_covid,spearman,d_tasa_hc_100k,d_tasa_he_100k,11,0.8181818181818182,0.00208314484047869,NA,NA,deltas,0.00373251397246301
sin_covid,kendall,d_tasa_hc_100k,d_tasa_he_100k,11,0.6727272727272727,0.00397112854491422,NA,NA,deltas,0.00476535425389706
sin_covid,pearson,d_tasa_hc_100k,d_pct_extran,11,0.8085724530417305,0.00258792857723819,0.4052711213753624,0.9484223857553136,deltas,0.00517585715447638
sin_covid,spearman,d_tasa_hc_100k,d_pct_extran,11,0.890909090909091,2.3345817037873244e-4,NA,NA,deltas,7.003745111361973e-4
sin_covid,kendall,d_tasa_hc_100k,d_pct_extran,11,0.7090909090909091,0.00239623396967502,NA,NA,deltas,0.00476535425389706
sin_covid,pearson,d_tasa_hc_100k,d_share_ext,11,0.7884851655046672,0.00393068746389076,0.35788896663415276,0.9425439250771512,deltas,0.00589603119583614
sin_covid,spearman,d_tasa_hc_100k,d_share_ext,11,0.8090909090909091,0.00255858019971391,NA,NA,deltas,0.00373251397246301
sin_covid,kendall,d_tasa_hc_100k,d_share_ext,11,0.6727272727272727,0.00397112854491422,NA,NA,deltas,0.00476535425389706
sin_covid,pearson,d_tasa_he_100k,d_pct_extran,11,0.7566145744823302,0.00703271616517456,0.2870026551026823,0.9330171815823132,deltas,0.00843925939820947
sin_covid,spearman,d_tasa_he_100k,d_pct_extran,11,0.7454545454545454,0.00845472888506159,NA,NA,deltas,0.00845472888506159
sin_covid,kendall,d_tasa_he_100k,d_pct_extran,11,0.6,0.01019787677624024,NA,NA,deltas,0.01019787677624024
sin_covid,pearson,d_tasa_he_100k,d_share_ext,11,0.7318926759905698,0.01045230242114157,0.23534411388479065,0.9254529883993264,deltas,0.01045230242114157
sin_covid,spearman,d_tasa_he_100k,d_share_ext,11,0.8,0.00311042831038585,NA,NA,deltas,0.00373251397246301
sin_covid,kendall,d_tasa_he_100k,d_share_ext,11,0.7090909090909091,0.00239623396967502,NA,NA,deltas,0.00476535425389706
sin_covid,pearson,d_pct_extran,d_share_ext,11,0.9176194720677108,6.864272872698031e-5,0.7068165975785927,0.9787401341913236,deltas,4.118563723618819e-4
sin_covid,spearman,d_pct_extran,d_share_ext,11,0.9,1.5997142806871369e-4,NA,NA,deltas,7.003745111361973e-4
sin_covid,kendall,d_pct_extran,d_share_ext,11,0.7454545454545455,0.00141366843766858,NA,NA,deltas,0.00476535425389706
total,partial,pct_extranjeros,share_extranjeros,14,0.9568121566717588,3.976186986473543e-6,NA,NA,parciales,2.385712191884126e-5
total,partial,pct_extranjeros,tasa_hc_100k,14,0.8425468117350827,0.00113162165705821,NA,NA,parciales,0.00135794598846985
total,partial,pct_extranjeros,tasa_he_100k,14,0.9253425870664757,4.458198747800901e-5,NA,NA,parciales,8.916397495601802e-5
total,partial,share_extranjeros,tasa_hc_100k,14,0.7342352138060536,0.01008502665703403,NA,NA,parciales,0.01008502665703403
total,partial,share_extranjeros,tasa_he_100k,14,0.8475805267424891,9.85196450102085e-4,NA,NA,parciales,0.00135794598846985
total,partial,tasa_hc_100k,tasa_he_100k,14,0.940840172030554,1.6007951713630302e-5,NA,NA,parciales,4.80238551408909e-5
sin_covid,partial,pct_extranjeros,share_extranjeros,12,0.9473371546535012,1.0479822991068405e-4,NA,NA,parciales,3.1439468973205214e-4
sin_covid,partial,pct_extranjeros,tasa_hc_100k,12,0.9579230168681632,4.82827146801921e-5,NA,NA,parciales,2.8969628808115256e-4
sin_covid,partial,pct_extranjeros,tasa_he_100k,12,0.9196206947043636,4.4782221874834416e-4,NA,NA,parciales,8.956444374966883e-4
sin_covid,partial,share_extranjeros,tasa_hc_100k,12,0.8335976742986768,0.00523794907368194,NA,NA,parciales,0.00523794907368194
sin_covid,partial,share_extranjeros,tasa_he_100k,12,0.8507513576941865,0.00364304205617944,NA,NA,parciales,0.00437165046741532
sin_covid,partial,tasa_hc_100k,tasa_he_100k,12,0.910404255911159,6.487736848440284e-4,NA,NA,parciales,9.731605272660428e-4
total,partial_delta,d_pct_extran,d_share_ext,13,0.8487477455094679,4.808588074166578e-4,NA,NA,parciales,0.00144257642224997
total,partial_delta,d_pct_extran,d_tasa_hc_100k,13,0.5845912603475765,0.04589981991823382,NA,NA,parciales,0.09179963983646763
total,partial_delta,d_pct_extran,d_tasa_he_100k,13,0.5071042982854983,0.09242710645150332,NA,NA,parciales,0.13864065967725497
total,partial_delta,d_share_ext,d_tasa_hc_100k,13,0.34384077869262647,0.2738035494939995,NA,NA,parciales,0.3212170241449433
total,partial_delta,d_share_ext,d_tasa_he_100k,13,0.3134060150678339,0.3212170241449433,NA,NA,parciales,0.3212170241449433
total,partial_delta,d_tasa_hc_100k,d_tasa_he_100k,13,0.8676104897316073,2.5538947132199995e-4,NA,NA,parciales,0.00144257642224997
sin_covid,partial_delta,d_pct_extran,d_share_ext,11,0.9005811882351725,3.7850783669677744e-4,NA,NA,parciales,0.00171365119035147
sin_covid,partial_delta,d_pct_extran,d_tasa_hc_100k,11,0.7654367524287539,0.00986823793524259,NA,NA,parciales,0.01274644591552893
sin_covid,partial_delta,d_pct_extran,d_tasa_he_100k,11,0.7797883169344854,0.00781110958018885,NA,NA,parciales,0.01274644591552893
sin_covid,partial_delta,d_share_ext,d_tasa_hc_100k,11,0.7311667669012422,0.01627346868330582,NA,NA,parciales,0.01627346868330582
sin_covid,partial_delta,d_share_ext,d_tasa_he_100k,11,0.760709299062995,0.01062203826294078,NA,NA,parciales,0.01274644591552893
sin_covid,partial_delta,d_tasa_hc_100k,d_tasa_he_100k,11,0.8894237794374235,5.712170634504927e-4,NA,NA,parciales,0.00171365119035147
