ano,total,espanola,extranjera,share_ext,yoy_total,yoy_esp,yoy_ext
2010,1043231,833235,209996,0.20129386492540963,NA,NA,NA
2011,1386146,1122501,263645,0.1902000222198816,0.32870476433311513,0.3471601648994582,0.2554762947865674
2012,1369422,1117504,251918,0.18395936387760675,-0.01206510713878628,-0.00445166641276939,-0.04448026702573537
2013,1359716,1116332,243384,0.17899620214809564,-0.0070876618018405,-0.00104876582097246,-0.03387610254130313
2014,1277890,1068881,209009,0.1635578962195494,-0.06017874320814054,-0.04250617199901108,-0.1412377148867633
2015,1120731,945414,175317,0.15643093659406226,-0.12298319886688214,-0.11551051988013628,-0.16119880005167242
2016,1086148,912374,173774,0.15999108777072735,-0.03085753851727135,-0.03494765256279264,-0.00880120011179752
2017,1107278,931274,176004,0.15895195244554663,0.01945407071596139,0.02071518916584636,0.01283275979145326
2018,1160538,970571,189967,0.16368873746486542,0.04809993515630229,0.04219703331135638,0.07933342424035827
2019,1210154,1003872,206282,0.1704592969159297,0.04275258543882243,0.0343107304875172,0.08588333763232558
2020,1214179,961833,252346,0.2078326177606432,0.00332602296897754,-0.04187685282585829,0.22330595980260037
2021,1330364,1049100,281264,0.2114188297338172,0.09569017418354298,0.090729887620824,0.11459662526848048
2022,1500269,1163586,336683,0.2244150882275112,0.12771316722340642,0.10912782384901344,0.1970355253427385
2023,1646992,1260096,386896,0.2349106735187542,0.09779779492877604,0.08294187107785755,0.14914028923349254
