token,n
Con carencia material severa,1
En riesgo de pobreza (renta año anterior a la entrevista),1
Tasa de riesgo de pobreza o exclusión social (indicador AROPE),1
Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),1
