columna,muestra_unicos
raw_region,"ANDALUCÍA | Andalucía | ARAGÓN | Aragón | CANARIAS | Canarias | CANTABRIA | Cantabria | CASTILLA Y LEÓN | Castilla y León | CASTILLA - LA MANCHA | Castilla - La Mancha | CATALUÑA | Cataluña | CIUDAD AUTÓNOMA DE CEUTA | Ceuta | NAVARRA (COMUNIDAD FORAL DE) | Navarra, Comunidad Foral de | COMUNITAT VALENCIANA | Comunitat Valenciana | MADRID (COMUNIDAD DE) | Madrid, Comunidad de | EXTREMADURA | Extremadura | GALICIA | Galicia | BALEARS (ILLES) | Balears, Illes | RIOJA (LA) | Rioja, La | CIUDAD AUTÓNOMA DE MELILLA | Melilla | PAÍS VASCO | País Vasco | ASTURIAS (PRINCIPADO DE) | Asturias, Principado de | MURCIA (REGIÓN DE) | Murcia, Región de"
propuesta_region,Andalucía | Aragón | Canarias | Cantabria | Castilla y León | Castilla-La Mancha | Cataluña | Ceuta | Comunidad Foral de Navarra | Comunidad Valenciana | Comunidad de Madrid | Extremadura | Galicia | Illes Balears | La Rioja | Melilla | País Vasco | Principado de Asturias | Región de Murcia
