ano,delito5,nacionalidad,valor
2010,9. admon. justicia,total,18876
2010,total infracciones penales,espanoles,243929
2010,total infracciones penales,extranjeros,108038
2010,total infracciones penales,total,351967
2011,1. contra las personas,espanoles,72994
2011,1. contra las personas,extranjeros,28182
2011,1. contra las personas,total,101176
2011,1.1.-homicidios dolosos/asesinatos,espanoles,991
2011,1.1.-homicidios dolosos/asesinatos,extranjeros,399
2011,1.1.-homicidios dolosos/asesinatos,total,1390
2011,1.1.1.-homicidios dolosos/asesinatos consumados,espanoles,275
2011,1.1.1.-homicidios dolosos/asesinatos consumados,extranjeros,176
2011,1.1.1.-homicidios dolosos/asesinatos consumados,total,451
2011,1.2.-lesiones,espanoles,22778
2011,1.2.-lesiones,extranjeros,8541
2011,1.2.-lesiones,total,31319
2011,1.3.-malos tratos ambito familiar,espanoles,35628
2011,1.3.-malos tratos ambito familiar,extranjeros,16260
2011,1.3.-malos tratos ambito familiar,total,51888
2011,1.4.-otros contra las personas,espanoles,13597
2011,1.4.-otros contra las personas,extranjeros,2982
2011,1.4.-otros contra las personas,total,16579
2011,10. orden publico,espanoles,18794
2011,10. orden publico,extranjeros,9322
2011,10. orden publico,total,28116
2011,11. legislacion especial,espanoles,195
2011,11. legislacion especial,extranjeros,58
2011,11. legislacion especial,total,253
2011,12. otras infracciones penales,espanoles,2300
2011,12. otras infracciones penales,extranjeros,1717
2011,12. otras infracciones penales,total,4017
2011,2. contra la libertad,espanoles,21952
2011,2. contra la libertad,extranjeros,6799
2011,2. contra la libertad,total,28751
2011,2.1.-malos tratos habituales en el ambito familiar,espanoles,9153
2011,2.1.-malos tratos habituales en el ambito familiar,extranjeros,3011
2011,2.1.-malos tratos habituales en el ambito familiar,total,12164
2011,2.2.-otros contra la libertad,espanoles,12799
2011,2.2.-otros contra la libertad,extranjeros,3788
2011,2.2.-otros contra la libertad,total,16587
2011,3. libertad sexual,espanoles,4409
2011,3. libertad sexual,extranjeros,2288
2011,3. libertad sexual,total,6697
2011,3.1.-agresion sexual,espanoles,2237
2011,3.1.-agresion sexual,extranjeros,1105
2011,3.1.-agresion sexual,total,3342
2011,3.2.-agresion sexual con penetracion,espanoles,841
2011,3.2.-agresion sexual con penetracion,extranjeros,534
2011,3.2.-agresion sexual con penetracion,total,1375
2011,3.3.-corrupcion de menores o incapacitados,espanoles,160
2011,3.3.-corrupcion de menores o incapacitados,extranjeros,53
2011,3.3.-corrupcion de menores o incapacitados,total,213
2011,3.4.-pornografia de menores,espanoles,421
2011,3.4.-pornografia de menores,extranjeros,43
2011,3.4.-pornografia de menores,total,464
2011,3.5.-otros contra la libertad sexual,espanoles,750
2011,3.5.-otros contra la libertad sexual,extranjeros,553
2011,3.5.-otros contra la libertad sexual,total,1303
2011,4. relaciones familiares,espanoles,2044
2011,4. relaciones familiares,extranjeros,516
2011,4. relaciones familiares,total,2560
2011,5. patrimonio,espanoles,130331
2011,5. patrimonio,extranjeros,54480
2011,5. patrimonio,total,184811
2011,5.1.-hurtos,espanoles,41041
2011,5.1.-hurtos,extranjeros,21823
2011,5.1.-hurtos,total,62864
2011,5.2.-robos con fuerza en las cosas,espanoles,42490
2011,5.2.-robos con fuerza en las cosas,extranjeros,14469
2011,5.2.-robos con fuerza en las cosas,total,56959
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,espanoles,8777
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,extranjeros,2602
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,11379
2011,5.2.2.-robos con fuerza en viviendas,espanoles,7428
