columna,n,n_na,n_unicos,ejemplo,na_pct
edad,3666,0,13,Total | De 16 a 19 años | De 20 a 24 años | De 25 a 29 años | De 30 a 34 años,0
sexo,3666,0,3,Ambos sexos | Hombres | Mujeres,0
periodo,3666,0,94,2025T2 | 2025T1 | 2024T4 | 2024T3 | 2024T2,0
total,3666,0,2199,"10,29 | 11,36 | 10,61 | 11,21 | 11,27",0
