ano,tipo,hechos_conocidos,hechos_esclarecidos,exceso,exceso_pct,hc_lag1,ok_por_desfase_1y,severidad
2022,5.2.3.-Robos con fuerza en establecimientos,31552,8086,-23466,-0.743724645030426,27198,TRUE,ok
2023,5.2.3.-Robos con fuerza en establecimientos,35072,9411,-25661,-0.7316662864963503,31552,TRUE,ok
2010,5.3.-Robos con violencia o intimidación,84411,21666,-62745,-0.7433272914667519,NA,FALSE,ok
2011,5.3.-Robos con violencia o intimidación,87718,21146,-66572,-0.7589320321940765,84411,TRUE,ok
2012,5.3.-Robos con violencia o intimidación,96607,21820,-74787,-0.7741364497396669,87718,TRUE,ok
2013,5.3.-Robos con violencia o intimidación,86034,22064,-63970,-0.7435432503428877,96607,TRUE,ok
2014,5.3.-Robos con violencia o intimidación,70855,18383,-52472,-0.7405546538705807,86034,TRUE,ok
2015,5.3.-Robos con violencia o intimidación,64581,16028,-48553,-0.75181554946501294,70855,TRUE,ok
2016,5.3.-Robos con violencia o intimidación,62952,16355,-46597,-0.740198881687635,64581,TRUE,ok
2017,5.3.-Robos con violencia o intimidación,61763,16049,-45714,-0.7401518708611952,62952,TRUE,ok
2018,5.3.-Robos con violencia o intimidación,60295,16043,-44252,-0.7339248693921553,61763,TRUE,ok
2019,5.3.-Robos con violencia o intimidación,65874,18196,-47678,-0.723775692989647,60295,TRUE,ok
2020,5.3.-Robos con violencia o intimidación,45263,14569,-30694,-0.6781256213684467,65874,TRUE,ok
2021,5.3.-Robos con violencia o intimidación,53073,16037,-37036,-0.6978312889793303,45263,TRUE,ok
2022,5.3.-Robos con violencia o intimidación,63392,19040,-44352,-0.6996466431095406,53073,TRUE,ok
2023,5.3.-Robos con violencia o intimidación,64711,21381,-43330,-0.669592495866236,63392,TRUE,ok
2010,5.3.1.-Robos con violencia en vía pública,42238,9330,-32908,-0.7791088593209906,NA,FALSE,ok
2011,5.3.1.-Robos con violencia en vía pública,38831,8516,-30315,-0.780690685277227,42238,TRUE,ok
2012,5.3.1.-Robos con violencia en vía pública,45144,9278,-35866,-0.7944798865851498,38831,TRUE,ok
2013,5.3.1.-Robos con violencia en vía pública,38975,8937,-30038,-0.770699166132136,45144,TRUE,ok
2014,5.3.1.-Robos con violencia en vía pública,31830,7558,-24272,-0.7625510524662268,38975,TRUE,ok
2015,5.3.1.-Robos con violencia en vía pública,28949,6414,-22535,-0.7784379425886905,31830,TRUE,ok
2016,5.3.1.-Robos con violencia en vía pública,28900,6737,-22163,-0.7668858131487889,28949,TRUE,ok
2017,5.3.1.-Robos con violencia en vía pública,27561,6463,-21098,-0.7655019774318784,28900,TRUE,ok
2018,5.3.1.-Robos con violencia en vía pública,24681,5996,-18685,-0.7570600867063734,27561,TRUE,ok
2019,5.3.1.-Robos con violencia en vía pública,25916,6927,-18989,-0.732713381694706,24681,TRUE,ok
2020,5.3.1.-Robos con violencia en vía pública,30162,7998,-22164,-0.7348319076984284,25916,TRUE,ok
2021,5.3.1.-Robos con violencia en vía pública,35726,8999,-26727,-0.7481106197167329,30162,TRUE,ok
2022,5.3.1.-Robos con violencia en vía pública,43100,10911,-32189,-0.7468445475638051,35726,TRUE,ok
2023,5.3.1.-Robos con violencia en vía pública,44406,12405,-32001,-0.7206458586677476,43100,TRUE,ok
2010,5.3.2.-Robos con violencia en viviendas,4950,1211,-3739,-0.7553535353535353,NA,FALSE,ok
2011,5.3.2.-Robos con violencia en viviendas,5450,1205,-4245,-0.7788990825688074,4950,TRUE,ok
2012,5.3.2.-Robos con violencia en viviendas,6912,1420,-5492,-0.7945601851851852,5450,TRUE,ok
2013,5.3.2.-Robos con violencia en viviendas,6306,1641,-4665,-0.7397716460513797,6912,TRUE,ok
2014,5.3.2.-Robos con violencia en viviendas,4697,1334,-3363,-0.7159889291036832,6306,TRUE,ok
2015,5.3.2.-Robos con violencia en viviendas,3929,1195,-2734,-0.695851361669636,4697,TRUE,ok
2016,5.3.2.-Robos con violencia en viviendas,3521,1169,-2352,-0.6679920477137177,3929,TRUE,ok
2017,5.3.2.-Robos con violencia en viviendas,3389,1119,-2270,-0.6698141044555916,3521,TRUE,ok
2018,5.3.2.-Robos con violencia en viviendas,3233,1154,-2079,-0.6430559851531086,3389,TRUE,ok
2019,5.3.2.-Robos con violencia en viviendas,3223,1181,-2042,-0.6335712069500465,3233,TRUE,ok
2020,5.3.2.-Robos con violencia en viviendas,3208,1351,-1857,-0.5788653366583542,3223,TRUE,ok
2021,5.3.2.-Robos con violencia en viviendas,3477,1479,-1998,-0.5746333045729077,3208,TRUE,ok
2022,5.3.2.-Robos con violencia en viviendas,3669,1492,-2177,-0.5933496865630962,3477,TRUE,ok
2023,5.3.2.-Robos con violencia en viviendas,3844,1646,-2198,-0.5718002081165453,3669,TRUE,ok
2010,5.3.3.-Robos con violencia en establecimientos,7772,3474,-4298,-0.5530108080288214,NA,FALSE,ok
2011,5.3.3.-Robos con violencia en establecimientos,6458,2898,-3560,-0.5512542582842985,7772,TRUE,ok
2012,5.3.3.-Robos con violencia en establecimientos,6822,2965,-3857,-0.5653767223688068,6458,TRUE,ok
2013,5.3.3.-Robos con violencia en establecimientos,6747,3245,-3502,-0.5190455017044613,6822,TRUE,ok
2014,5.3.3.-Robos con violencia en establecimientos,5489,2791,-2698,-0.4915285115685918,6747,TRUE,ok
2015,5.3.3.-Robos con violencia en establecimientos,5168,2500,-2668,-0.5162538699690402,5489,TRUE,ok
2016,5.3.3.-Robos con violencia en establecimientos,5174,2625,-2549,-0.4926555856204098,5168,TRUE,ok
2017,5.3.3.-Robos con violencia en establecimientos,5383,2901,-2482,-0.4610811814973063,5174,TRUE,ok
2018,5.3.3.-Robos con violencia en establecimientos,5355,2954,-2401,-0.44836601307189544,5383,TRUE,ok
2019,5.3.3.-Robos con violencia en establecimientos,5609,3129,-2480,-0.4421465501871991,5355,TRUE,ok
2020,5.3.3.-Robos con violencia en establecimientos,6138,3558,-2580,-0.4203323558162268,5609,TRUE,ok
2021,5.3.3.-Robos con violencia en establecimientos,6663,3644,-3019,-0.4530992045625094,6138,TRUE,ok
2022,5.3.3.-Robos con violencia en establecimientos,8210,4508,-3702,-0.4509135200974421,6663,TRUE,ok
2023,5.3.3.-Robos con violencia en establecimientos,8238,5101,-3137,-0.38079630978392814,8210,TRUE,ok
2010,5.4.-Sustracción de vehículos,65948,17252,-48696,-0.7383999514769212,NA,FALSE,ok
2011,5.4.-Sustracción de vehículos,60061,15519,-44542,-0.7416126937613426,65948,TRUE,ok
2012,5.4.-Sustracción de vehículos,55197,13875,-41322,-0.7486276428066743,60061,TRUE,ok
2013,5.4.-Sustracción de vehículos,48855,13105,-35750,-0.7317572408146557,55197,TRUE,ok
2014,5.4.-Sustracción de vehículos,43206,11690,-31516,-0.7294357265194649,48855,TRUE,ok
2015,5.4.-Sustracción de vehículos,43170,11660,-31510,-0.7299050266388696,43206,TRUE,ok
2016,5.4.-Sustracción de vehículos,43335,11878,-31457,-0.7259028498903888,43170,TRUE,ok
2017,5.4.-Sustracción de vehículos,42519,11909,-30610,-0.7199134504574426,43335,TRUE,ok
2018,5.4.-Sustracción de vehículos,35897,10988,-24909,-0.6939019973813968,42519,TRUE,ok
2019,5.4.-Sustracción de vehículos,35105,10981,-24124,-0.6871955561885771,35897,TRUE,ok
2020,5.4.-Sustracción de vehículos,25387,8159,-17228,-0.6786150391932879,35105,TRUE,ok
2021,5.4.-Sustracción de vehículos,26417,7893,-18524,-0.7012151266230079,25387,TRUE,ok
2022,5.4.-Sustracción de vehículos,30767,9325,-21442,-0.6969155263756622,26417,TRUE,ok
2023,5.4.-Sustracción de vehículos,32839,10854,-21985,-0.6694783641401991,30767,TRUE,ok
2010,5.5.-Estafas,102567,28514,-74053,-0.7219963536030107,NA,FALSE,ok
2011,5.5.-Estafas,106304,30319,-75985,-0.7147896598434678,102567,TRUE,ok
2012,5.5.-Estafas,124675,34019,-90656,-0.7271385602566673,106304,TRUE,ok
2013,5.5.-Estafas,122483,34852,-87631,-0.7154543895887593,124675,TRUE,ok
2014,5.5.-Estafas,140440,35659,-104781,-0.746090857305611,122483,TRUE,ok
2015,5.5.-Estafas,165300,36074,-129226,-0.7817664851784634,140440,TRUE,ok
2016,5.5.-Estafas,179756,37910,-141846,-0.7891030062974254,165300,TRUE,ok
2017,5.5.-Estafas,214625,39235,-175390,-0.8171927781013395,179756,TRUE,ok
2018,5.5.-Estafas,289259,46091,-243168,-0.8406583719089121,214625,TRUE,ok
2019,5.5.-Estafas,327723,49856,-277867,-0.8478715256481846,289259,TRUE,ok
2020,5.5.-Estafas,360844,46601,-314243,-0.8708555497666581,327723,TRUE,ok
2021,5.5.-Estafas,373113,53765,-319348,-0.8559015633333601,360844,TRUE,ok
2022,5.5.-Estafas,466566,63046,-403520,-0.8648722795917405,373113,TRUE,ok
2023,5.5.-Estafas,533379,71284,-462095,-0.8663539434435926,466566,TRUE,ok
2010,5.5.1.-Estafas informáticas,20563,4931,-15632,-0.7602003598696688,NA,FALSE,ok
2011,5.5.1.-Estafas informáticas,21075,4735,-16340,-0.7753262158956109,20563,TRUE,ok
2012,5.5.1.-Estafas informáticas,27231,5938,-21293,-0.7819397010759795,21075,TRUE,ok
2013,5.5.1.-Estafas informáticas,26664,7017,-19647,-0.7368361836183618,27231,TRUE,ok
2014,5.5.1.-Estafas informáticas,32842,7884,-24958,-0.7599415382741611,26664,TRUE,ok
2015,5.5.1.-Estafas informáticas,62038,10344,-51694,-0.8332634836712982,32842,TRUE,ok
2016,5.5.1.-Estafas informáticas,70178,11494,-58684,-0.8362164780985494,62038,TRUE,ok
2017,5.5.1.-Estafas informáticas,94792,12893,-81899,-0.863986412355473,70178,TRUE,ok
2018,5.5.1.-Estafas informáticas,136656,15542,-121114,-0.8862691722280763,94792,TRUE,ok
2019,5.5.1.-Estafas informáticas,192375,18712,-173663,-0.9027316439246263,136656,TRUE,ok
2020,5.5.1.-Estafas informáticas,257907,25596,-232311,-0.9007549232863008,192375,TRUE,ok
2021,5.5.1.-Estafas informáticas,267011,32085,-234926,-0.8798364112339941,257907,TRUE,ok
2022,5.5.1.-Estafas informáticas,335995,37607,-298388,-0.8880727391776664,267011,TRUE,ok
2023,5.5.1.-Estafas informáticas,427448,47029,-380419,-0.8899772603919073,335995,TRUE,ok
2010,5.6.-Daños,266291,33303,-232988,-0.8749375682993417,NA,FALSE,ok
2011,5.6.-Daños,254361,31461,-222900,-0.8763135858091453,266291,TRUE,ok
2012,5.6.-Daños,246355,30207,-216148,-0.8773842625479491,254361,TRUE,ok
2013,5.6.-Daños,226619,28849,-197770,-0.8726982291864318,246355,TRUE,ok
2014,5.6.-Daños,218166,27775,-190391,-0.8726886865964449,226619,TRUE,ok
2015,5.6.-Daños,215519,26091,-189428,-0.8789387478598175,218166,TRUE,ok
2016,5.6.-Daños,214709,26196,-188513,-0.8779930044851404,215519,TRUE,ok
2017,5.6.-Daños,214246,27284,-186962,-0.8726510646639843,214709,TRUE,ok
2018,5.6.-Daños,213815,26845,-186970,-0.8744475364216729,214246,TRUE,ok
2019,5.6.-Daños,219424,28309,-191115,-0.8709849423946332,213815,TRUE,ok
2020,5.6.-Daños,180429,25708,-154721,-0.857517361399775,219424,TRUE,ok
2021,5.6.-Daños,201828,29943,-171885,-0.8516410012485879,180429,TRUE,ok
2022,5.6.-Daños,213694,31558,-182136,-0.8523215438898613,201828,TRUE,ok
2023,5.6.-Daños,209299,31896,-177403,-0.8476055786219714,213694,TRUE,ok
2010,5.7.-Contra la propiedad intelectual/industrial,3619,3421,-198,-0.0547112462006079,NA,FALSE,ok
2011,5.7.-Contra la propiedad intelectual/industrial,2643,2363,-280,-0.10594021944759743,3619,TRUE,ok
2012,5.7.-Contra la propiedad intelectual/industrial,2884,2696,-188,-0.0651872399445215,2643,TRUE,ok
2013,5.7.-Contra la propiedad intelectual/industrial,3260,3145,-115,-0.0352760736196319,2884,TRUE,ok
2014,5.7.-Contra la propiedad intelectual/industrial,2608,2456,-152,-0.05828220858895705,3260,TRUE,ok
2015,5.7.-Contra la propiedad intelectual/industrial,2047,1865,-182,-0.08891060087933561,2608,TRUE,ok
2016,5.7.-Contra la propiedad intelectual/industrial,1889,1713,-176,-0.09317098994176812,2047,TRUE,ok
2017,5.7.-Contra la propiedad intelectual/industrial,1622,1447,-175,-0.10789149198520344,1889,TRUE,ok
2018,5.7.-Contra la propiedad intelectual/industrial,2205,2020,-185,-0.08390022675736962,1622,TRUE,ok
2019,5.7.-Contra la propiedad intelectual/industrial,1807,1573,-234,-0.12949640287769784,2205,TRUE,ok
2020,5.7.-Contra la propiedad intelectual/industrial,930,792,-138,-0.14838709677419354,1807,TRUE,ok
2021,5.7.-Contra la propiedad intelectual/industrial,1176,1018,-158,-0.13435374149659865,930,TRUE,ok
2022,5.7.-Contra la propiedad intelectual/industrial,1217,1068,-149,-0.12243221035332784,1176,TRUE,ok
2023,5.7.-Contra la propiedad intelectual/industrial,1451,1252,-199,-0.13714679531357685,1217,TRUE,ok
2010,5.8.-Blanqueo de capitales,182,162,-20,-0.10989010989010987,NA,FALSE,ok
2011,5.8.-Blanqueo de capitales,171,149,-22,-0.1286549707602339,182,TRUE,ok
2012,5.8.-Blanqueo de capitales,199,182,-17,-0.08542713567839195,171,TRUE,ok
2013,5.8.-Blanqueo de capitales,243,241,-2,-0.00823045267489712,199,TRUE,ok
2014,5.8.-Blanqueo de capitales,230,216,-14,-0.06086956521739131,243,TRUE,ok
2015,5.8.-Blanqueo de capitales,290,273,-17,-0.05862068965517241,230,TRUE,ok
2016,5.8.-Blanqueo de capitales,262,244,-18,-0.06870229007633588,290,TRUE,ok
2017,5.8.-Blanqueo de capitales,260,241,-19,-0.07307692307692308,262,TRUE,ok
2018,5.8.-Blanqueo de capitales,272,257,-15,-0.05514705882352941,260,TRUE,ok
2019,5.8.-Blanqueo de capitales,295,265,-30,-0.1016949152542373,272,TRUE,ok
2020,5.8.-Blanqueo de capitales,310,287,-23,-0.07419354838709677,295,TRUE,ok
2021,5.8.-Blanqueo de capitales,343,311,-32,-0.09329446064139942,310,TRUE,ok
2022,5.8.-Blanqueo de capitales,411,367,-44,-0.1070559610705596,343,TRUE,ok
2023,5.8.-Blanqueo de capitales,516,510,-6,-0.01162790697674418,411,TRUE,ok
2010,5.9.-Otros contra el patrimonio,26594,15056,-11538,-0.433857261036324,NA,FALSE,ok
2011,5.9.-Otros contra el patrimonio,29708,16572,-13136,-0.4421704591355864,26594,TRUE,ok
2012,5.9.-Otros contra el patrimonio,32495,19092,-13403,-0.4124634559162948,29708,TRUE,ok
2013,5.9.-Otros contra el patrimonio,40018,23582,-16436,-0.4107151781698235,32495,TRUE,ok
2014,5.9.-Otros contra el patrimonio,47804,26598,-21206,-0.4436030457702284,40018,TRUE,ok
2015,5.9.-Otros contra el patrimonio,44902,25036,-19866,-0.4424301812836845,47804,TRUE,ok
2016,5.9.-Otros contra el patrimonio,40393,23593,-16800,-0.4159136484044265,44902,TRUE,ok
2017,5.9.-Otros contra el patrimonio,44763,24955,-19808,-0.4425083216048969,40393,TRUE,ok
2018,5.9.-Otros contra el patrimonio,54384,28491,-25893,-0.4761142983230362,44763,TRUE,ok
2019,5.9.-Otros contra el patrimonio,58365,31068,-27297,-0.4676946800308404,54384,TRUE,ok
2020,5.9.-Otros contra el patrimonio,51220,28551,-22669,-0.44258102303787583,58365,TRUE,ok
2021,5.9.-Otros contra el patrimonio,56132,30118,-26014,-0.46344331219268864,51220,TRUE,ok
2022,5.9.-Otros contra el patrimonio,63240,32624,-30616,-0.484123972169513,56132,TRUE,ok
2023,5.9.-Otros contra el patrimonio,66366,33299,-33067,-0.498252117047886,63240,TRUE,ok
2010,6. SEGURIDAD COLECTIVA,74158,69842,-4316,-0.05820005933277596,NA,FALSE,ok
2011,6. SEGURIDAD COLECTIVA,85010,80297,-4713,-0.05544053640748147,74158,TRUE,ok
2012,6. SEGURIDAD COLECTIVA,76654,72382,-4272,-0.0557309468520886,85010,TRUE,ok
2013,6. SEGURIDAD COLECTIVA,71596,68223,-3373,-0.0471115704787977,76654,TRUE,ok
2014,6. SEGURIDAD COLECTIVA,66938,62185,-4753,-0.07100600555738146,71596,TRUE,ok
2015,6. SEGURIDAD COLECTIVA,60090,55506,-4584,-0.0762855716425362,66938,TRUE,ok
2016,6. SEGURIDAD COLECTIVA,58350,53781,-4569,-0.07830334190231363,60090,TRUE,ok
2017,6. SEGURIDAD COLECTIVA,59162,54620,-4542,-0.0767722524593489,58350,TRUE,ok
2018,6. SEGURIDAD COLECTIVA,64126,59223,-4903,-0.07645884664566635,59162,TRUE,ok
2019,6. SEGURIDAD COLECTIVA,68749,63291,-5458,-0.07939024567630075,64126,TRUE,ok
2020,6. SEGURIDAD COLECTIVA,60162,54163,-5999,-0.0997141052491606,68749,TRUE,ok
2021,6. SEGURIDAD COLECTIVA,68891,61529,-7362,-0.10686446705665471,60162,TRUE,ok
2022,6. SEGURIDAD COLECTIVA,76692,68559,-8133,-0.1060475668909404,68891,TRUE,ok
2023,6. SEGURIDAD COLECTIVA,77130,70346,-6784,-0.08795539997406976,76692,TRUE,ok
2010,6.1.-Tráfico de drogas,14391,13155,-1236,-0.085887012716281,NA,FALSE,ok
2011,6.1.-Tráfico de drogas,15220,14583,-637,-0.04185282522996058,14391,TRUE,ok
2012,6.1.-Tráfico de drogas,14509,13920,-589,-0.04059549245296023,15220,TRUE,ok
2013,6.1.-Tráfico de drogas,14296,13844,-452,-0.03161723559037493,14509,TRUE,ok
2014,6.1.-Tráfico de drogas,13411,12657,-754,-0.05622250391469689,14296,TRUE,ok
2015,6.1.-Tráfico de drogas,12069,11390,-679,-0.05625983925760212,13411,TRUE,ok
2016,6.1.-Tráfico de drogas,12448,11700,-748,-0.06008997429305912,12069,TRUE,ok
2017,6.1.-Tráfico de drogas,12958,12126,-832,-0.06420743941966353,12448,TRUE,ok
2018,6.1.-Tráfico de drogas,14133,13140,-993,-0.07026109106346848,12958,TRUE,ok
2019,6.1.-Tráfico de drogas,16624,15191,-1433,-0.08620067372473532,14133,TRUE,ok
2020,6.1.-Tráfico de drogas,17112,14717,-2395,-0.13996026180458157,16624,TRUE,ok
2021,6.1.-Tráfico de drogas,18313,15631,-2682,-0.1464533391579752,17112,TRUE,ok
2022,6.1.-Tráfico de drogas,19057,16629,-2428,-0.12740725192842525,18313,TRUE,ok
2023,6.1.-Tráfico de drogas,21033,18947,-2086,-0.0991774830029002,19057,TRUE,ok
2010,6.2.-Contra la seguridad vial,57088,54703,-2385,-0.04177760650224215,NA,FALSE,ok
2011,6.2.-Contra la seguridad vial,67374,64012,-3362,-0.04990055511027993,57088,TRUE,ok
2012,6.2.-Contra la seguridad vial,59634,56652,-2982,-0.05000503068719187,67374,TRUE,ok
2013,6.2.-Contra la seguridad vial,55226,52869,-2357,-0.04267917285336617,59634,TRUE,ok
2014,6.2.-Contra la seguridad vial,51419,48027,-3392,-0.06596783290223458,55226,TRUE,ok
2015,6.2.-Contra la seguridad vial,45991,42718,-3273,-0.07116609771477028,51419,TRUE,ok
2016,6.2.-Contra la seguridad vial,43913,40694,-3219,-0.07330403297429007,45991,TRUE,ok
2017,6.2.-Contra la seguridad vial,43942,40882,-3060,-0.0696372491010878,43913,TRUE,ok
2018,6.2.-Contra la seguridad vial,47648,44382,-3266,-0.06854432505036938,43942,TRUE,ok
2019,6.2.-Contra la seguridad vial,49869,46622,-3247,-0.06511058974513224,47648,TRUE,ok
2020,6.2.-Contra la seguridad vial,41120,38210,-2910,-0.07076848249027237,49869,TRUE,ok
2021,6.2.-Contra la seguridad vial,48394,44553,-3841,-0.07936934330702153,41120,TRUE,ok
2022,6.2.-Contra la seguridad vial,54976,50252,-4724,-0.08592840512223515,48394,TRUE,ok
2023,6.2.-Contra la seguridad vial,53517,49678,-3839,-0.07173421529607414,54976,TRUE,ok
2010,6.3.-Otros contra la seguridad colectiva,2679,1984,-695,-0.25942515864128407,NA,FALSE,ok
2011,6.3.-Otros contra la seguridad colectiva,2416,1702,-714,-0.2955298013245033,2679,TRUE,ok
2012,6.3.-Otros contra la seguridad colectiva,2511,1810,-701,-0.2791716447630426,2416,TRUE,ok
2013,6.3.-Otros contra la seguridad colectiva,2074,1510,-564,-0.2719382835101254,2511,TRUE,ok
2014,6.3.-Otros contra la seguridad colectiva,2108,1501,-607,-0.2879506641366224,2074,TRUE,ok
2015,6.3.-Otros contra la seguridad colectiva,2030,1398,-632,-0.31133004926108376,2108,TRUE,ok
2016,6.3.-Otros contra la seguridad colectiva,1989,1387,-602,-0.30266465560583206,2030,TRUE,ok
2017,6.3.-Otros contra la seguridad colectiva,2262,1612,-650,-0.28735632183908044,1989,TRUE,ok
2018,6.3.-Otros contra la seguridad colectiva,2345,1701,-644,-0.2746268656716418,2262,TRUE,ok
2019,6.3.-Otros contra la seguridad colectiva,2256,1478,-778,-0.3448581560283688,2345,TRUE,ok
2020,6.3.-Otros contra la seguridad colectiva,1930,1236,-694,-0.35958549222797925,2256,TRUE,ok
2021,6.3.-Otros contra la seguridad colectiva,2184,1345,-839,-0.3841575091575092,1930,TRUE,ok
2022,6.3.-Otros contra la seguridad colectiva,2659,1678,-981,-0.3689356901090636,2184,TRUE,ok
2023,6.3.-Otros contra la seguridad colectiva,2580,1721,-859,-0.3329457364341085,2659,TRUE,ok
2010,7. FALSEDADES,17502,11343,-6159,-0.3519026396983202,NA,FALSE,ok
2011,7. FALSEDADES,20175,11860,-8315,-0.4121437422552664,17502,TRUE,ok
2012,7. FALSEDADES,18223,11745,-6478,-0.35548482686714594,20175,TRUE,ok
2013,7. FALSEDADES,17262,11173,-6089,-0.3527401228131155,18223,TRUE,ok
2014,7. FALSEDADES,18408,11383,-7025,-0.38162755323772274,17262,TRUE,ok
2015,7. FALSEDADES,19224,11438,-7786,-0.4050145651269247,18408,TRUE,ok
2016,7. FALSEDADES,19958,12378,-7580,-0.37979757490730537,19224,TRUE,ok
2017,7. FALSEDADES,20640,12764,-7876,-0.3815891472868217,19958,TRUE,ok
2018,7. FALSEDADES,22399,14042,-8357,-0.3730970132595205,20640,TRUE,ok
2019,7. FALSEDADES,24529,14629,-9900,-0.4036038974275348,22399,TRUE,ok
2020,7. FALSEDADES,24020,11492,-12528,-0.5215653621981682,24529,TRUE,ok
2021,7. FALSEDADES,34058,14417,-19641,-0.5766927006870632,24020,TRUE,ok
2022,7. FALSEDADES,37717,15190,-22527,-0.5972638332847258,34058,TRUE,ok
2023,7. FALSEDADES,40889,15783,-25106,-0.6140037662941134,37717,TRUE,ok
2010,8. ADMÓN. PÚBLICA,416,345,-71,-0.17067307692307693,NA,FALSE,ok
2011,8. ADMÓN. PÚBLICA,341,268,-73,-0.21407624633431083,416,TRUE,ok
2012,8. ADMÓN. PÚBLICA,325,238,-87,-0.2676923076923077,341,TRUE,ok
2013,8. ADMÓN. PÚBLICA,391,310,-81,-0.2071611253196931,325,TRUE,ok
2014,8. ADMÓN. PÚBLICA,521,426,-95,-0.18234165067178504,391,TRUE,ok
2015,8. ADMÓN. PÚBLICA,535,384,-151,-0.2822429906542056,521,TRUE,ok
2016,8. ADMÓN. PÚBLICA,553,418,-135,-0.244122965641953,535,TRUE,ok
2017,8. ADMÓN. PÚBLICA,668,532,-136,-0.20359281437125748,553,TRUE,ok
2018,8. ADMÓN. PÚBLICA,510,447,-63,-0.12352941176470587,668,TRUE,ok
2019,8. ADMÓN. PÚBLICA,416,327,-89,-0.21394230769230768,510,TRUE,ok
2020,8. ADMÓN. PÚBLICA,350,231,-119,-0.34,416,TRUE,ok
2021,8. ADMÓN. PÚBLICA,541,407,-134,-0.2476894639556377,350,TRUE,ok
2022,8. ADMÓN. PÚBLICA,509,363,-146,-0.2868369351669941,541,TRUE,ok
2023,8. ADMÓN. PÚBLICA,506,353,-153,-0.30237154150197626,509,TRUE,ok
2010,9. ADMÓN. JUSTICIA,27905,26593,-1312,-0.04701666368034402,NA,FALSE,ok
2011,9. ADMÓN. JUSTICIA,29410,27459,-1951,-0.06633798027881672,27905,TRUE,ok
2012,9. ADMÓN. JUSTICIA,28205,26279,-1926,-0.06828576493529516,29410,TRUE,ok
2013,9. ADMÓN. JUSTICIA,27245,26383,-862,-0.03163883281336025,28205,TRUE,ok
2014,9. ADMÓN. JUSTICIA,28034,26405,-1629,-0.05810801170007847,27245,TRUE,ok
2015,9. ADMÓN. JUSTICIA,27538,25917,-1621,-0.0588641150410342,28034,TRUE,ok
2016,9. ADMÓN. JUSTICIA,27647,26178,-1469,-0.05313415560458639,27538,TRUE,ok
2017,9. ADMÓN. JUSTICIA,29001,27356,-1645,-0.05672218199372435,27647,TRUE,ok
2018,9. ADMÓN. JUSTICIA,30290,28851,-1439,-0.04750742819412347,29001,TRUE,ok
2019,9. ADMÓN. JUSTICIA,32082,30472,-1610,-0.05018390374664921,30290,TRUE,ok
2020,9. ADMÓN. JUSTICIA,31140,29679,-1461,-0.04691714836223507,32082,TRUE,ok
2021,9. ADMÓN. JUSTICIA,33370,31841,-1529,-0.04581959844171411,31140,TRUE,ok
2022,9. ADMÓN. JUSTICIA,37910,35972,-1938,-0.05112107623318385,33370,TRUE,ok
2023,9. ADMÓN. JUSTICIA,41910,40110,-1800,-0.04294917680744453,37910,TRUE,ok
2010,TOTAL INFRACCIONES PENALES,2297484,724995,-1572489,-0.6844395869568624,NA,FALSE,ok
2011,TOTAL INFRACCIONES PENALES,2285525,736175,-1549350,-0.6778967633257129,2297484,TRUE,ok
2012,TOTAL INFRACCIONES PENALES,2268867,728929,-1539938,-0.6787255489193504,2285525,TRUE,ok
2013,TOTAL INFRACCIONES PENALES,2172133,736368,-1435765,-0.660993134398308,2268867,TRUE,ok
2014,TOTAL INFRACCIONES PENALES,2092040,715357,-1376683,-0.6580576853215043,2172133,TRUE,ok
2015,TOTAL INFRACCIONES PENALES,2036815,659787,-1377028,-0.6760692551851788,2092040,TRUE,ok
2016,TOTAL INFRACCIONES PENALES,2009690,641353,-1368337,-0.6808696863695396,2036815,TRUE,ok
2017,TOTAL INFRACCIONES PENALES,2045784,654821,-1390963,-0.6799168436159438,2009690,TRUE,ok
2018,TOTAL INFRACCIONES PENALES,2131118,673594,-1457524,-0.6839245879392882,2045784,TRUE,ok
2019,TOTAL INFRACCIONES PENALES,2199475,702544,-1496931,-0.6805855942895463,2131118,TRUE,ok
2020,TOTAL INFRACCIONES PENALES,1766779,616665,-1150114,-0.6509665328827204,2199475,TRUE,ok
2021,TOTAL INFRACCIONES PENALES,1957719,685383,-1272336,-0.6499073666854129,1766779,TRUE,ok
2022,TOTAL INFRACCIONES PENALES,2323075,771302,-1551773,-0.6679823079323741,1957719,TRUE,ok
2023,TOTAL INFRACCIONES PENALES,2464759,845845,-1618914,-0.65682446032249,2323075,TRUE,ok
