ano,tipo,suma_ccaa,total_raw,delta,rel,usar_raw
2011,5.9.-otros contra el patrimonio,29633,29708,75,0.00253096210306077,TRUE
2011,6. seguridad colectiva,84986,85010,24,2.8239945402772223e-4,TRUE
2011,6.1.-trafico de drogas,15197,15220,23,0.00151345660327696,TRUE
2011,6.2.-contra la seguridad vial,67373,67374,1,1.4842741157436957e-5,TRUE
2011,6.3.-otros contra la seguridad colectiva,2416,2416,0,0,TRUE
2011,7. falsedades,19979,20175,196,0.00981030081585664,FALSE
2011,8. admon. publica,338,341,3,0.00887573964497041,TRUE
2011,9. admon. justicia,29401,29410,9,3.06112037005544e-4,TRUE
2011,total infracciones penales,2269756,2285525,15769,0.00694744280883055,FALSE
2012,1. contra las personas,286224,286446,222,7.756163005198726e-4,TRUE
2012,1.1.-homicidios dolosos/asesinatos,1124,1125,1,8.896797153024911e-4,TRUE
2012,1.1.1.-homicidios dolosos/asesinatos consumados,364,364,0,0,TRUE
2012,1.2.-lesiones,105869,105913,44,4.1560796833822934e-4,TRUE
2012,1.3.-malos tratos ambito familiar,59638,59703,65,0.00108990911834736,TRUE
2012,1.4.-otros contra las personas,119593,119705,112,9.365096619367354e-4,TRUE
2012,10. orden publico,33577,33582,5,1.4891145724752063e-4,TRUE
2012,11. legislacion especial,237,237,0,0,TRUE
2012,12. otras infracciones penales,6645,6655,10,0.00150489089541008,TRUE
2012,2. contra la libertad,44386,44476,90,0.00202766638129139,TRUE
2012,2.1.-malos tratos habituales en el ambito familiar,17507,17523,16,9.139201462272234e-4,TRUE
2012,2.2.-otros contra la libertad,26879,26953,74,0.00275307861155548,TRUE
2012,3. libertad sexual,8984,9008,24,0.00267141585040071,TRUE
2012,3.1.-agresion sexual,5089,5101,12,0.00235802711731184,TRUE
2012,3.2.-agresion sexual con penetracion,1629,1631,2,0.00122774708410067,TRUE
2012,3.3.-corrupcion de menores o incapacitados,276,278,2,0.0072463768115942,TRUE
2012,3.4.-pornografia de menores,564,569,5,0.00886524822695035,TRUE
2012,3.5.-otros contra la libertad sexual,1426,1429,3,0.00210378681626928,TRUE
2012,4. relaciones familiares,10377,10424,47,0.00452924737400019,TRUE
2012,5. patrimonio,1738733,1754632,15899,0.00914401463594468,FALSE
2012,5.1.-hurtos,787714,790281,2567,0.00325879697453644,TRUE
2012,5.2.-robos con fuerza en las cosas,405614,405939,325,8.012543945721795e-4,TRUE
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,139352,139483,131,9.400654457775992e-4,TRUE
2012,5.2.2.-robos con fuerza en viviendas,126403,126425,22,1.740465020608688e-4,TRUE
2012,5.2.3.-robos con fuerza en establecimientos,41546,41559,13,3.129061762865258e-4,TRUE
2012,5.3.-robos con violencia o intimidacion,96402,96607,205,0.0021265118980934,TRUE
2012,5.3.1.-robos con violencia en via publica,45000,45144,144,0.0032,TRUE
2012,5.3.2.-robos con violencia en viviendas,6909,6912,3,4.342162396873643e-4,TRUE
2012,5.3.3.-robos con violencia en establecimientos,6812,6822,10,0.00146799765120375,TRUE
2012,5.4.-sustraccion de vehiculos,55048,55197,149,0.00270672867315797,TRUE
2012,5.5.-estafas,112134,124675,12541,0.11183940642445646,FALSE
2012,5.5.1.-estafas informaticas,23268,27231,3963,0.17031975244971634,FALSE
2012,5.6.-danos,246314,246355,41,1.6645420073564638e-4,TRUE
2012,5.7.-contra la propiedad intelectual/industrial,2882,2884,2,6.939625260235947e-4,TRUE
2012,5.8.-blanqueo de capitales,193,199,6,0.0310880829015544,TRUE
2012,5.9.-otros contra el patrimonio,32432,32495,63,0.00194252590034533,TRUE
2012,6. seguridad colectiva,76645,76654,9,1.1742448952964968e-4,TRUE
2012,6.1.-trafico de drogas,14507,14509,2,1.3786447921692975e-4,TRUE
2012,6.2.-contra la seguridad vial,59627,59634,7,1.173964814597414e-4,TRUE
2012,6.3.-otros contra la seguridad colectiva,2511,2511,0,0,TRUE
2012,7. falsedades,17937,18223,286,0.0159446953225177,FALSE
2012,8. admon. publica,325,325,0,0,TRUE
2012,9. admon. justicia,28198,28205,7,2.482445563515143e-4,TRUE
2012,total infracciones penales,2252268,2268867,16599,0.00736990446962794,FALSE
2013,1. contra las personas,274434,274655,221,8.052938047034988e-4,TRUE
2013,1.1.-homicidios dolosos/asesinatos,962,964,2,0.00207900207900207,TRUE
2013,1.1.1.-homicidios dolosos/asesinatos consumados,300,302,2,0.00666666666666666,TRUE
2013,1.2.-lesiones,100164,100193,29,2.8952517870692063e-4,TRUE
2013,1.3.-malos tratos ambito familiar,59755,59819,64,0.001071040080328,TRUE
2013,1.4.-otros contra las personas,113553,113679,126,0.00110961401283981,TRUE
2013,10. orden publico,31483,31489,6,1.905790426579424e-4,TRUE
2013,11. legislacion especial,205,205,0,0,TRUE
2013,12. otras infracciones penales,7119,7129,10,0.00140469167017839,TRUE
2013,2. contra la libertad,43198,43322,124,0.00287050326404,TRUE
2013,2.1.-malos tratos habituales en el ambito familiar,16668,16676,8,4.7996160307175426e-4,TRUE
2013,2.2.-otros contra la libertad,26530,26646,116,0.00437240859404447,TRUE
2013,3. libertad sexual,8903,8923,20,0.00224643378636414,TRUE
2013,3.1.-agresion sexual,4854,4859,5,0.00103007828594973,TRUE
2013,3.2.-agresion sexual con penetracion,1679,1684,5,0.00297796307325789,TRUE
2013,3.3.-corrupcion de menores o incapacitados,320,320,0,0,TRUE
2013,3.4.-pornografia de menores,504,508,4,0.0079365079365079309,TRUE
2013,3.5.-otros contra la libertad sexual,1546,1552,6,0.0038809831824062,TRUE
2013,4. relaciones familiares,10253,10331,78,0.00760752950355993,TRUE
2013,5. patrimonio,1663888,1679585,15697,0.00943392824517034,FALSE
2013,5.1.-hurtos,767967,770296,2329,0.00303268239390494,TRUE
2013,5.2.-robos con fuerza en las cosas,381505,381777,272,7.129657540530268e-4,TRUE
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,123202,123355,153,0.00124186295677018,TRUE
2013,5.2.2.-robos con fuerza en viviendas,127429,127444,15,1.1771260858988144e-4,TRUE
2013,5.2.3.-robos con fuerza en establecimientos,39930,39940,10,2.5043826696719256e-4,TRUE
2013,5.3.-robos con violencia o intimidacion,85800,86034,234,0.00272727272727272,TRUE
2013,5.3.1.-robos con violencia en via publica,38812,38975,163,0.0041997320416366,TRUE
2013,5.3.2.-robos con violencia en viviendas,6304,6306,2,3.1725888324873094e-4,TRUE
2013,5.3.3.-robos con violencia en establecimientos,6733,6747,14,0.00207931085697311,TRUE
2013,5.4.-sustraccion de vehiculos,48766,48855,89,0.00182504203748513,TRUE
2013,5.5.-estafas,109856,122483,12627,0.11494137780367024,FALSE
2013,5.5.1.-estafas informaticas,22742,26664,3922,0.17245624835106851,FALSE
2013,5.6.-danos,226574,226619,45,1.9861060845463292e-4,TRUE
2013,5.7.-contra la propiedad intelectual/industrial,3255,3260,5,0.00153609831029185,TRUE
2013,5.8.-blanqueo de capitales,233,243,10,0.04291845493562232,TRUE
2013,5.9.-otros contra el patrimonio,39932,40018,86,0.00215366122408093,TRUE
2013,6. seguridad colectiva,71591,71596,5,6.984118115405568e-5,TRUE
2013,6.1.-trafico de drogas,14292,14296,4,2.79876854184159e-4,TRUE
2013,6.2.-contra la seguridad vial,55226,55226,0,0,TRUE
2013,6.3.-otros contra la seguridad colectiva,2073,2074,1,4.82392667631452e-4,TRUE
2013,7. falsedades,16859,17262,403,0.02390414615338988,FALSE
2013,8. admon. publica,387,391,4,0.0103359173126615,TRUE
2013,9. admon. justicia,27225,27245,20,7.346189164370982e-4,TRUE
2013,total infracciones penales,2155545,2172133,16588,0.0076955016016831,FALSE
2014,1. contra las personas,281429,281713,284,0.00100913551908296,TRUE
2014,1.1.-homicidios dolosos/asesinatos,1047,1048,1,9.551098376313276e-4,TRUE
2014,1.1.1.-homicidios dolosos/asesinatos consumados,323,323,0,0,TRUE
2014,1.2.-lesiones,98792,98821,29,2.935460361162847e-4,TRUE
2014,1.3.-malos tratos ambito familiar,62312,62392,80,0.00128386185646424,TRUE
2014,1.4.-otros contra las personas,119278,119452,174,0.00145877697479837,TRUE
2014,10. orden publico,29459,29466,7,2.3761838487389256e-4,TRUE
2014,11. legislacion especial,185,185,0,0,TRUE
2014,12. otras infracciones penales,7854,7864,10,0.00127323656735421,TRUE
2014,2. contra la libertad,42783,42953,170,0.00397354089241053,TRUE
2014,2.1.-malos tratos habituales en el ambito familiar,15950,15958,8,5.015673981191223e-4,TRUE
2014,2.2.-otros contra la libertad,26833,26995,162,0.00603734207878358,FALSE
2014,3. libertad sexual,9435,9468,33,0.00349761526232114,TRUE
2014,3.1.-agresion sexual,5139,5150,11,0.00214049425958357,TRUE
2014,3.2.-agresion sexual con penetracion,1617,1622,5,0.0030921459492888,TRUE
2014,3.3.-corrupcion de menores o incapacitados,383,386,3,0.00783289817232375,TRUE
2014,3.4.-pornografia de menores,615,625,10,0.01626016260162601,TRUE
2014,3.5.-otros contra la libertad sexual,1681,1685,4,0.00237953599048185,TRUE
2014,4. relaciones familiares,10417,10506,89,0.00854372660074877,TRUE
2014,5. patrimonio,1578057,1595984,17927,0.01136017266803417,FALSE
2014,5.1.-hurtos,725248,727800,2552,0.00351879632897988,TRUE
2014,5.2.-robos con fuerza en las cosas,344618,344875,257,7.45753268836799e-4,TRUE
2014,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,106029,106174,145,0.00136755038715823,TRUE
