delito,n,pearson_r,spearman_r
Agresiones sexuales (total),10,0.805153216168766,0.8424242424242423
Homicidios dolosos y asesinatos consumados,10,0.43129256063032734,0.406060606060606
Lesiones graves,10,0.6828929771489308,0.7454545454545454
Malos tratos en el ámbito familiar,10,0.6984485923113665,0.709090909090909
Robos con violencia e intimidación,10,0.5289240254853457,0.41818181818181815
