delito,n,pearson_r,spearman_r
Agresiones sexuales (total),13,0.2655863971201488,0.543956043956044
Homicidios dolosos y asesinatos consumados,13,0.3923180026591052,0.4175824175824176
Lesiones graves,13,0.1799335144572051,0.5329670329670331
Malos tratos en el ámbito familiar,13,0.473433220200598,0.5714285714285714
Robos con violencia e intimidación,13,0.2675305294800522,0.3131868131868132
