columna,n,n_na,n_unicos,ejemplo,na_pct
raw_region,38,0,38,ANDALUCÍA | Andalucía | ARAGÓN | Aragón | CANARIAS,0
propuesta_region,38,0,19,Andalucía | Aragón | Canarias | Cantabria | Castilla y León,0
