delito,n,pearson_r,spearman_r
Agresiones sexuales (total),12,0.6665659281839366,0.34965034965034975
Homicidios dolosos y asesinatos consumados,12,0.45144371379608,0.5944055944055945
Lesiones graves,12,0.9175031957920318,0.9300699300699302
Malos tratos en el ámbito familiar,12,0.6256083721471571,0.15384615384615383
Robos con violencia e intimidación,12,0.16190861136092574,0.13986013986013987
