delito,n,pearson_r,spearman_r
Agresiones sexuales (total),14,0.6703020997654117,0.4989010989010989
Homicidios dolosos y asesinatos consumados,14,0.32791941808192454,0.2835164835164835
Lesiones graves,14,0.44740341305336656,0.512087912087912
Malos tratos en el ámbito familiar,14,0.6403609108617647,0.38021978021978026
Robos con violencia e intimidación,14,0.00301778542101211,-0.13406593406593406
