token,n
NA,168360
0,3441
1,2453
2,1931
..,1920
3,1575
4,1173
5,1106
6,962
7,852
8,722
10,666
9,663
11,624
12,576
13,540
14,522
16,506
15,501
17,481
19,474
18,461
23,441
21,420
22,409
20,401
24,374
25,365
26,359
27,345
28,340
29,333
36,313
30,304
37,301
42,301
31,296
34,294
33,293
40,293
43,289
32,278
38,277
35,275
45,274
47,274
41,263
52,260
46,258
39,256
