ano,share_extranjeros,flag_fuera_0_100
2010,20.129386492540963,FALSE
2011,19.02000222198816,FALSE
2012,18.39593638776067,FALSE
2013,17.899620214809563,FALSE
2014,16.35578962195494,FALSE
2015,15.643093659406226,FALSE
2016,15.999108777072738,FALSE
2017,15.895195244554664,FALSE
2018,16.368873746486543,FALSE
2019,17.04592969159297,FALSE
2020,20.78326177606432,FALSE
2021,21.141882973381723,FALSE
2022,22.44150882275112,FALSE
2023,23.49106735187542,FALSE
