ano,tipo,total,total_row,delta,rel,usar_row
2011,5.9.-otros contra el patrimonio,16543,16572,-29,0.00174993965725319,TRUE
2011,6. seguridad colectiva,80275,80297,-22,2.739828387112844e-4,TRUE
2011,6.1.-trafico de drogas,14563,14583,-20,0.00137145991908386,TRUE
2011,6.2.-contra la seguridad vial,64010,64012,-2,3.124414172342686e-5,TRUE
2011,6.3.-otros contra la seguridad colectiva,1702,1702,0,0,TRUE
2011,7. falsedades,11730,11860,-130,0.01096121416526138,FALSE
2011,8. admon. publica,266,268,-2,0.00746268656716417,TRUE
2011,9. admon. justicia,27452,27459,-7,2.549255253286718e-4,TRUE
2011,total infracciones penales,735216,736175,-959,0.00130267939009067,TRUE
2012,1. contra las personas,237156,237300,-144,6.06826801517067e-4,TRUE
2012,1.1.-homicidios dolosos/asesinatos,1029,1031,-2,0.00193986420950533,TRUE
2012,1.1.1.-homicidios dolosos/asesinatos consumados,250,252,-2,0.0079365079365079309,TRUE
2012,1.2.-lesiones,83281,83307,-26,3.1209862316492013e-4,TRUE
2012,1.3.-malos tratos ambito familiar,58841,58903,-62,0.00105257796716635,TRUE
2012,1.4.-otros contra las personas,94005,94059,-54,5.741077408860396e-4,TRUE
2012,10. orden publico,30720,30724,-4,1.301913813305559e-4,TRUE
2012,11. legislacion especial,257,257,0,0,TRUE
2012,12. otras infracciones penales,4364,4369,-5,0.00114442664225223,TRUE
2012,2. contra la libertad,35817,35858,-41,0.00114339896257459,TRUE
2012,2.1.-malos tratos habituales en el ambito familiar,14097,14114,-17,0.00120447782343772,TRUE
2012,2.2.-otros contra la libertad,21720,21744,-24,0.00110375275938189,TRUE
2012,3. libertad sexual,6684,6698,-14,0.00209017617199163,TRUE
2012,3.1.-agresion sexual,3754,3763,-9,0.00239170874302418,TRUE
2012,3.2.-agresion sexual con penetracion,1324,1326,-2,0.00150829562594268,TRUE
2012,3.3.-corrupcion de menores o incapacitados,196,197,-1,0.00507614213197969,TRUE
2012,3.4.-pornografia de menores,362,363,-1,0.00275482093663911,TRUE
2012,3.5.-otros contra la libertad sexual,1048,1049,-1,9.532888465204956e-4,TRUE
2012,4. relaciones familiares,9120,9157,-37,0.00404062465873102,TRUE
2012,5. patrimonio,293409,293922,-513,0.00174536101414661,TRUE
2012,5.1.-hurtos,117446,117459,-13,1.1067691705190748e-4,TRUE
2012,5.2.-robos con fuerza en las cosas,54562,54572,-10,1.8324415451147108e-4,TRUE
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,13354,13354,0,0,TRUE
2012,5.2.2.-robos con fuerza en viviendas,13642,13643,-1,7.329766180458844e-5,TRUE
2012,5.2.3.-robos con fuerza en establecimientos,8193,8198,-5,6.099048548426446e-4,TRUE
2012,5.3.-robos con violencia o intimidacion,21820,21820,0,0,TRUE
2012,5.3.1.-robos con violencia en via publica,9278,9278,0,0,TRUE
2012,5.3.2.-robos con violencia en viviendas,1420,1420,0,0,TRUE
2012,5.3.3.-robos con violencia en establecimientos,2965,2965,0,0,TRUE
2012,5.4.-sustraccion de vehiculos,13780,13875,-95,0.00684684684684684,TRUE
2012,5.5.-estafas,33656,34019,-363,0.01067050765748552,FALSE
2012,5.5.1.-estafas informaticas,5764,5938,-174,0.0293027955540586,FALSE
2012,5.6.-danos,30204,30207,-3,9.931472837421788e-5,TRUE
2012,5.7.-contra la propiedad intelectual/industrial,2696,2696,0,0,TRUE
2012,5.8.-blanqueo de capitales,179,182,-3,0.01648351648351648,TRUE
2012,5.9.-otros contra el patrimonio,19066,19092,-26,0.00136182694322229,TRUE
2012,6. seguridad colectiva,72371,72382,-11,1.5197148462324888e-4,TRUE
2012,6.1.-trafico de drogas,13917,13920,-3,2.1551724137931031e-4,TRUE
2012,6.2.-contra la seguridad vial,56645,56652,-7,1.2356139236037564e-4,TRUE
2012,6.3.-otros contra la seguridad colectiva,1809,1810,-1,5.524861878453039e-4,TRUE
2012,7. falsedades,11535,11745,-210,0.01787994891443167,FALSE
2012,8. admon. publica,238,238,0,0,TRUE
2012,9. admon. justicia,26270,26279,-9,3.42478785341908e-4,TRUE
2012,total infracciones penales,727941,728929,-988,0.0013554132158276,TRUE
2013,1. contra las personas,230268,230390,-122,5.295368722600807e-4,TRUE
2013,1.1.-homicidios dolosos/asesinatos,888,889,-1,0.00112485939257592,TRUE
2013,1.1.1.-homicidios dolosos/asesinatos consumados,227,228,-1,0.0043859649122807,TRUE
2013,1.2.-lesiones,80383,80397,-14,1.7413585084020549e-4,TRUE
2013,1.3.-malos tratos ambito familiar,58932,58989,-57,9.662818491583176e-4,TRUE
2013,1.4.-otros contra las personas,90065,90115,-50,5.548465849192698e-4,TRUE
2013,10. orden publico,29154,29157,-3,1.0289124395513942e-4,TRUE
2013,11. legislacion especial,261,261,0,0,TRUE
2013,12. otras infracciones penales,4887,4891,-4,8.178286648947046e-4,TRUE
2013,2. contra la libertad,35126,35164,-38,0.0010806506654533,TRUE
2013,2.1.-malos tratos habituales en el ambito familiar,13337,13344,-7,5.245803357314149e-4,TRUE
2013,2.2.-otros contra la libertad,21789,21820,-31,0.00142071494042163,TRUE
2013,3. libertad sexual,6759,6766,-7,0.00103458468814661,TRUE
2013,3.1.-agresion sexual,3603,3605,-2,5.547850208044383e-4,TRUE
2013,3.2.-agresion sexual con penetracion,1392,1395,-3,0.0021505376344086,TRUE
2013,3.3.-corrupcion de menores o incapacitados,253,253,0,0,TRUE
2013,3.4.-pornografia de menores,304,305,-1,0.00327868852459016,TRUE
2013,3.5.-otros contra la libertad sexual,1207,1208,-1,8.278145695364238e-4,TRUE
2013,4. relaciones familiares,9078,9143,-65,0.00710926391775128,TRUE
2013,5. patrimonio,313890,314507,-617,0.0019618005322616,TRUE
2013,5.1.-hurtos,126502,126519,-17,1.3436717014835716e-4,TRUE
2013,5.2.-robos con fuerza en las cosas,62145,62150,-5,8.045052292839903e-5,TRUE
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,13496,13496,0,0,TRUE
2013,5.2.2.-robos con fuerza en viviendas,18414,18416,-2,1.0860121633362292e-4,TRUE
2013,5.2.3.-robos con fuerza en establecimientos,9040,9040,0,0,TRUE
2013,5.3.-robos con violencia o intimidacion,22061,22064,-3,1.359680928208847e-4,TRUE
2013,5.3.1.-robos con violencia en via publica,8936,8937,-1,1.1189437171310284e-4,TRUE
2013,5.3.2.-robos con violencia en viviendas,1641,1641,0,0,TRUE
2013,5.3.3.-robos con violencia en establecimientos,3245,3245,0,0,TRUE
2013,5.4.-sustraccion de vehiculos,13073,13105,-32,0.00244181610072491,TRUE
2013,5.5.-estafas,34321,34852,-531,0.01523585447033168,FALSE
2013,5.5.1.-estafas informaticas,6796,7017,-221,0.03149494085791649,FALSE
2013,5.6.-danos,28846,28849,-3,1.0398973967901834e-4,TRUE
2013,5.7.-contra la propiedad intelectual/industrial,3144,3145,-1,3.179650238473768e-4,TRUE
2013,5.8.-blanqueo de capitales,232,241,-9,0.03734439834024896,TRUE
2013,5.9.-otros contra el patrimonio,23566,23582,-16,6.784835891781867e-4,TRUE
2013,6. seguridad colectiva,68217,68223,-6,8.7946880084429e-5,TRUE
2013,6.1.-trafico de drogas,13839,13844,-5,3.61167292689974e-4,TRUE
2013,6.2.-contra la seguridad vial,52869,52869,0,0,TRUE
2013,6.3.-otros contra la seguridad colectiva,1509,1510,-1,6.622516556291391e-4,TRUE
2013,7. falsedades,10835,11173,-338,0.03025149914973597,FALSE
2013,8. admon. publica,310,310,0,0,TRUE
2013,9. admon. justicia,26368,26383,-15,5.685479285903801e-4,TRUE
2013,total infracciones penales,735153,736368,-1215,0.00164999022228016,TRUE
2014,1. contra las personas,233693,233846,-153,6.542767462347015e-4,TRUE
2014,1.1.-homicidios dolosos/asesinatos,950,950,0,0,TRUE
2014,1.1.1.-homicidios dolosos/asesinatos consumados,232,232,0,0,TRUE
2014,1.2.-lesiones,78102,78117,-15,1.920196628134721e-4,TRUE
