columna,n,n_na,n_unicos,ejemplo,na_pct
raw_tipo,44,0,44,1. CONTRA LAS PERSONAS | 1.1.-Homicidios dolosos/asesinatos | 1.1.1.-Homicidios dolosos/asesinatos consumados | 1.2.-Lesiones | 1.3.-Malos tratos ámbito familiar,0
propuesta_tipo,44,0,44,1. contra las personas | 1.1.-homicidios dolosos/asesinatos | 1.1.1.-homicidios dolosos/asesinatos consumados | 1.2.-lesiones | 1.3.-malos tratos ambito familiar,0
