columna,muestra_unicos
ano,2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023
total,7176178 | 7121856 | 7102890 | 6792080 | 6521236 | 6371948 | 6306724 | 6424174 | 6715453 | 6968737 | 5653697 | 6263143 | 7456435 | 7970218
