ano,region,tipo,valor,region_raw,tipo_raw
2022,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,9060,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2021,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,7742,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2020,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,6103,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2019,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8567,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2018,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8272,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2017,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10239,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2016,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10574,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2015,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,9754,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2014,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,11754,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2013,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,13496,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2012,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,13354,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2011,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,14786,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2010,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,14007,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
2023,NA,5.2.2.-robos con fuerza en viviendas,11762,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2022,NA,5.2.2.-robos con fuerza en viviendas,10927,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2021,NA,5.2.2.-robos con fuerza en viviendas,10004,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2020,NA,5.2.2.-robos con fuerza en viviendas,10753,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2019,NA,5.2.2.-robos con fuerza en viviendas,10775,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2018,NA,5.2.2.-robos con fuerza en viviendas,12028,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2017,NA,5.2.2.-robos con fuerza en viviendas,13030,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2016,NA,5.2.2.-robos con fuerza en viviendas,13715,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2015,NA,5.2.2.-robos con fuerza en viviendas,12995,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2014,NA,5.2.2.-robos con fuerza en viviendas,16754,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2013,NA,5.2.2.-robos con fuerza en viviendas,18416,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2012,NA,5.2.2.-robos con fuerza en viviendas,13643,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2011,NA,5.2.2.-robos con fuerza en viviendas,10737,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2010,NA,5.2.2.-robos con fuerza en viviendas,12948,TOTAL NACIONAL,5.2.2.-Robos con fuerza en viviendas
2023,NA,5.2.3.-robos con fuerza en establecimientos,9411,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2022,NA,5.2.3.-robos con fuerza en establecimientos,8086,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2021,NA,5.2.3.-robos con fuerza en establecimientos,7145,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2020,NA,5.2.3.-robos con fuerza en establecimientos,7570,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2019,NA,5.2.3.-robos con fuerza en establecimientos,7461,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2018,NA,5.2.3.-robos con fuerza en establecimientos,7005,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2017,NA,5.2.3.-robos con fuerza en establecimientos,7789,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2016,NA,5.2.3.-robos con fuerza en establecimientos,7900,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2015,NA,5.2.3.-robos con fuerza en establecimientos,7448,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2014,NA,5.2.3.-robos con fuerza en establecimientos,8235,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2013,NA,5.2.3.-robos con fuerza en establecimientos,9040,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2012,NA,5.2.3.-robos con fuerza en establecimientos,8198,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2011,NA,5.2.3.-robos con fuerza en establecimientos,8548,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2010,NA,5.2.3.-robos con fuerza en establecimientos,9832,TOTAL NACIONAL,5.2.3.-Robos con fuerza en establecimientos
2023,NA,5.3.-robos con violencia o intimidacion,21381,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2022,NA,5.3.-robos con violencia o intimidacion,19040,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2021,NA,5.3.-robos con violencia o intimidacion,16037,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2020,NA,5.3.-robos con violencia o intimidacion,14569,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2019,NA,5.3.-robos con violencia o intimidacion,18196,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2018,NA,5.3.-robos con violencia o intimidacion,16043,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2017,NA,5.3.-robos con violencia o intimidacion,16049,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2016,NA,5.3.-robos con violencia o intimidacion,16355,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2015,NA,5.3.-robos con violencia o intimidacion,16028,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2014,NA,5.3.-robos con violencia o intimidacion,18383,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2013,NA,5.3.-robos con violencia o intimidacion,22064,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2012,NA,5.3.-robos con violencia o intimidacion,21820,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2011,NA,5.3.-robos con violencia o intimidacion,21146,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2010,NA,5.3.-robos con violencia o intimidacion,21666,TOTAL NACIONAL,5.3.-Robos con violencia o intimidación
2023,NA,5.3.1.-robos con violencia en via publica,12405,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2022,NA,5.3.1.-robos con violencia en via publica,10911,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2021,NA,5.3.1.-robos con violencia en via publica,8999,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2020,NA,5.3.1.-robos con violencia en via publica,7998,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2019,NA,5.3.1.-robos con violencia en via publica,6927,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2018,NA,5.3.1.-robos con violencia en via publica,5996,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2017,NA,5.3.1.-robos con violencia en via publica,6463,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2016,NA,5.3.1.-robos con violencia en via publica,6737,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2015,NA,5.3.1.-robos con violencia en via publica,6414,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2014,NA,5.3.1.-robos con violencia en via publica,7558,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2013,NA,5.3.1.-robos con violencia en via publica,8937,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2012,NA,5.3.1.-robos con violencia en via publica,9278,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2011,NA,5.3.1.-robos con violencia en via publica,8516,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2010,NA,5.3.1.-robos con violencia en via publica,9330,TOTAL NACIONAL,5.3.1.-Robos con violencia en vía pública
2023,NA,5.3.2.-robos con violencia en viviendas,1646,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2022,NA,5.3.2.-robos con violencia en viviendas,1492,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2021,NA,5.3.2.-robos con violencia en viviendas,1479,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2020,NA,5.3.2.-robos con violencia en viviendas,1351,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2019,NA,5.3.2.-robos con violencia en viviendas,1181,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2018,NA,5.3.2.-robos con violencia en viviendas,1154,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2017,NA,5.3.2.-robos con violencia en viviendas,1119,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2016,NA,5.3.2.-robos con violencia en viviendas,1169,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2015,NA,5.3.2.-robos con violencia en viviendas,1195,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2014,NA,5.3.2.-robos con violencia en viviendas,1334,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2013,NA,5.3.2.-robos con violencia en viviendas,1641,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2012,NA,5.3.2.-robos con violencia en viviendas,1420,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2011,NA,5.3.2.-robos con violencia en viviendas,1205,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2010,NA,5.3.2.-robos con violencia en viviendas,1211,TOTAL NACIONAL,5.3.2.-Robos con violencia en viviendas
2023,NA,5.3.3.-robos con violencia en establecimientos,5101,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2022,NA,5.3.3.-robos con violencia en establecimientos,4508,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2021,NA,5.3.3.-robos con violencia en establecimientos,3644,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2020,NA,5.3.3.-robos con violencia en establecimientos,3558,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2019,NA,5.3.3.-robos con violencia en establecimientos,3129,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2018,NA,5.3.3.-robos con violencia en establecimientos,2954,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2017,NA,5.3.3.-robos con violencia en establecimientos,2901,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2016,NA,5.3.3.-robos con violencia en establecimientos,2625,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2015,NA,5.3.3.-robos con violencia en establecimientos,2500,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2014,NA,5.3.3.-robos con violencia en establecimientos,2791,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2013,NA,5.3.3.-robos con violencia en establecimientos,3245,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2012,NA,5.3.3.-robos con violencia en establecimientos,2965,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2011,NA,5.3.3.-robos con violencia en establecimientos,2898,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2010,NA,5.3.3.-robos con violencia en establecimientos,3474,TOTAL NACIONAL,5.3.3.-Robos con violencia en establecimientos
2023,NA,5.4.-sustraccion de vehiculos,10854,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2022,NA,5.4.-sustraccion de vehiculos,9325,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2021,NA,5.4.-sustraccion de vehiculos,7893,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2020,NA,5.4.-sustraccion de vehiculos,8159,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2019,NA,5.4.-sustraccion de vehiculos,10981,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2018,NA,5.4.-sustraccion de vehiculos,10988,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2017,NA,5.4.-sustraccion de vehiculos,11909,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2016,NA,5.4.-sustraccion de vehiculos,11878,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2015,NA,5.4.-sustraccion de vehiculos,11660,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2014,NA,5.4.-sustraccion de vehiculos,11690,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2013,NA,5.4.-sustraccion de vehiculos,13105,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2012,NA,5.4.-sustraccion de vehiculos,13875,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2011,NA,5.4.-sustraccion de vehiculos,15519,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2010,NA,5.4.-sustraccion de vehiculos,17252,TOTAL NACIONAL,5.4.-Sustracción de vehículos
2023,NA,5.5.-estafas,71284,TOTAL NACIONAL,5.5.-Estafas
2022,NA,5.5.-estafas,63046,TOTAL NACIONAL,5.5.-Estafas
2021,NA,5.5.-estafas,53765,TOTAL NACIONAL,5.5.-Estafas
2020,NA,5.5.-estafas,46601,TOTAL NACIONAL,5.5.-Estafas
2019,NA,5.5.-estafas,49856,TOTAL NACIONAL,5.5.-Estafas
2018,NA,5.5.-estafas,46091,TOTAL NACIONAL,5.5.-Estafas
2017,NA,5.5.-estafas,39235,TOTAL NACIONAL,5.5.-Estafas
2016,NA,5.5.-estafas,37910,TOTAL NACIONAL,5.5.-Estafas
2015,NA,5.5.-estafas,36074,TOTAL NACIONAL,5.5.-Estafas
2014,NA,5.5.-estafas,35659,TOTAL NACIONAL,5.5.-Estafas
2013,NA,5.5.-estafas,34852,TOTAL NACIONAL,5.5.-Estafas
2012,NA,5.5.-estafas,34019,TOTAL NACIONAL,5.5.-Estafas
2011,NA,5.5.-estafas,30319,TOTAL NACIONAL,5.5.-Estafas
2010,NA,5.5.-estafas,28514,TOTAL NACIONAL,5.5.-Estafas
2023,NA,5.5.1.-estafas informaticas,47029,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2022,NA,5.5.1.-estafas informaticas,37607,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2021,NA,5.5.1.-estafas informaticas,32085,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2020,NA,5.5.1.-estafas informaticas,25596,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2019,NA,5.5.1.-estafas informaticas,18712,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2018,NA,5.5.1.-estafas informaticas,15542,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2017,NA,5.5.1.-estafas informaticas,12893,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2016,NA,5.5.1.-estafas informaticas,11494,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2015,NA,5.5.1.-estafas informaticas,10344,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2014,NA,5.5.1.-estafas informaticas,7884,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2013,NA,5.5.1.-estafas informaticas,7017,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2012,NA,5.5.1.-estafas informaticas,5938,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2011,NA,5.5.1.-estafas informaticas,4735,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2010,NA,5.5.1.-estafas informaticas,4931,TOTAL NACIONAL,5.5.1.-Estafas informáticas
2023,NA,5.6.-danos,31896,TOTAL NACIONAL,5.6.-Daños
2022,NA,5.6.-danos,31558,TOTAL NACIONAL,5.6.-Daños
2021,NA,5.6.-danos,29943,TOTAL NACIONAL,5.6.-Daños
2020,NA,5.6.-danos,25708,TOTAL NACIONAL,5.6.-Daños
2019,NA,5.6.-danos,28309,TOTAL NACIONAL,5.6.-Daños
2018,NA,5.6.-danos,26845,TOTAL NACIONAL,5.6.-Daños
2017,NA,5.6.-danos,27284,TOTAL NACIONAL,5.6.-Daños
2016,NA,5.6.-danos,26196,TOTAL NACIONAL,5.6.-Daños
2015,NA,5.6.-danos,26091,TOTAL NACIONAL,5.6.-Daños
2014,NA,5.6.-danos,27775,TOTAL NACIONAL,5.6.-Daños
2013,NA,5.6.-danos,28849,TOTAL NACIONAL,5.6.-Daños
2012,NA,5.6.-danos,30207,TOTAL NACIONAL,5.6.-Daños
2011,NA,5.6.-danos,31461,TOTAL NACIONAL,5.6.-Daños
2010,NA,5.6.-danos,33303,TOTAL NACIONAL,5.6.-Daños
2023,NA,5.7.-contra la propiedad intelectual/industrial,1252,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2022,NA,5.7.-contra la propiedad intelectual/industrial,1068,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2021,NA,5.7.-contra la propiedad intelectual/industrial,1018,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2020,NA,5.7.-contra la propiedad intelectual/industrial,792,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2019,NA,5.7.-contra la propiedad intelectual/industrial,1573,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2018,NA,5.7.-contra la propiedad intelectual/industrial,2020,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2017,NA,5.7.-contra la propiedad intelectual/industrial,1447,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2016,NA,5.7.-contra la propiedad intelectual/industrial,1713,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2015,NA,5.7.-contra la propiedad intelectual/industrial,1865,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2014,NA,5.7.-contra la propiedad intelectual/industrial,2456,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2013,NA,5.7.-contra la propiedad intelectual/industrial,3145,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2012,NA,5.7.-contra la propiedad intelectual/industrial,2696,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2011,NA,5.7.-contra la propiedad intelectual/industrial,2363,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2010,NA,5.7.-contra la propiedad intelectual/industrial,3421,TOTAL NACIONAL,5.7.-Contra la propiedad intelectual/industrial
2023,NA,5.8.-blanqueo de capitales,510,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2022,NA,5.8.-blanqueo de capitales,367,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2021,NA,5.8.-blanqueo de capitales,311,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2020,NA,5.8.-blanqueo de capitales,287,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2019,NA,5.8.-blanqueo de capitales,265,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2018,NA,5.8.-blanqueo de capitales,257,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2017,NA,5.8.-blanqueo de capitales,241,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2016,NA,5.8.-blanqueo de capitales,244,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2015,NA,5.8.-blanqueo de capitales,273,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2014,NA,5.8.-blanqueo de capitales,216,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2013,NA,5.8.-blanqueo de capitales,241,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2012,NA,5.8.-blanqueo de capitales,182,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2011,NA,5.8.-blanqueo de capitales,149,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2010,NA,5.8.-blanqueo de capitales,162,TOTAL NACIONAL,5.8.-Blanqueo de capitales
2023,NA,5.9.-otros contra el patrimonio,33299,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2022,NA,5.9.-otros contra el patrimonio,32624,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2021,NA,5.9.-otros contra el patrimonio,30118,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2020,NA,5.9.-otros contra el patrimonio,28551,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2019,NA,5.9.-otros contra el patrimonio,31068,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2018,NA,5.9.-otros contra el patrimonio,28491,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2017,NA,5.9.-otros contra el patrimonio,24955,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2016,NA,5.9.-otros contra el patrimonio,23593,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2015,NA,5.9.-otros contra el patrimonio,25036,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2014,NA,5.9.-otros contra el patrimonio,26598,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2013,NA,5.9.-otros contra el patrimonio,23582,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2012,NA,5.9.-otros contra el patrimonio,19092,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2011,NA,5.9.-otros contra el patrimonio,16572,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2010,NA,5.9.-otros contra el patrimonio,15056,TOTAL NACIONAL,5.9.-Otros contra el patrimonio
2023,NA,6. seguridad colectiva,70346,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2022,NA,6. seguridad colectiva,68559,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2021,NA,6. seguridad colectiva,61529,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2020,NA,6. seguridad colectiva,54163,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2019,NA,6. seguridad colectiva,63291,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2018,NA,6. seguridad colectiva,59223,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2017,NA,6. seguridad colectiva,54620,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2016,NA,6. seguridad colectiva,53781,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2015,NA,6. seguridad colectiva,55506,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2014,NA,6. seguridad colectiva,62185,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2013,NA,6. seguridad colectiva,68223,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2012,NA,6. seguridad colectiva,72382,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2011,NA,6. seguridad colectiva,80297,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2010,NA,6. seguridad colectiva,69842,TOTAL NACIONAL,6. SEGURIDAD COLECTIVA
2023,NA,6.1.-trafico de drogas,18947,TOTAL NACIONAL,6.1.-Tráfico de drogas
2022,NA,6.1.-trafico de drogas,16629,TOTAL NACIONAL,6.1.-Tráfico de drogas
2021,NA,6.1.-trafico de drogas,15631,TOTAL NACIONAL,6.1.-Tráfico de drogas
2020,NA,6.1.-trafico de drogas,14717,TOTAL NACIONAL,6.1.-Tráfico de drogas
2019,NA,6.1.-trafico de drogas,15191,TOTAL NACIONAL,6.1.-Tráfico de drogas
2018,NA,6.1.-trafico de drogas,13140,TOTAL NACIONAL,6.1.-Tráfico de drogas
2017,NA,6.1.-trafico de drogas,12126,TOTAL NACIONAL,6.1.-Tráfico de drogas
2016,NA,6.1.-trafico de drogas,11700,TOTAL NACIONAL,6.1.-Tráfico de drogas
2015,NA,6.1.-trafico de drogas,11390,TOTAL NACIONAL,6.1.-Tráfico de drogas
2014,NA,6.1.-trafico de drogas,12657,TOTAL NACIONAL,6.1.-Tráfico de drogas
2013,NA,6.1.-trafico de drogas,13844,TOTAL NACIONAL,6.1.-Tráfico de drogas
2012,NA,6.1.-trafico de drogas,13920,TOTAL NACIONAL,6.1.-Tráfico de drogas
2011,NA,6.1.-trafico de drogas,14583,TOTAL NACIONAL,6.1.-Tráfico de drogas
2010,NA,6.1.-trafico de drogas,13155,TOTAL NACIONAL,6.1.-Tráfico de drogas
2023,NA,6.2.-contra la seguridad vial,49678,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2022,NA,6.2.-contra la seguridad vial,50252,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2021,NA,6.2.-contra la seguridad vial,44553,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2020,NA,6.2.-contra la seguridad vial,38210,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2019,NA,6.2.-contra la seguridad vial,46622,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2018,NA,6.2.-contra la seguridad vial,44382,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2017,NA,6.2.-contra la seguridad vial,40882,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2016,NA,6.2.-contra la seguridad vial,40694,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2015,NA,6.2.-contra la seguridad vial,42718,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2014,NA,6.2.-contra la seguridad vial,48027,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2013,NA,6.2.-contra la seguridad vial,52869,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2012,NA,6.2.-contra la seguridad vial,56652,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2011,NA,6.2.-contra la seguridad vial,64012,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2010,NA,6.2.-contra la seguridad vial,54703,TOTAL NACIONAL,6.2.-Contra la seguridad vial
2023,NA,6.3.-otros contra la seguridad colectiva,1721,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2022,NA,6.3.-otros contra la seguridad colectiva,1678,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2021,NA,6.3.-otros contra la seguridad colectiva,1345,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2020,NA,6.3.-otros contra la seguridad colectiva,1236,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2019,NA,6.3.-otros contra la seguridad colectiva,1478,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2018,NA,6.3.-otros contra la seguridad colectiva,1701,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2017,NA,6.3.-otros contra la seguridad colectiva,1612,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2016,NA,6.3.-otros contra la seguridad colectiva,1387,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2015,NA,6.3.-otros contra la seguridad colectiva,1398,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2014,NA,6.3.-otros contra la seguridad colectiva,1501,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2013,NA,6.3.-otros contra la seguridad colectiva,1510,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
2012,NA,6.3.-otros contra la seguridad colectiva,1810,TOTAL NACIONAL,6.3.-Otros contra la seguridad colectiva
