columna,muestra_unicos
raw_tipo,1. CONTRA LAS PERSONAS | 1.1.-Homicidios dolosos/asesinatos | 1.1.1.-Homicidios dolosos/asesinatos consumados | 1.2.-Lesiones | 1.3.-Malos tratos ámbito familiar | 1.4.-Otros contra las personas | 10. ORDEN PÚBLICO | 11. LEGISLACIÓN ESPECIAL | 12. OTRAS INFRACCIONES PENALES | 2. CONTRA LA LIBERTAD | 2.1.-Malos tratos habituales en el ámbito familiar | 2.2.-Otros contra la libertad | 3. LIBERTAD SEXUAL | 3.1.-Agresión sexual | 3.2.-Agresión sexual con penetración | 3.3.-Corrupción de menores o incapacitados | 3.4.-Pornografía de menores | 3.5.-Otros contra la libertad sexual | 4. RELACIONES FAMILIARES | 5. PATRIMONIO | 5.1.-Hurtos | 5.2.-Robos con fuerza en las cosas | 5.2.1.-Robos con fuerza en las cosas en el interior de vehículos | 5.2.2.-Robos con fuerza en viviendas | 5.2.3.-Robos con fuerza en establecimientos | 5.3.-Robos con violencia o intimidación | 5.3.1.-Robos con violencia en vía pública | 5.3.2.-Robos con violencia en viviendas | 5.3.3.-Robos con violencia en establecimientos | 5.4.-Sustracción de vehículos | 5.5.-Estafas | 5.5.1.-Estafas informáticas | 5.6.-Daños | 5.7.-Contra la propiedad intelectual/industrial | 5.8.-Blanqueo de capitales | 5.9.-Otros contra el patrimonio | 6. SEGURIDAD COLECTIVA | 6.1.-Tráfico de drogas | 6.2.-Contra la seguridad vial | 6.3.-Otros contra la seguridad colectiva | 7. FALSEDADES | 8. ADMÓN. PÚBLICA | 9. ADMÓN. JUSTICIA | TOTAL INFRACCIONES PENALES
propuesta_tipo,1. contra las personas | 1.1.-homicidios dolosos/asesinatos | 1.1.1.-homicidios dolosos/asesinatos consumados | 1.2.-lesiones | 1.3.-malos tratos ambito familiar | 1.4.-otros contra las personas | 10. orden publico | 11. legislacion especial | 12. otras infracciones penales | 2. contra la libertad | 2.1.-malos tratos habituales en el ambito familiar | 2.2.-otros contra la libertad | 3. libertad sexual | 3.1.-agresion sexual | 3.2.-agresion sexual con penetracion | 3.3.-corrupcion de menores o incapacitados | 3.4.-pornografia de menores | 3.5.-otros contra la libertad sexual | 4. relaciones familiares | 5. patrimonio | 5.1.-hurtos | 5.2.-robos con fuerza en las cosas | 5.2.1.-robos con fuerza en las cosas en el interior de vehiculos | 5.2.2.-robos con fuerza en viviendas | 5.2.3.-robos con fuerza en establecimientos | 5.3.-robos con violencia o intimidacion | 5.3.1.-robos con violencia en via publica | 5.3.2.-robos con violencia en viviendas | 5.3.3.-robos con violencia en establecimientos | 5.4.-sustraccion de vehiculos | 5.5.-estafas | 5.5.1.-estafas informaticas | 5.6.-danos | 5.7.-contra la propiedad intelectual/industrial | 5.8.-blanqueo de capitales | 5.9.-otros contra el patrimonio | 6. seguridad colectiva | 6.1.-trafico de drogas | 6.2.-contra la seguridad vial | 6.3.-otros contra la seguridad colectiva | 7. falsedades | 8. admon. publica | 9. admon. justicia | total infracciones penales
