nacionalidad,sexo,grupo_raw,periodo
Total,Hombres,Todas las edades,1 de abril de 2013
Total,Hombres,Todas las edades,1 de enero de 2013
Total,Hombres,Todas las edades,1 de octubre de 2012
Total,Hombres,Todas las edades,1 de julio de 2012
Total,Hombres,Todas las edades,1 de abril de 2012
Total,Hombres,Todas las edades,1 de enero de 2012
Total,Hombres,Todas las edades,1 de octubre de 2011
Total,Hombres,Todas las edades,1 de julio de 2011
Total,Hombres,Todas las edades,1 de abril de 2011
Total,Hombres,Todas las edades,1 de enero de 2011
Total,Hombres,Todas las edades,1 de octubre de 2010
Total,Hombres,Todas las edades,1 de julio de 2010
Total,Hombres,Todas las edades,1 de abril de 2010
Total,Hombres,Todas las edades,1 de enero de 2010
Total,Hombres,Todas las edades,1 de octubre de 2009
Total,Hombres,Todas las edades,1 de julio de 2009
Total,Hombres,Todas las edades,1 de abril de 2009
Total,Hombres,Todas las edades,1 de enero de 2009
Total,Hombres,Todas las edades,1 de octubre de 2008
Total,Hombres,Todas las edades,1 de julio de 2008
Total,Hombres,Todas las edades,1 de abril de 2008
Total,Hombres,Todas las edades,1 de enero de 2008
Total,Hombres,Todas las edades,1 de octubre de 2007
Total,Hombres,Todas las edades,1 de julio de 2007
Total,Hombres,Todas las edades,1 de abril de 2007
Total,Hombres,Todas las edades,1 de enero de 2007
Total,Hombres,Todas las edades,1 de octubre de 2006
Total,Hombres,Todas las edades,1 de julio de 2006
Total,Hombres,Todas las edades,1 de abril de 2006
Total,Hombres,Todas las edades,1 de enero de 2006
Total,Hombres,Todas las edades,1 de octubre de 2005
Total,Hombres,Todas las edades,1 de julio de 2005
Total,Hombres,Todas las edades,1 de abril de 2005
Total,Hombres,Todas las edades,1 de enero de 2005
Total,Hombres,Todas las edades,1 de octubre de 2004
Total,Hombres,Todas las edades,1 de julio de 2004
Total,Hombres,Todas las edades,1 de abril de 2004
Total,Hombres,Todas las edades,1 de enero de 2004
Total,Hombres,Todas las edades,1 de octubre de 2003
Total,Hombres,Todas las edades,1 de julio de 2003
Total,Hombres,Todas las edades,1 de abril de 2003
Total,Hombres,Todas las edades,1 de enero de 2003
Total,Hombres,Todas las edades,1 de octubre de 2002
Total,Hombres,Todas las edades,1 de julio de 2002
Total,Hombres,Todas las edades,1 de abril de 2002
Total,Hombres,Todas las edades,1 de enero de 2002
Total,Mujeres,Todas las edades,1 de enero de 2024
Total,Mujeres,Todas las edades,1 de octubre de 2023
Total,Mujeres,Todas las edades,1 de julio de 2023
Total,Mujeres,Todas las edades,1 de abril de 2023
Total,Mujeres,Todas las edades,1 de enero de 2023
Total,Mujeres,Todas las edades,1 de octubre de 2022
Total,Mujeres,Todas las edades,1 de julio de 2022
Total,Mujeres,Todas las edades,1 de abril de 2022
Total,Mujeres,Todas las edades,1 de enero de 2022
Total,Mujeres,Todas las edades,1 de octubre de 2021
Total,Mujeres,Todas las edades,1 de julio de 2021
Total,Mujeres,Todas las edades,1 de abril de 2021
Total,Mujeres,Todas las edades,1 de enero de 2021
Total,Mujeres,Todas las edades,1 de octubre de 2020
Total,Mujeres,Todas las edades,1 de julio de 2020
Total,Mujeres,Todas las edades,1 de abril de 2020
Total,Mujeres,Todas las edades,1 de enero de 2020
Total,Mujeres,Todas las edades,1 de octubre de 2019
Total,Mujeres,Todas las edades,1 de julio de 2019
Total,Mujeres,Todas las edades,1 de abril de 2019
Total,Mujeres,Todas las edades,1 de enero de 2019
Total,Mujeres,Todas las edades,1 de octubre de 2018
Total,Mujeres,Todas las edades,1 de julio de 2018
Total,Mujeres,Todas las edades,1 de abril de 2018
Total,Mujeres,Todas las edades,1 de enero de 2018
Total,Mujeres,Todas las edades,1 de octubre de 2017
Total,Mujeres,Todas las edades,1 de julio de 2017
Total,Mujeres,Todas las edades,1 de abril de 2017
Total,Mujeres,Todas las edades,1 de enero de 2017
Total,Mujeres,Todas las edades,1 de octubre de 2016
Total,Mujeres,Todas las edades,1 de julio de 2016
Total,Mujeres,Todas las edades,1 de abril de 2016
Total,Mujeres,Todas las edades,1 de enero de 2016
Total,Mujeres,Todas las edades,1 de octubre de 2015
Total,Mujeres,Todas las edades,1 de julio de 2015
Total,Mujeres,Todas las edades,1 de abril de 2015
Total,Mujeres,Todas las edades,1 de enero de 2015
Total,Mujeres,Todas las edades,1 de octubre de 2014
Total,Mujeres,Todas las edades,1 de julio de 2014
Total,Mujeres,Todas las edades,1 de abril de 2014
Total,Mujeres,Todas las edades,1 de enero de 2014
Total,Mujeres,Todas las edades,1 de octubre de 2013
Total,Mujeres,Todas las edades,1 de julio de 2013
Total,Mujeres,Todas las edades,1 de abril de 2013
Total,Mujeres,Todas las edades,1 de enero de 2013
Total,Mujeres,Todas las edades,1 de octubre de 2012
Total,Mujeres,Todas las edades,1 de julio de 2012
Total,Mujeres,Todas las edades,1 de abril de 2012
Total,Mujeres,Todas las edades,1 de enero de 2012
Total,Mujeres,Todas las edades,1 de octubre de 2011
Total,Mujeres,Todas las edades,1 de julio de 2011
Total,Mujeres,Todas las edades,1 de abril de 2011
Total,Mujeres,Todas las edades,1 de enero de 2011
Total,Mujeres,Todas las edades,1 de octubre de 2010
Total,Mujeres,Todas las edades,1 de julio de 2010
Total,Mujeres,Todas las edades,1 de abril de 2010
