ano,tipo,he,total_hc,delta,flag
2019,6.2.-contra la seguridad vial,46622,49869,-3247,TRUE
2019,6.3.-otros contra la seguridad colectiva,1478,2256,-778,TRUE
2019,7. falsedades,14470,24259,-9789,TRUE
2019,8. admon. publica,327,416,-89,TRUE
2019,9. admon. justicia,30441,32082,-1641,TRUE
2019,total infracciones penales,701352,NA,NA,TRUE
2020,1. contra las personas,141773,161406,-19633,TRUE
2020,1.1.-homicidios dolosos/asesinatos,1101,1201,-100,TRUE
2020,1.1.1.-homicidios dolosos/asesinatos consumados,279,298,-19,TRUE
2020,1.2.-lesiones,64404,81449,-17045,TRUE
2020,1.3.-malos tratos ambito familiar,73615,75203,-1588,TRUE
2020,1.4.-otros contra las personas,2653,3553,-900,TRUE
2020,10. orden publico,28034,30272,-2238,TRUE
2020,11. legislacion especial,270,325,-55,TRUE
2020,12. otras infracciones penales,6677,9665,-2988,TRUE
2020,2. contra la libertad,94250,125010,-30760,TRUE
2020,2.1.-malos tratos habituales en el ambito familiar,11313,13993,-2680,TRUE
2020,2.2.-otros contra la libertad,82937,111017,-28080,TRUE
2020,3. libertad sexual,10272,13174,-2902,TRUE
2020,3.1.-agresion sexual,5953,7276,-1323,TRUE
2020,3.2.-agresion sexual con penetracion,2357,2785,-428,TRUE
2020,3.3.-corrupcion de menores o incapacitados,242,350,-108,TRUE
2020,3.4.-pornografia de menores,449,762,-313,TRUE
2020,3.5.-otros contra la libertad sexual,1271,2001,-730,TRUE
2020,4. relaciones familiares,6358,6831,-473,TRUE
2020,5. patrimonio,232761,1295699,-1062938,TRUE
2020,5.1.-hurtos,77253,420950,-343697,TRUE
2020,5.2.-robos con fuerza en las cosas,31281,219091,-187810,TRUE
2020,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,6103,54633,-48530,TRUE
2020,5.2.2.-robos con fuerza en viviendas,10753,72380,-61627,TRUE
2020,5.2.3.-robos con fuerza en establecimientos,7569,31237,-23668,TRUE
2020,5.3.-robos con violencia o intimidacion,14568,45263,-30695,TRUE
2020,5.3.1.-robos con violencia en via publica,7997,30162,-22165,TRUE
2020,5.3.2.-robos con violencia en viviendas,1351,3208,-1857,TRUE
2020,5.3.3.-robos con violencia en establecimientos,3558,6138,-2580,TRUE
2020,5.4.-sustraccion de vehiculos,8084,25387,-17303,TRUE
2020,5.5.-estafas,46261,353563,-307302,TRUE
2020,5.5.1.-estafas informaticas,25330,252438,-227108,TRUE
2020,5.6.-danos,25707,180429,-154722,TRUE
2020,5.7.-contra la propiedad intelectual/industrial,791,930,-139,TRUE
2020,5.8.-blanqueo de capitales,284,310,-26,TRUE
2020,5.9.-otros contra el patrimonio,28532,51220,-22688,TRUE
2020,6. seguridad colectiva,54139,60162,-6023,TRUE
2020,6.1.-trafico de drogas,14695,17112,-2417,TRUE
2020,6.2.-contra la seguridad vial,38210,41120,-2910,TRUE
2020,6.3.-otros contra la seguridad colectiva,1234,1930,-696,TRUE
2020,7. falsedades,11441,23872,-12431,TRUE
2020,8. admon. publica,228,350,-122,TRUE
2020,9. admon. justicia,29661,31140,-1479,TRUE
2020,total infracciones penales,615864,NA,NA,TRUE
2021,1. contra las personas,159444,183590,-24146,TRUE
2021,1.1.-homicidios dolosos/asesinatos,1165,1322,-157,TRUE
2021,1.1.1.-homicidios dolosos/asesinatos consumados,261,293,-32,TRUE
2021,1.2.-lesiones,74806,96159,-21353,TRUE
2021,1.3.-malos tratos ambito familiar,80338,82003,-1665,TRUE
2021,1.4.-otros contra las personas,3135,4106,-971,TRUE
2021,10. orden publico,25510,27594,-2084,TRUE
2021,11. legislacion especial,288,343,-55,TRUE
2021,12. otras infracciones penales,7112,10341,-3229,TRUE
2021,2. contra la libertad,104338,139867,-35529,TRUE
2021,2.1.-malos tratos habituales en el ambito familiar,12604,15008,-2404,TRUE
2021,2.2.-otros contra la libertad,91734,124859,-33125,TRUE
2021,3. libertad sexual,13222,17016,-3794,TRUE
2021,3.1.-agresion sexual,8030,10061,-2031,TRUE
2021,3.2.-agresion sexual con penetracion,3120,3795,-675,TRUE
2021,3.3.-corrupcion de menores o incapacitados,238,347,-109,TRUE
2021,3.4.-pornografia de menores,502,739,-237,TRUE
2021,3.5.-otros contra la libertad sexual,1332,2074,-742,TRUE
2021,4. relaciones familiares,6896,7410,-514,TRUE
2021,5. patrimonio,259692,1434698,-1175006,TRUE
2021,5.1.-hurtos,89791,493479,-403688,TRUE
2021,5.2.-robos con fuerza en las cosas,31197,229137,-197940,TRUE
2021,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,7740,87774,-80034,TRUE
2021,5.2.2.-robos con fuerza en viviendas,10004,75501,-65497,TRUE
2021,5.2.3.-robos con fuerza en establecimientos,7145,27198,-20053,TRUE
2021,5.3.-robos con violencia o intimidacion,16037,53073,-37036,TRUE
2021,5.3.1.-robos con violencia en via publica,8999,35726,-26727,TRUE
2021,5.3.2.-robos con violencia en viviendas,1479,3477,-1998,TRUE
2021,5.3.3.-robos con violencia en establecimientos,3644,6663,-3019,TRUE
2021,5.4.-sustraccion de vehiculos,7839,26417,-18578,TRUE
2021,5.5.-estafas,53454,367764,-314310,TRUE
2021,5.5.1.-estafas informaticas,31850,263000,-231150,TRUE
2021,5.6.-danos,29941,201828,-171887,TRUE
2021,5.7.-contra la propiedad intelectual/industrial,1018,1176,-158,TRUE
2021,5.8.-blanqueo de capitales,311,343,-32,TRUE
2021,5.9.-otros contra el patrimonio,30104,56132,-26028,TRUE
2021,6. seguridad colectiva,61506,68891,-7385,TRUE
2021,6.1.-trafico de drogas,15608,18313,-2705,TRUE
2021,6.2.-contra la seguridad vial,44553,48394,-3841,TRUE
2021,6.3.-otros contra la seguridad colectiva,1345,2184,-839,TRUE
2021,7. falsedades,14403,34058,-19655,TRUE
2021,8. admon. publica,407,541,-134,TRUE
2021,9. admon. justicia,31824,33370,-1546,TRUE
2021,total infracciones penales,684642,NA,NA,TRUE
2022,1. contra las personas,181742,212804,-31062,TRUE
2022,1.1.-homicidios dolosos/asesinatos,1383,1539,-156,TRUE
2022,1.1.1.-homicidios dolosos/asesinatos consumados,318,326,-8,TRUE
2022,1.2.-lesiones,86563,113704,-27141,TRUE
2022,1.3.-malos tratos ambito familiar,90131,92695,-2564,TRUE
2022,1.4.-otros contra las personas,3665,4866,-1201,TRUE
2022,10. orden publico,26510,28562,-2052,TRUE
2022,11. legislacion especial,286,330,-44,TRUE
2022,12. otras infracciones penales,7271,10646,-3375,TRUE
2022,2. contra la libertad,107627,143861,-36234,TRUE
2022,2.1.-malos tratos habituales en el ambito familiar,13269,15647,-2378,TRUE
2022,2.2.-otros contra la libertad,94358,128214,-33856,TRUE
2022,3. libertad sexual,14512,19013,-4501,TRUE
2022,3.1.-agresion sexual,8950,11426,-2476,TRUE
2022,3.2.-agresion sexual con penetracion,3399,4270,-871,TRUE
2022,3.3.-corrupcion de menores o incapacitados,269,384,-115,TRUE
2022,3.4.-pornografia de menores,463,707,-244,TRUE
2022,3.5.-otros contra la libertad sexual,1431,2226,-795,TRUE
2022,4. relaciones familiares,7009,7567,-558,TRUE
2022,5. patrimonio,305218,1737547,-1432329,TRUE
2022,5.1.-hurtos,113212,642276,-529064,TRUE
2022,5.2.-robos con fuerza en las cosas,35662,265901,-230239,TRUE
2022,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,9056,101084,-92028,TRUE
2022,5.2.2.-robos con fuerza en viviendas,10927,86515,-75588,TRUE
2022,5.2.3.-robos con fuerza en establecimientos,8086,31552,-23466,TRUE
2022,5.3.-robos con violencia o intimidacion,19037,63392,-44355,TRUE
2022,5.3.1.-robos con violencia en via publica,10910,43100,-32190,TRUE
2022,5.3.2.-robos con violencia en viviendas,1492,3669,-2177,TRUE
2022,5.3.3.-robos con violencia en establecimientos,4508,8210,-3702,TRUE
2022,5.4.-sustraccion de vehiculos,9277,30767,-21490,TRUE
2022,5.5.-estafas,62447,459537,-397090,TRUE
2022,5.5.1.-estafas informaticas,37107,330544,-293437,TRUE
2022,5.6.-danos,31555,213694,-182139,TRUE
2022,5.7.-contra la propiedad intelectual/industrial,1067,1217,-150,TRUE
2022,5.8.-blanqueo de capitales,361,411,-50,TRUE
2022,5.9.-otros contra el patrimonio,32600,63240,-30640,TRUE
2022,6. seguridad colectiva,68536,76692,-8156,TRUE
2022,6.1.-trafico de drogas,16607,19057,-2450,TRUE
2022,6.2.-contra la seguridad vial,50251,54976,-4725,TRUE
2022,6.3.-otros contra la seguridad colectiva,1678,2659,-981,TRUE
2022,7. falsedades,15176,37717,-22541,TRUE
2022,8. admon. publica,362,509,-147,TRUE
2022,9. admon. justicia,35951,37910,-1959,TRUE
2022,total infracciones penales,770200,NA,NA,TRUE
2023,1. contra las personas,195137,226761,-31624,TRUE
2023,1.1.-homicidios dolosos/asesinatos,1543,1692,-149,TRUE
2023,1.1.1.-homicidios dolosos/asesinatos consumados,314,333,-19,TRUE
2023,1.2.-lesiones,90437,118125,-27688,TRUE
2023,1.3.-malos tratos ambito familiar,98745,101179,-2434,TRUE
2023,1.4.-otros contra las personas,4412,5765,-1353,TRUE
2023,10. orden publico,27959,30011,-2052,TRUE
2023,11. legislacion especial,392,464,-72,TRUE
2023,12. otras infracciones penales,8167,11718,-3551,TRUE
2023,2. contra la libertad,119929,159113,-39184,TRUE
2023,2.1.-malos tratos habituales en el ambito familiar,14691,17120,-2429,TRUE
2023,2.2.-otros contra la libertad,105238,141993,-36755,TRUE
2023,3. libertad sexual,17017,21825,-4808,TRUE
2023,3.1.-agresion sexual,10072,12727,-2655,TRUE
2023,3.2.-agresion sexual con penetracion,4031,4890,-859,TRUE
2023,3.3.-corrupcion de menores o incapacitados,269,389,-120,TRUE
2023,3.4.-pornografia de menores,669,909,-240,TRUE
2023,3.5.-otros contra la libertad sexual,1976,2910,-934,TRUE
2023,4. relaciones familiares,6994,7611,-617,TRUE
2023,5. patrimonio,342640,1846821,-1504181,TRUE
2023,5.1.-hurtos,132746,665622,-532876,TRUE
2023,5.2.-robos con fuerza en las cosas,40048,272638,-232590,TRUE
2023,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10438,104988,-94550,TRUE
2023,5.2.2.-robos con fuerza en viviendas,11762,84721,-72959,TRUE
2023,5.2.3.-robos con fuerza en establecimientos,9411,35072,-25661,TRUE
2023,5.3.-robos con violencia o intimidacion,21379,64711,-43332,TRUE
2023,5.3.1.-robos con violencia en via publica,12404,44406,-32002,TRUE
2023,5.3.2.-robos con violencia en viviendas,1646,3844,-2198,TRUE
2023,5.3.3.-robos con violencia en establecimientos,5100,8238,-3138,TRUE
2023,5.4.-sustraccion de vehiculos,10752,32839,-22087,TRUE
2023,5.5.-estafas,70812,527836,-457024,TRUE
2023,5.5.1.-estafas informaticas,46628,423055,-376427,TRUE
2023,5.6.-danos,31896,209299,-177403,TRUE
2023,5.7.-contra la propiedad intelectual/industrial,1251,1451,-200,TRUE
2023,5.8.-blanqueo de capitales,492,516,-24,TRUE
2023,5.9.-otros contra el patrimonio,33264,66366,-33102,TRUE
2023,6. seguridad colectiva,70301,77130,-6829,TRUE
2023,6.1.-trafico de drogas,18906,21033,-2127,TRUE
2023,6.2.-contra la seguridad vial,49677,53517,-3840,TRUE
2023,6.3.-otros contra la seguridad colectiva,1718,2580,-862,TRUE
2023,7. falsedades,15758,40889,-25131,TRUE
2023,8. admon. publica,353,506,-153,TRUE
2023,9. admon. justicia,40085,41910,-1825,TRUE
2023,total infracciones penales,844732,NA,NA,TRUE
