ano,tipo,he,total_hc,delta,flag
2012,2.2.-otros contra la libertad,21720,26953,-5233,TRUE
2012,3. libertad sexual,6684,9008,-2324,TRUE
2012,3.1.-agresion sexual,3754,5101,-1347,TRUE
2012,3.2.-agresion sexual con penetracion,1324,1631,-307,TRUE
2012,3.3.-corrupcion de menores o incapacitados,196,278,-82,TRUE
2012,3.4.-pornografia de menores,362,569,-207,TRUE
2012,3.5.-otros contra la libertad sexual,1048,1429,-381,TRUE
2012,4. relaciones familiares,9120,10424,-1304,TRUE
2012,5. patrimonio,293409,1738733,-1445324,TRUE
2012,5.1.-hurtos,117446,790281,-672835,TRUE
2012,5.2.-robos con fuerza en las cosas,54562,405939,-351377,TRUE
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,13354,139483,-126129,TRUE
2012,5.2.2.-robos con fuerza en viviendas,13642,126425,-112783,TRUE
2012,5.2.3.-robos con fuerza en establecimientos,8193,41559,-33366,TRUE
2012,5.3.-robos con violencia o intimidacion,21820,96607,-74787,TRUE
2012,5.3.1.-robos con violencia en via publica,9278,45144,-35866,TRUE
2012,5.3.2.-robos con violencia en viviendas,1420,6912,-5492,TRUE
2012,5.3.3.-robos con violencia en establecimientos,2965,6822,-3857,TRUE
2012,5.4.-sustraccion de vehiculos,13780,55197,-41417,TRUE
2012,5.5.-estafas,33656,112134,-78478,TRUE
2012,5.5.1.-estafas informaticas,5764,23268,-17504,TRUE
2012,5.6.-danos,30204,246355,-216151,TRUE
2012,5.7.-contra la propiedad intelectual/industrial,2696,2884,-188,TRUE
2012,5.8.-blanqueo de capitales,179,199,-20,TRUE
2012,5.9.-otros contra el patrimonio,19066,32495,-13429,TRUE
2012,6. seguridad colectiva,72371,76654,-4283,TRUE
2012,6.1.-trafico de drogas,13917,14509,-592,TRUE
2012,6.2.-contra la seguridad vial,56645,59634,-2989,TRUE
2012,6.3.-otros contra la seguridad colectiva,1809,2511,-702,TRUE
2012,7. falsedades,11535,17937,-6402,TRUE
2012,8. admon. publica,238,325,-87,TRUE
2012,9. admon. justicia,26270,28205,-1935,TRUE
2012,total infracciones penales,727941,NA,NA,TRUE
2013,1. contra las personas,230268,274655,-44387,TRUE
2013,1.1.-homicidios dolosos/asesinatos,888,964,-76,TRUE
2013,1.1.1.-homicidios dolosos/asesinatos consumados,227,302,-75,TRUE
2013,1.2.-lesiones,80383,100193,-19810,TRUE
2013,1.3.-malos tratos ambito familiar,58932,59819,-887,TRUE
2013,1.4.-otros contra las personas,90065,113679,-23614,TRUE
2013,10. orden publico,29154,31489,-2335,TRUE
2013,11. legislacion especial,261,205,56,TRUE
2013,12. otras infracciones penales,4887,7129,-2242,TRUE
2013,2. contra la libertad,35126,43322,-8196,TRUE
2013,2.1.-malos tratos habituales en el ambito familiar,13337,16676,-3339,TRUE
2013,2.2.-otros contra la libertad,21789,26646,-4857,TRUE
2013,3. libertad sexual,6759,8923,-2164,TRUE
2013,3.1.-agresion sexual,3603,4859,-1256,TRUE
2013,3.2.-agresion sexual con penetracion,1392,1684,-292,TRUE
2013,3.3.-corrupcion de menores o incapacitados,253,320,-67,TRUE
2013,3.4.-pornografia de menores,304,508,-204,TRUE
2013,3.5.-otros contra la libertad sexual,1207,1552,-345,TRUE
2013,4. relaciones familiares,9078,10331,-1253,TRUE
2013,5. patrimonio,313890,1663888,-1349998,TRUE
2013,5.1.-hurtos,126502,770296,-643794,TRUE
2013,5.2.-robos con fuerza en las cosas,62145,381777,-319632,TRUE
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,13496,123355,-109859,TRUE
2013,5.2.2.-robos con fuerza en viviendas,18414,127444,-109030,TRUE
