ano,tipo,sum_sex,total_decl,diff,rel_diff
2022,1. contra las personas,78552,39276,-39276,-0.5
2022,1.1.-homicidios dolosos/asesinatos,964,482,-482,-0.5
2022,1.1.1.-homicidios dolosos/asesinatos consumados,210,105,-105,-0.5
2022,1.2.-lesiones,26266,13133,-13133,-0.5
2022,1.3.-malos tratos ambito familiar,49374,24687,-24687,-0.5
2022,1.4.-otros contra las personas,1948,974,-974,-0.5
2022,10. orden publico,17432,8716,-8716,-0.5
2022,11. legislacion especial,196,98,-98,-0.5
2022,12. otras infracciones penales,3422,1711,-1711,-0.5
2022,2. contra la libertad,26856,13428,-13428,-0.5
2022,2.1.-malos tratos habituales en el ambito familiar,6124,3062,-3062,-0.5
2022,2.2.-otros contra la libertad,20732,10366,-10366,-0.5
2022,3. libertad sexual,8366,4183,-4183,-0.5
2022,3.1.-agresion sexual,5236,2618,-2618,-0.5
2022,3.2.-agresion sexual con penetracion,2124,1062,-1062,-0.5
2022,3.3.-corrupcion de menores o incapacitados,104,52,-52,-0.5
2022,3.4.-pornografia de menores,124,62,-62,-0.5
2022,3.5.-otros contra la libertad sexual,778,389,-389,-0.5
2022,4. relaciones familiares,1496,748,-748,-0.5
2022,5. patrimonio,140410,70205,-70205,-0.5
2022,5.1.-hurtos,64222,32111,-32111,-0.5
2022,5.2.-robos con fuerza en las cosas,19470,9735,-9735,-0.5
2022,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,4718,2359,-2359,-0.5
2022,5.2.2.-robos con fuerza en viviendas,6660,3330,-3330,-0.5
2022,5.2.3.-robos con fuerza en establecimientos,4068,2034,-2034,-0.5
2022,5.3.-robos con violencia o intimidacion,17488,8744,-8744,-0.5
2022,5.3.1.-robos con violencia en via publica,11992,5996,-5996,-0.5
2022,5.3.2.-robos con violencia en viviendas,766,383,-383,-0.5
2022,5.3.3.-robos con violencia en establecimientos,2642,1321,-1321,-0.5
2022,5.4.-sustraccion de vehiculos,2032,1016,-1016,-0.5
2022,5.5.-estafas,9550,4775,-4775,-0.5
2022,5.5.1.-estafas informaticas,3790,1895,-1895,-0.5
2022,5.6.-danos,6768,3384,-3384,-0.5
2022,5.7.-contra la propiedad intelectual/industrial,1492,746,-746,-0.5
2022,5.8.-blanqueo de capitales,398,199,-199,-0.5
2022,5.9.-otros contra el patrimonio,18990,9495,-9495,-0.5
2022,6. seguridad colectiva,39708,19854,-19854,-0.5
2022,6.1.-trafico de drogas,16656,8328,-8328,-0.5
2022,6.2.-contra la seguridad vial,22222,11111,-11111,-0.5
2022,6.3.-otros contra la seguridad colectiva,830,415,-415,-0.5
2022,7. falsedades,13846,6923,-6923,-0.5
2022,8. admon. publica,110,55,-55,-0.5
2022,9. admon. justicia,14234,7117,-7117,-0.5
