ano,delito5,total,extranjeros,espanoles
2022,3. libertad sexual,11699,4183,7516
2022,3.1.-agresion sexual,7133,2618,4515
2022,3.2.-agresion sexual con penetracion,2755,1062,1693
2022,3.3.-corrupcion de menores o incapacitados,221,52,169
2022,3.4.-pornografia de menores,467,62,405
2022,3.5.-otros contra la libertad sexual,1123,389,734
2022,4. relaciones familiares,2509,748,1761
2022,5. patrimonio,179947,70205,109742
2022,5.1.-hurtos,74111,32111,42000
2022,5.2.-robos con fuerza en las cosas,28274,9735,18539
2022,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5948,2359,3589
2022,5.2.2.-robos con fuerza en viviendas,8249,3330,4919
2022,5.2.3.-robos con fuerza en establecimientos,6828,2034,4794
2022,5.3.-robos con violencia o intimidacion,18478,8744,9734
2022,5.3.1.-robos con violencia en via publica,11104,5996,5108
2022,5.3.2.-robos con violencia en viviendas,1204,383,821
2022,5.3.3.-robos con violencia en establecimientos,4073,1321,2752
2022,5.4.-sustraccion de vehiculos,3612,1016,2596
2022,5.5.-estafas,19232,4775,14457
2022,5.5.1.-estafas informaticas,8119,1895,6224
2022,5.6.-danos,12671,3384,9287
2022,5.7.-contra la propiedad intelectual/industrial,1245,746,499
2022,5.8.-blanqueo de capitales,690,199,491
2022,5.9.-otros contra el patrimonio,21634,9495,12139
2022,6. seguridad colectiva,70323,19854,50469
2022,6.1.-trafico de drogas,24029,8328,15701
2022,6.2.-contra la seguridad vial,44548,11111,33437
2022,6.3.-otros contra la seguridad colectiva,1746,415,1331
2022,7. falsedades,11132,6923,4209
2022,8. admon. publica,305,55,250
2022,9. admon. justicia,27099,7117,19982
2022,total infracciones penales,508419,172314,336105
2023,1. contra las personas,132332,43216,89116
2023,1.1.-homicidios dolosos/asesinatos,1631,568,1063
2023,1.1.1.-homicidios dolosos/asesinatos consumados,399,137,262
2023,1.2.-lesiones,45598,13538,32060
2023,1.3.-malos tratos ambito familiar,81461,27806,53655
2023,1.4.-otros contra las personas,3642,1304,2338
2023,10. orden publico,24453,9804,14649
2023,11. legislacion especial,433,93,340
2023,12. otras infracciones penales,6574,1771,4803
2023,2. contra la libertad,58423,15586,42837
2023,2.1.-malos tratos habituales en el ambito familiar,12085,3565,8520
2023,2.2.-otros contra la libertad,46338,12021,34317
2023,3. libertad sexual,13767,5136,8631
2023,3.1.-agresion sexual,8232,3125,5107
2023,3.2.-agresion sexual con penetracion,3160,1326,1834
2023,3.3.-corrupcion de menores o incapacitados,191,36,155
2023,3.4.-pornografia de menores,649,83,566
2023,3.5.-otros contra la libertad sexual,1535,566,969
2023,4. relaciones familiares,2655,830,1825
2023,5. patrimonio,204374,83969,120405
2023,5.1.-hurtos,89492,40651,48841
2023,5.2.-robos con fuerza en las cosas,30866,10668,20198
2023,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,6974,2823,4151
2023,5.2.2.-robos con fuerza en viviendas,8722,3489,5233
2023,5.2.3.-robos con fuerza en establecimientos,7697,2247,5450
2023,5.3.-robos con violencia o intimidacion,20790,10553,10237
2023,5.3.1.-robos con violencia en via publica,12246,7044,5202
2023,5.3.2.-robos con violencia en viviendas,1413,524,889
2023,5.3.3.-robos con violencia en establecimientos,4884,1810,3074
2023,5.4.-sustraccion de vehiculos,3948,1104,2844
2023,5.5.-estafas,22135,6001,16134
2023,5.5.1.-estafas informaticas,10462,2466,7996
2023,5.6.-danos,12606,3529,9077
2023,5.7.-contra la propiedad intelectual/industrial,1327,826,501
2023,5.8.-blanqueo de capitales,642,146,496
2023,5.9.-otros contra el patrimonio,22568,10491,12077
2023,6. seguridad colectiva,71713,21353,50360
2023,6.1.-trafico de drogas,26205,9552,16653
2023,6.2.-contra la seguridad vial,43614,11322,32292
2023,6.3.-otros contra la seguridad colectiva,1894,479,1415
2023,7. falsedades,11124,6876,4248
2023,8. admon. publica,297,37,260
2023,9. admon. justicia,30648,8425,22223
2023,total infracciones penales,556793,197096,359697
