ano,delito5,total,extranjeros,espanoles
2012,5.8.-blanqueo de capitales,567,198,369
2012,5.9.-otros contra el patrimonio,11008,2781,8227
2012,6. seguridad colectiva,72976,19199,53777
2012,6.1.-trafico de drogas,22575,7821,14754
2012,6.2.-contra la seguridad vial,48133,10762,37371
2012,6.3.-otros contra la seguridad colectiva,2268,616,1652
2012,7. falsedades,11624,6693,4931
2012,8. admon. publica,274,29,245
2012,9. admon. justicia,20991,4644,16347
2012,total infracciones penales,461042,128981,332061
2013,1. contra las personas,93213,23714,69499
2013,1.1.-homicidios dolosos/asesinatos,1086,250,836
2013,1.1.1.-homicidios dolosos/asesinatos consumados,311,81,230
2013,1.2.-lesiones,28574,7155,21419
2013,1.3.-malos tratos ambito familiar,49079,14046,35033
2013,1.4.-otros contra las personas,14474,2263,12211
2013,10. orden publico,24981,8046,16935
2013,11. legislacion especial,295,81,214
2013,12. otras infracciones penales,4013,1557,2456
2013,2. contra la libertad,27444,6091,21353
2013,2.1.-malos tratos habituales en el ambito familiar,11184,2653,8531
2013,2.2.-otros contra la libertad,16260,3438,12822
2013,3. libertad sexual,5827,1843,3984
2013,3.1.-agresion sexual,2831,855,1976
2013,3.2.-agresion sexual con penetracion,1179,438,741
2013,3.3.-corrupcion de menores o incapacitados,221,48,173
2013,3.4.-pornografia de menores,391,34,357
2013,3.5.-otros contra la libertad sexual,1205,468,737
2013,4. relaciones familiares,2817,516,2301
2013,5. patrimonio,195566,54266,141300
2013,5.1.-hurtos,72864,23045,49819
2013,5.2.-robos con fuerza en las cosas,56230,12827,43403
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8924,1897,7027
2013,5.2.2.-robos con fuerza en viviendas,16437,4973,11464
2013,5.2.3.-robos con fuerza en establecimientos,9601,2326,7275
2013,5.3.-robos con violencia o intimidacion,22152,6393,15759
2013,5.3.1.-robos con violencia en via publica,10175,4073,6102
2013,5.3.2.-robos con violencia en viviendas,1769,595,1174
2013,5.3.3.-robos con violencia en establecimientos,3564,970,2594
2013,5.4.-sustraccion de vehiculos,6203,1444,4759
2013,5.5.-estafas,12567,3269,9298
2013,5.5.1.-estafas informaticas,1940,587,1353
2013,5.6.-danos,8812,1836,6976
2013,5.7.-contra la propiedad intelectual/industrial,2595,1882,713
2013,5.8.-blanqueo de capitales,597,177,420
2013,5.9.-otros contra el patrimonio,13546,3393,10153
2013,6. seguridad colectiva,68771,17574,51197
2013,6.1.-trafico de drogas,22312,7359,14953
2013,6.2.-contra la seguridad vial,44625,9835,34790
2013,6.3.-otros contra la seguridad colectiva,1834,380,1454
2013,7. falsedades,14055,6364,7691
2013,8. admon. publica,398,46,352
2013,9. admon. justicia,20707,4296,16411
2013,total infracciones penales,458087,124394,333693
2014,1. contra las personas,97159,21611,75548
2014,1.1.-homicidios dolosos/asesinatos,1106,198,908
2014,1.1.1.-homicidios dolosos/asesinatos consumados,305,74,231
2014,1.2.-lesiones,28867,6363,22504
2014,1.3.-malos tratos ambito familiar,50644,12801,37843
2014,1.4.-otros contra las personas,16542,2249,14293
2014,10. orden publico,22357,6808,15549
2014,11. legislacion especial,255,55,200
2014,12. otras infracciones penales,4908,1566,3342
2014,2. contra la libertad,25834,5119,20715
2014,2.1.-malos tratos habituales en el ambito familiar,10454,2232,8222
2014,2.2.-otros contra la libertad,15380,2887,12493
2014,3. libertad sexual,6186,1684,4502
2014,3.1.-agresion sexual,3060,818,2242
2014,3.2.-agresion sexual con penetracion,1191,369,822
2014,3.3.-corrupcion de menores o incapacitados,264,42,222
2014,3.4.-pornografia de menores,456,49,407
2014,3.5.-otros contra la libertad sexual,1215,406,809
2014,4. relaciones familiares,2920,546,2374
2014,5. patrimonio,176396,45583,130813
2014,5.1.-hurtos,68509,20217,48292
2014,5.2.-robos con fuerza en las cosas,45249,10126,35123
2014,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,6884,1279,5605
2014,5.2.2.-robos con fuerza en viviendas,13513,4235,9278
2014,5.2.3.-robos con fuerza en establecimientos,8016,1869,6147
2014,5.3.-robos con violencia o intimidacion,18258,4643,13615
2014,5.3.1.-robos con violencia en via publica,8538,2887,5651
2014,5.3.2.-robos con violencia en viviendas,1490,483,1007
2014,5.3.3.-robos con violencia en establecimientos,3020,764,2256
2014,5.4.-sustraccion de vehiculos,5392,1209,4183
2014,5.5.-estafas,13085,2780,10305
2014,5.5.1.-estafas informaticas,2200,473,1727
2014,5.6.-danos,8100,1659,6441
2014,5.7.-contra la propiedad intelectual/industrial,2263,1484,779
2014,5.8.-blanqueo de capitales,803,171,632
2014,5.9.-otros contra el patrimonio,14737,3294,11443
2014,6. seguridad colectiva,63639,14949,48690
2014,6.1.-trafico de drogas,20701,6196,14505
2014,6.2.-contra la seguridad vial,41153,8364,32789
2014,6.3.-otros contra la seguridad colectiva,1785,389,1396
2014,7. falsedades,11651,6335,5316
2014,8. admon. publica,509,53,456
2014,9. admon. justicia,20541,3690,16851
2014,total infracciones penales,432355,107999,324356
2015,1. contra las personas,86933,19923,67010
2015,1.1.-homicidios dolosos/asesinatos,1076,230,846
2015,1.1.1.-homicidios dolosos/asesinatos consumados,351,91,260
2015,1.2.-lesiones,27203,5951,21252
2015,1.3.-malos tratos ambito familiar,49898,12430,37468
2015,1.4.-otros contra las personas,8756,1312,7444
2015,10. orden publico,18628,5573,13055
2015,11. legislacion especial,270,68,202
2015,12. otras infracciones penales,4451,1404,3047
2015,2. contra la libertad,29183,5332,23851
2015,2.1.-malos tratos habituales en el ambito familiar,9804,2036,7768
2015,2.2.-otros contra la libertad,19379,3296,16083
2015,3. libertad sexual,6044,1496,4548
2015,3.1.-agresion sexual,3026,755,2271
2015,3.2.-agresion sexual con penetracion,1159,341,818
2015,3.3.-corrupcion de menores o incapacitados,294,36,258
