columna,muestra_unicos
comunidades_autonomas,TOTAL NACIONAL | ANDALUCÍA | ARAGÓN | ASTURIAS (PRINCIPADO DE) | BALEARS (ILLES) | CANARIAS | CANTABRIA | CASTILLA Y LEÓN | CASTILLA - LA MANCHA | CATALUÑA | COMUNITAT VALENCIANA | EXTREMADURA | GALICIA | MADRID (COMUNIDAD DE) | MURCIA (REGIÓN DE) | NAVARRA (COMUNIDAD FORAL DE) | PAÍS VASCO | RIOJA (LA) | CIUDAD AUTÓNOMA DE CEUTA | CIUDAD AUTÓNOMA DE MELILLA | EN EL EXTRANJERO | DESCONOCIDA
tipologia_penal,1. CONTRA LAS PERSONAS | 1.1.-Homicidios dolosos/asesinatos | 1.1.1.-Homicidios dolosos/asesinatos consumados | 1.2.-Lesiones | 1.3.-Malos tratos ámbito familiar | 1.4.-Otros contra las personas | 2. CONTRA LA LIBERTAD | 2.1.-Malos tratos habituales en el ámbito familiar | 2.2.-Otros contra la libertad | 3. LIBERTAD SEXUAL | 3.1.-Agresión sexual | 3.2.-Agresión sexual con penetración | 3.3.-Corrupción de menores o incapacitados | 3.4.-Pornografía de menores | 3.5.-Otros contra la libertad sexual | 4. RELACIONES FAMILIARES | 5. PATRIMONIO | 5.1.-Hurtos | 5.2.-Robos con fuerza en las cosas | 5.2.1.-Robos con fuerza en las cosas en el interior de vehículos | 5.2.2.-Robos con fuerza en viviendas | 5.2.3.-Robos con fuerza en establecimientos | 5.3.-Robos con violencia o intimidación | 5.3.1.-Robos con violencia en vía pública | 5.3.2.-Robos con violencia en viviendas | 5.3.3.-Robos con violencia en establecimientos | 5.4.-Sustracción de vehículos | 5.5.-Estafas | 5.5.1.-Estafas informáticas | 5.6.-Daños | 5.7.-Contra la propiedad intelectual/industrial | 5.8.-Blanqueo de capitales | 5.9.-Otros contra el patrimonio | 6. SEGURIDAD COLECTIVA | 6.1.-Tráfico de drogas | 6.2.-Contra la seguridad vial | 6.3.-Otros contra la seguridad colectiva | 7. FALSEDADES | 8. ADMÓN. PÚBLICA | 9. ADMÓN. JUSTICIA | 10. ORDEN PÚBLICO | 11. LEGISLACIÓN ESPECIAL | 12. OTRAS INFRACCIONES PENALES | TOTAL INFRACCIONES PENALES
periodo,2023 | 2022 | 2021 | 2020 | 2019 | 2018 | 2017 | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010
total,226.761 | 212.804 | 183.590 | 161.406 | 186.110 | 177.165 | 174.217 | 166.431 | 223.893 | 281.713 | 274.655 | 286.446 | 300.654 | 297.488 | 1.692 | 1.539 | 1.322 | 1.201 | 1.167 | 1.088 | 1.106 | 1.107 | 964 | 1.048 | 1.125 | 1.210 | 1.177 | 333 | 326 | 293 | 298 | 331 | 289 | 307 | 294 | 302 | 323 | 364 | 385 | 401 | 118.125 | 113.704 | 96.159 | 81.449 | 103.341 | 99.928 | 100.354 | 97.108 | 97.012 | 98.821
