window,var,mode,test,n_obs,stat,cv_1pct,cv_5pct,cv_10pct,reject_1pct,reject_5pct,reject_10pct,za_break_index,za_break_year
con_covid_2010_2023,tasa_he_por_100k,diff,"ERS(DF-GLS,const)",13,-1.3740104228054042,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_he_por_100k,diff,"ERS(DF-GLS,trend)",13,-2.62127246752902,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,"ADF(drift,lag<=1,tau2)",14,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,"ADF(trend,lag<=1,tau3)",14,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,"PP(Z-tau,const,long)",14,-1.2772974940208228,-4.068038461538461,-3.1221828402366865,-2.7042242603550295,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,"PP(Z-tau,trend,long)",14,-1.1978833552786183,-4.887048520710059,-3.828795266272189,-3.358752071005917,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,KPSS(mu: level),14,0.18704448984783484,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,KPSS(tau: trend),14,0.12500574360607417,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,"ERS(DF-GLS,const)",14,-1.640068252301324,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,"ERS(DF-GLS,trend)",14,-2.148709648077433,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_det_por_100k,level,ZA(break:both),14,-1.852119071371295,NA,NA,NA,NA,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,diff,"ADF(drift,lag<=1,tau2)",13,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,diff,"ADF(trend,lag<=1,tau3)",13,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,diff,"PP(Z-tau,const,long)",13,-3.739413093110942,-4.136541666666666,-3.1483222222222222,-2.7180444444444443,FALSE,TRUE,TRUE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,diff,"PP(Z-tau,trend,long)",13,-12.148551812875288,-4.989327777777778,-3.873002777777778,-3.3820388888888884,TRUE,TRUE,TRUE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,diff,KPSS(mu: level),13,0.1556861105701459,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,diff,KPSS(tau: trend),13,0.13724157101697596,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
con_covid_2010_2023,tasa_det_por_100k,diff,"ERS(DF-GLS,const)",13,-1.3290578882029391,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_det_por_100k,diff,"ERS(DF-GLS,trend)",13,-1.678688883432491,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,share_ext,level,"ADF(drift,lag<=1,tau2)",14,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,level,"ADF(trend,lag<=1,tau3)",14,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,level,"PP(Z-tau,const,long)",14,-0.6793496335635495,-4.068038461538461,-3.1221828402366865,-2.7042242603550295,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,level,"PP(Z-tau,trend,long)",14,-0.730735482207058,-4.887048520710059,-3.828795266272189,-3.358752071005917,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,level,KPSS(mu: level),14,0.2564123682576388,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,level,KPSS(tau: trend),14,0.1582660063554714,0.216,0.146,0.119,FALSE,TRUE,TRUE,NA,NA
con_covid_2010_2023,share_ext,level,"ERS(DF-GLS,const)",14,-1.30383384629963,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,share_ext,level,"ERS(DF-GLS,trend)",14,-1.6254446367480997,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,share_ext,level,ZA(break:both),14,-2.9262944534988375,NA,NA,NA,NA,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,diff,"ADF(drift,lag<=1,tau2)",13,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,diff,"ADF(trend,lag<=1,tau3)",13,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,diff,"PP(Z-tau,const,long)",13,-2.1718465339739725,-4.136541666666666,-3.1483222222222222,-2.7180444444444443,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,diff,"PP(Z-tau,trend,long)",13,-5.071749794545414,-4.989327777777778,-3.873002777777778,-3.3820388888888884,TRUE,TRUE,TRUE,NA,NA
con_covid_2010_2023,share_ext,diff,KPSS(mu: level),13,0.44144692545187825,0.739,0.463,0.347,FALSE,FALSE,TRUE,NA,NA
con_covid_2010_2023,share_ext,diff,KPSS(tau: trend),13,0.09246983488566377,0.216,0.146,0.119,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,share_ext,diff,"ERS(DF-GLS,const)",13,-0.8702914470863862,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,share_ext,diff,"ERS(DF-GLS,trend)",13,-2.481960855264653,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,"ADF(drift,lag<=1,tau2)",14,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,"ADF(trend,lag<=1,tau3)",14,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,"PP(Z-tau,const,long)",14,-0.6483101209853612,-4.068038461538461,-3.1221828402366865,-2.7042242603550295,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,"PP(Z-tau,trend,long)",14,0.9235570938489952,-4.887048520710059,-3.828795266272189,-3.358752071005917,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,KPSS(mu: level),14,0.2298351511387539,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,KPSS(tau: trend),14,0.16044222318429086,0.216,0.146,0.119,FALSE,TRUE,TRUE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,"ERS(DF-GLS,const)",14,-1.069700693788577,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,"ERS(DF-GLS,trend)",14,-1.389810098072861,NA,NA,NA,NA,NA,NA,NA,NA
