ano,dln_pib_pc,d_tasa_hc_100k,d_tasa_he_100k,d_pct_extran,d_share_ext
2010,NA,NA,NA,NA,NA
2011,-0.01025229402411653,-43.934517710374166,18.13212139269376,-0.00223177131868873,-1.109384270552802
2012,-0.02927854473251834,-36.99730766962512,-15.939267669510857,-0.0028716561004929,-0.6240658342274905
2013,-0.01066790573572085,-190.1453246836736,21.599514980139706,-0.00548531134271231,-0.49631617295110786
2014,0.01785761740000602,-157.62077646523085,-40.208866317848106,-0.00701763679705412,-1.543830592854622
2015,0.04087256214181956,-114.3318728363547,-118.1866953262802,-0.0022049599794276,-0.7126959625487146
2016,0.02792363317181667,-62.46556419249919,-41.01414446644435,-7.02600979459081e-4,0.3560151176665123
2017,0.02678211694973065,69.84568949640652,26.48099943232205,0.00122789935112231,-0.10391353251807443
2018,0.01934443025592713,163.37319050206042,34.01000093382663,0.00433570414738468,0.4736785019318788
2019,0.01157809385654218,109.0912406311736,50.077532844944926,0.00686883612537092,0.677055945106428
2020,-0.12145668948915755,-939.2868167265606,-189.4915908624259,0.00599980798870343,3.737332084471351
2021,0.06453852113757108,403.12295124519824,145.08289101118794,4.923034048211622e-4,0.35862119731740094
2022,0.05095911906034089,727.0395636013818,166.6528900603937,0.00772325284944477,1.2996258493693986
2023,0.01409518884768168,238.96755102426232,136.25600228967164,0.00896613281051889,1.0495585291242977
