ano,share_extranjeros
2010,20.129386492540963
2011,19.02000222198816
2012,18.39593638776067
2013,17.899620214809563
2014,16.35578962195494
2015,15.643093659406226
2016,15.999108777072738
2017,15.895195244554664
2018,16.368873746486543
2019,17.04592969159297
2020,20.78326177606432
2021,21.141882973381723
2022,22.44150882275112
2023,23.49106735187542
