Comunidades autónomas;Tipología penal;Sexo;periodo;Total
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2019;152
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2018;147
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2017;93
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2016;168
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2015;94
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2014;188
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2013;243
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2012;189
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2011;122
BALEARS (ILLES);5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2010;87
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2023;58
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2022;70
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2021;57
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2020;48
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2019;44
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2018;34
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2017;49
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2016;53
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2015;52
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2014;61
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2013;87
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2012;81
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2011;82
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Masculino;2010;83
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2023;3
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2022;7
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2021;2
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2020;1
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2019;1
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2018;2
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2017;3
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2016;7
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2015;4
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2014;5
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2013;8
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2012;14
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2011;4
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Femenino;2010;21
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2023;61
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2022;77
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2021;59
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2020;49
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2019;45
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2018;36
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2017;52
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2016;60
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2015;56
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2014;66
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2013;95
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2012;95
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2011;86
BALEARS (ILLES);5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2010;104
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2023;311
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2022;239
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2021;196
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2020;155
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2019;208
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2018;137
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2017;140
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2016;131
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2015;111
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2014;125
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2013;223
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2012;242
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2011;238
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Masculino;2010;198
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2023;28
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2022;22
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2021;14
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2020;15
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2019;39
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2018;19
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2017;20
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2016;20
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2015;17
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2014;51
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2013;66
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2012;98
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2011;41
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Femenino;2010;47
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2023;339
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2022;261
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2021;210
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2020;170
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2019;247
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2018;156
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2017;160
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2016;151
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2015;128
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2014;176
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2013;289
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2012;340
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2011;279
BALEARS (ILLES);5.3.-Robos con violencia o intimidación;Ambos sexos;2010;245
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2023;197
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2022;145
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2021;117
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2020;102
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2019;124
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2018;73
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2017;96
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2016;83
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2015;53
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2014;70
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2013;124
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2012;146
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2011;123
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Masculino;2010;121
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2023;14
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2022;17
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2021;5
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2020;5
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2019;26
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2018;13
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2017;12
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2016;11
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2015;14
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2014;38
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2013;52
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2012;78
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2011;16
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Femenino;2010;25
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2023;211
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2022;162
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2021;122
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2020;107
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2019;150
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2018;86
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2017;108
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2016;94
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2015;67
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2014;108
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2013;176
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2012;224
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2011;139
BALEARS (ILLES);5.3.1.-Robos con violencia en vía pública;Ambos sexos;2010;146
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2023;15
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2022;14
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2021;24
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2020;12
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2019;19
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2018;27
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2017;5
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2016;8
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2015;12
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2014;16
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2013;31
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2012;26
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2011;38
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Masculino;2010;16
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2023;2
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2022;2
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2021;5
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2020;4
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2019;0
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2018;0
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2017;2
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2016;5
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2015;0
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2014;5
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2013;4
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2012;6
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2011;4
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Femenino;2010;6
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2023;17
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2022;16
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2021;29
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2020;16
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2019;19
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2018;27
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2017;7
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2016;13
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2015;12
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2014;21
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2013;35
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2012;32
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2011;42
BALEARS (ILLES);5.3.2.-Robos con violencia en viviendas;Ambos sexos;2010;22
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2023;51
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2022;40
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2021;25
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2020;24
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2019;23
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2018;24
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2017;26
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2016;24
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2015;26
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2014;20
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2013;42
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2012;39
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2011;32
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Masculino;2010;41
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2023;9
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2022;1
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2021;4
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2020;3
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2019;10
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2018;6
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2017;3
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2016;4
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2015;2
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2014;7
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2013;8
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2012;11
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2011;7
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Femenino;2010;5
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2023;60
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2022;41
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2021;29
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2020;27
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2019;33
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2018;30
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2017;29
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2016;28
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2015;28
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2014;27
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2013;50
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2012;50
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2011;39
BALEARS (ILLES);5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2010;46
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2023;45
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2022;35
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2021;26
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2020;32
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2019;29
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2018;28
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2017;63
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2016;79
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2015;44
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2014;51
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2013;64
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2012;76
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2011;54
BALEARS (ILLES);5.4.-Sustracción de vehículos;Masculino;2010;45
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2023;5
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2022;3
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2021;3
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2020;5
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2019;6
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2018;5
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2017;9
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2016;3
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2015;1
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2014;6
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2013;12
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2012;4
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2011;9
BALEARS (ILLES);5.4.-Sustracción de vehículos;Femenino;2010;3
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2023;50
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2022;38
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2021;29
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2020;37
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2019;35
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2018;33
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2017;72
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2016;82
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2015;45
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2014;57
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2013;76
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2012;80
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2011;63
BALEARS (ILLES);5.4.-Sustracción de vehículos;Ambos sexos;2010;48
BALEARS (ILLES);5.5.-Estafas;Masculino;2023;108
BALEARS (ILLES);5.5.-Estafas;Masculino;2022;57
BALEARS (ILLES);5.5.-Estafas;Masculino;2021;69
BALEARS (ILLES);5.5.-Estafas;Masculino;2020;56
BALEARS (ILLES);5.5.-Estafas;Masculino;2019;91
BALEARS (ILLES);5.5.-Estafas;Masculino;2018;109
BALEARS (ILLES);5.5.-Estafas;Masculino;2017;96
BALEARS (ILLES);5.5.-Estafas;Masculino;2016;93
BALEARS (ILLES);5.5.-Estafas;Masculino;2015;68
BALEARS (ILLES);5.5.-Estafas;Masculino;2014;86
BALEARS (ILLES);5.5.-Estafas;Masculino;2013;91
BALEARS (ILLES);5.5.-Estafas;Masculino;2012;94
BALEARS (ILLES);5.5.-Estafas;Masculino;2011;121
BALEARS (ILLES);5.5.-Estafas;Masculino;2010;64
BALEARS (ILLES);5.5.-Estafas;Femenino;2023;27
BALEARS (ILLES);5.5.-Estafas;Femenino;2022;20
BALEARS (ILLES);5.5.-Estafas;Femenino;2021;16
BALEARS (ILLES);5.5.-Estafas;Femenino;2020;6
BALEARS (ILLES);5.5.-Estafas;Femenino;2019;23
BALEARS (ILLES);5.5.-Estafas;Femenino;2018;40
BALEARS (ILLES);5.5.-Estafas;Femenino;2017;44
BALEARS (ILLES);5.5.-Estafas;Femenino;2016;39
BALEARS (ILLES);5.5.-Estafas;Femenino;2015;51
BALEARS (ILLES);5.5.-Estafas;Femenino;2014;35
BALEARS (ILLES);5.5.-Estafas;Femenino;2013;35
BALEARS (ILLES);5.5.-Estafas;Femenino;2012;42
BALEARS (ILLES);5.5.-Estafas;Femenino;2011;36
BALEARS (ILLES);5.5.-Estafas;Femenino;2010;37
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2023;135
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2022;77
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2021;85
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2020;62
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2019;114
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2018;149
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2017;140
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2016;132
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2015;119
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2014;121
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2013;126
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2012;136
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2011;157
BALEARS (ILLES);5.5.-Estafas;Ambos sexos;2010;101
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2023;31
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2022;20
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2021;23
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2020;11
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2019;11
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2018;9
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2017;9
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2016;7
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2015;13
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2014;11
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2013;11
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2012;11
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2011;8
BALEARS (ILLES);5.5.1.-Estafas informáticas;Masculino;2010;17
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2023;16
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2022;10
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2021;4
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2020;2
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2019;5
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2018;4
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2017;4
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2016;1
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2015;2
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2014;5
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2013;6
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2012;8
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2011;6
BALEARS (ILLES);5.5.1.-Estafas informáticas;Femenino;2010;7
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2023;47
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2022;30
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2021;27
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2020;13
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2019;16
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2018;13
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2017;13
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2016;8
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2015;15
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2014;16
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2013;17
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2012;19
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2011;14
BALEARS (ILLES);5.5.1.-Estafas informáticas;Ambos sexos;2010;24
BALEARS (ILLES);5.6.-Daños;Masculino;2023;127
BALEARS (ILLES);5.6.-Daños;Masculino;2022;105
BALEARS (ILLES);5.6.-Daños;Masculino;2021;87
BALEARS (ILLES);5.6.-Daños;Masculino;2020;68
