Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2021;49.856
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2020;45.672
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2019;40.383
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2018;38.927
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2017;37.237
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2016;34.222
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2015;29.183
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2014;25.834
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2013;27.444
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2012;27.943
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2011;28.751
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2010;24.203
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2023;12.085
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2022;10.964
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2021;10.222
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2020;9.514
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2019;9.488
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2018;9.078
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2017;9.141
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2016;9.083
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2015;9.804
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2014;10.454
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2013;11.184
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2012;11.621
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2011;12.164
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2010;10.905
TOTAL NACIONAL;2.2.-Otros contra la libertad;2023;46.338
TOTAL NACIONAL;2.2.-Otros contra la libertad;2022;41.713
TOTAL NACIONAL;2.2.-Otros contra la libertad;2021;39.634
TOTAL NACIONAL;2.2.-Otros contra la libertad;2020;36.158
TOTAL NACIONAL;2.2.-Otros contra la libertad;2019;30.895
TOTAL NACIONAL;2.2.-Otros contra la libertad;2018;29.849
TOTAL NACIONAL;2.2.-Otros contra la libertad;2017;28.096
TOTAL NACIONAL;2.2.-Otros contra la libertad;2016;25.139
TOTAL NACIONAL;2.2.-Otros contra la libertad;2015;19.379
TOTAL NACIONAL;2.2.-Otros contra la libertad;2014;15.380
TOTAL NACIONAL;2.2.-Otros contra la libertad;2013;16.260
TOTAL NACIONAL;2.2.-Otros contra la libertad;2012;16.322
TOTAL NACIONAL;2.2.-Otros contra la libertad;2011;16.587
TOTAL NACIONAL;2.2.-Otros contra la libertad;2010;13.298
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2023;13.767
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2022;11.699
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2021;10.477
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2020;7.991
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2019;8.983
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2018;8.288
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2017;6.796
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2016;6.363
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2015;6.044
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2014;6.186
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2013;5.827
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2012;6.250
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2011;6.697
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2010;6.234
TOTAL NACIONAL;3.1.-Agresión sexual;2023;8.232
TOTAL NACIONAL;3.1.-Agresión sexual;2022;7.133
TOTAL NACIONAL;3.1.-Agresión sexual;2021;6.252
TOTAL NACIONAL;3.1.-Agresión sexual;2020;4.553
TOTAL NACIONAL;3.1.-Agresión sexual;2019;5.151
TOTAL NACIONAL;3.1.-Agresión sexual;2018;4.642
TOTAL NACIONAL;3.1.-Agresión sexual;2017;3.708
TOTAL NACIONAL;3.1.-Agresión sexual;2016;3.472
TOTAL NACIONAL;3.1.-Agresión sexual;2015;3.026
TOTAL NACIONAL;3.1.-Agresión sexual;2014;3.060
TOTAL NACIONAL;3.1.-Agresión sexual;2013;2.831
TOTAL NACIONAL;3.1.-Agresión sexual;2012;3.202
TOTAL NACIONAL;3.1.-Agresión sexual;2011;3.342
TOTAL NACIONAL;3.1.-Agresión sexual;2010;2.793
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2023;3.160
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2022;2.755
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2021;2.419
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2020;1.860
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2019;1.958
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2018;1.829
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2017;1.369
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2016;1.238
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2015;1.159
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2014;1.191
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2013;1.179
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2012;1.202
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2011;1.375
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2010;1.331
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2023;191
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2022;221
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2021;211
