Edad;Sexo;Unidad;Periodo;Total
De 20 a 24 años;Ambos sexos;Valor absoluto;2016T3;2.247,3
De 20 a 24 años;Ambos sexos;Valor absoluto;2016T2;2.254,0
De 20 a 24 años;Ambos sexos;Valor absoluto;2016T1;2.261,2
De 20 a 24 años;Ambos sexos;Valor absoluto;2015T4;2.270,3
De 20 a 24 años;Ambos sexos;Valor absoluto;2015T3;2.282,9
De 20 a 24 años;Ambos sexos;Valor absoluto;2015T2;2.292,9
De 20 a 24 años;Ambos sexos;Valor absoluto;2015T1;2.303,3
De 20 a 24 años;Ambos sexos;Valor absoluto;2014T4;2.313,7
De 20 a 24 años;Ambos sexos;Valor absoluto;2014T3;2.323,0
De 20 a 24 años;Ambos sexos;Valor absoluto;2014T2;2.337,4
De 20 a 24 años;Ambos sexos;Valor absoluto;2014T1;2.345,8
De 20 a 24 años;Ambos sexos;Valor absoluto;2013T4;2.363,6
De 20 a 24 años;Ambos sexos;Valor absoluto;2013T3;2.378,3
De 20 a 24 años;Ambos sexos;Valor absoluto;2013T2;2.400,1
De 20 a 24 años;Ambos sexos;Valor absoluto;2013T1;2.419,2
De 20 a 24 años;Ambos sexos;Valor absoluto;2012T4;2.435,8
De 20 a 24 años;Ambos sexos;Valor absoluto;2012T3;2.447,2
De 20 a 24 años;Ambos sexos;Valor absoluto;2012T2;2.463,6
De 20 a 24 años;Ambos sexos;Valor absoluto;2012T1;2.479,7
De 20 a 24 años;Ambos sexos;Valor absoluto;2011T4;2.495,7
De 20 a 24 años;Ambos sexos;Valor absoluto;2011T3;2.508,9
De 20 a 24 años;Ambos sexos;Valor absoluto;2011T2;2.526,6
De 20 a 24 años;Ambos sexos;Valor absoluto;2011T1;2.545,6
De 20 a 24 años;Ambos sexos;Valor absoluto;2010T4;2.564,5
De 20 a 24 años;Ambos sexos;Valor absoluto;2010T3;2.582,3
De 20 a 24 años;Ambos sexos;Valor absoluto;2010T2;2.605,1
De 20 a 24 años;Ambos sexos;Valor absoluto;2010T1;2.627,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T4;2.602,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T3;2.594,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T2;2.581,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T1;2.564,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T4;2.549,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T3;2.532,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T2;2.520,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T1;2.508,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T4;2.502,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T3;2.502,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T2;2.508,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T1;2.520,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T4;2.514,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T3;2.519,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T2;2.525,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T1;2.527,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T4;2.521,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T3;2.516,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T2;2.512,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T1;2.509,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T4;2.503,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T3;2.497,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T2;2.495,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T1;2.491,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T4;2.486,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T3;2.485,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T2;2.484,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T1;2.489,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T4;2.497,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T3;2.507,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T2;2.521,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T1;2.537,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T4;2.554,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T3;2.579,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T2;2.599,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T1;2.621,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T4;2.638,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T3;2.658,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T2;2.684,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T1;2.710,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T4;2.746,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T3;2.781,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T2;2.823,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T1;2.861,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T4;2.902,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T3;2.942,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T2;2.985,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T1;3.026,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T4;3.068,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T3;3.107,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T2;3.146,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T1;3.186,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T4;3.228,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T3;3.270,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T2;3.315,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T1;3.358,2
