Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2021;139.867
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2020;125.010
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2019;125.685
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2018;120.919
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2017;119.031
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2016;115.493
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2015;78.815
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2014;42.953
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2013;43.322
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2012;44.476
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2011;45.131
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2010;42.376
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2023;17.120
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2022;15.647
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2021;15.008
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2020;13.993
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2019;14.575
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2018;14.196
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2017;14.238
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2016;14.554
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2015;15.676
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2014;15.958
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2013;16.676
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2012;17.523
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2011;17.694
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2010;17.270
TOTAL NACIONAL;2.2.-Otros contra la libertad;2023;141.993
TOTAL NACIONAL;2.2.-Otros contra la libertad;2022;128.214
TOTAL NACIONAL;2.2.-Otros contra la libertad;2021;124.859
TOTAL NACIONAL;2.2.-Otros contra la libertad;2020;111.017
TOTAL NACIONAL;2.2.-Otros contra la libertad;2019;111.110
TOTAL NACIONAL;2.2.-Otros contra la libertad;2018;106.723
TOTAL NACIONAL;2.2.-Otros contra la libertad;2017;104.793
TOTAL NACIONAL;2.2.-Otros contra la libertad;2016;100.939
TOTAL NACIONAL;2.2.-Otros contra la libertad;2015;63.139
TOTAL NACIONAL;2.2.-Otros contra la libertad;2014;26.995
TOTAL NACIONAL;2.2.-Otros contra la libertad;2013;26.646
TOTAL NACIONAL;2.2.-Otros contra la libertad;2012;26.953
TOTAL NACIONAL;2.2.-Otros contra la libertad;2011;27.437
TOTAL NACIONAL;2.2.-Otros contra la libertad;2010;25.106
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2023;21.825
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2022;19.013
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2021;17.016
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2020;13.174
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2019;15.319
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2018;13.782
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2017;11.692
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2016;10.844
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2015;9.869
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2014;9.468
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2013;8.923
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2012;9.008
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2011;9.892
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2010;9.957
TOTAL NACIONAL;3.1.-Agresión sexual;2023;12.727
TOTAL NACIONAL;3.1.-Agresión sexual;2022;11.426
TOTAL NACIONAL;3.1.-Agresión sexual;2021;10.061
TOTAL NACIONAL;3.1.-Agresión sexual;2020;7.276
TOTAL NACIONAL;3.1.-Agresión sexual;2019;8.885
TOTAL NACIONAL;3.1.-Agresión sexual;2018;7.983
TOTAL NACIONAL;3.1.-Agresión sexual;2017;6.580
TOTAL NACIONAL;3.1.-Agresión sexual;2016;6.233
TOTAL NACIONAL;3.1.-Agresión sexual;2015;5.338
TOTAL NACIONAL;3.1.-Agresión sexual;2014;5.150
TOTAL NACIONAL;3.1.-Agresión sexual;2013;4.859
TOTAL NACIONAL;3.1.-Agresión sexual;2012;5.101
TOTAL NACIONAL;3.1.-Agresión sexual;2011;5.479
TOTAL NACIONAL;3.1.-Agresión sexual;2010;5.068
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2023;4.890
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2022;4.270
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2021;3.795
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2020;2.785
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2019;3.079
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2018;2.744
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2017;2.136
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2016;1.793
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2015;1.668
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2014;1.622
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2013;1.684
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2012;1.631
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2011;1.887
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2010;1.991
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2023;389
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2022;384
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2021;347
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2020;350
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2019;369
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2018;268
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2017;400
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2016;368
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2015;432
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2014;386
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2013;320
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2012;278
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2011;253
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2010;345
TOTAL NACIONAL;3.4.-Pornografía de menores;2023;909
TOTAL NACIONAL;3.4.-Pornografía de menores;2022;707
TOTAL NACIONAL;3.4.-Pornografía de menores;2021;739
TOTAL NACIONAL;3.4.-Pornografía de menores;2020;762
TOTAL NACIONAL;3.4.-Pornografía de menores;2019;866
TOTAL NACIONAL;3.4.-Pornografía de menores;2018;892
TOTAL NACIONAL;3.4.-Pornografía de menores;2017;767
TOTAL NACIONAL;3.4.-Pornografía de menores;2016;621
TOTAL NACIONAL;3.4.-Pornografía de menores;2015;748
TOTAL NACIONAL;3.4.-Pornografía de menores;2014;625
TOTAL NACIONAL;3.4.-Pornografía de menores;2013;508
TOTAL NACIONAL;3.4.-Pornografía de menores;2012;569
TOTAL NACIONAL;3.4.-Pornografía de menores;2011;715
TOTAL NACIONAL;3.4.-Pornografía de menores;2010;953
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2023;2.910
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2022;2.226
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2021;2.074
