Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2021;104.418
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2020;94.335
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2019;96.246
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2018;92.985
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2017;93.015
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2016;89.305
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2015;60.388
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2014;34.292
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2013;35.164
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2012;35.858
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2011;36.522
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2010;34.862
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2023;14.705
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2022;13.288
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2021;12.617
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2020;11.329
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2019;11.860
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2018;11.347
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2017;11.379
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2016;11.489
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2015;12.230
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2014;12.410
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2013;13.344
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2012;14.114
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2011;14.324
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2010;14.403
TOTAL NACIONAL;2.2.-Otros contra la libertad;2023;105.298
TOTAL NACIONAL;2.2.-Otros contra la libertad;2022;94.414
TOTAL NACIONAL;2.2.-Otros contra la libertad;2021;91.801
TOTAL NACIONAL;2.2.-Otros contra la libertad;2020;83.006
TOTAL NACIONAL;2.2.-Otros contra la libertad;2019;84.386
TOTAL NACIONAL;2.2.-Otros contra la libertad;2018;81.638
TOTAL NACIONAL;2.2.-Otros contra la libertad;2017;81.636
TOTAL NACIONAL;2.2.-Otros contra la libertad;2016;77.816
TOTAL NACIONAL;2.2.-Otros contra la libertad;2015;48.158
TOTAL NACIONAL;2.2.-Otros contra la libertad;2014;21.882
TOTAL NACIONAL;2.2.-Otros contra la libertad;2013;21.820
TOTAL NACIONAL;2.2.-Otros contra la libertad;2012;21.744
TOTAL NACIONAL;2.2.-Otros contra la libertad;2011;22.198
TOTAL NACIONAL;2.2.-Otros contra la libertad;2010;20.459
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2023;17.064
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2022;14.555
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2021;13.253
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2020;10.293
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2019;11.887
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2018;10.674
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2017;8.894
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2016;8.381
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2015;7.500
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2014;7.088
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2013;6.766
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2012;6.698
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2011;7.155
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2010;7.651
TOTAL NACIONAL;3.1.-Agresión sexual;2023;10.096
TOTAL NACIONAL;3.1.-Agresión sexual;2022;8.980
TOTAL NACIONAL;3.1.-Agresión sexual;2021;8.052
TOTAL NACIONAL;3.1.-Agresión sexual;2020;5.964
TOTAL NACIONAL;3.1.-Agresión sexual;2019;7.022
TOTAL NACIONAL;3.1.-Agresión sexual;2018;6.224
TOTAL NACIONAL;3.1.-Agresión sexual;2017;5.040
TOTAL NACIONAL;3.1.-Agresión sexual;2016;4.806
TOTAL NACIONAL;3.1.-Agresión sexual;2015;4.026
TOTAL NACIONAL;3.1.-Agresión sexual;2014;3.806
TOTAL NACIONAL;3.1.-Agresión sexual;2013;3.605
TOTAL NACIONAL;3.1.-Agresión sexual;2012;3.763
TOTAL NACIONAL;3.1.-Agresión sexual;2011;3.946
TOTAL NACIONAL;3.1.-Agresión sexual;2010;4.004
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2023;4.052
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2022;3.410
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2021;3.128
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2020;2.364
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2019;2.554
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2018;2.318
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2017;1.760
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2016;1.514
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2015;1.399
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2014;1.325
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2013;1.395
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2012;1.326
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2011;1.519
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2010;1.670
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2023;269
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2022;269
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2021;239
