columna,n_unicos,muestra
edad,3,De 16 a 19 años; De 20 a 24 años; De 25 a 29 años
sexo,1,Ambos sexos
unidad,1,Valor absoluto
periodo,56,2023T4; 2023T3; 2023T2; 2023T1; 2022T4; 2022T3; 2022T2; 2022T1; 2021T4; 2021T3; 2021T2; 2021T1; 2020T4; 2020T3; 2020T2; 2020T1; 2019T4; 2019T3; 2019T2; 2019T1; 2018T4; 2018T3; 2018T2; 2018T1; 2017T4; 2017T3; 2017T2; 2017T1; 2016T4; 2016T3; 2016T2; 2016T1; 2015T4; 2015T3; 2015T2; 2015T1; 2014T4; 2014T3; 2014T2; 2014T1; 2013T4; 2013T3; 2013T2; 2013T1; 2012T4; 2012T3; 2012T2; 2012T1; 2011T4; 2011T3
total,165,"2.074,8; 2.027,1; 2.003,7; 2.022,2; 2.021,8; 1.998,3; 1.968,9; 1.946,8; 1.936,2; 1.929,2; 1.919,6; 1.895,5; 1.930,8; 1.923,5; 1.917,6; 1.908,4; 1.895,7; 1.882,2; 1.869,0; 1.855,2; 1.841,3; 1.827,5; 1.814,8; 1.804,2; 1.793,1; 1.783,6; 1.775,1; 1.765,8; 1.756,7; 1.748,1; 1.741,5; 1.734,7; 1.727,7; 1.721,4; 1.718,2; 1.714,0; 1.711,8; 1.710,5; 1.708,7; 1.708,2; 1.717,9; 1.726,2; 1.730,8; 1.740,1; 1.749,4; 1.760,1; 1.768,4; 1.777,9; 1.784,2; 1.791,1"
