columna,n_unicos,muestra
umbral,4,Inferior al 70% de la mediana de los ingresos por unidad de consumo; Inferior al 60% de la mediana de los ingresos por unidad de consumo; Inferior al 50% de la mediana de los ingresos por unidad de consumo; Inferior al 40% de la mediana de los ingresos por unidad de consumo
riesgo_de_pobreza,2,Población  en riesgo de pobreza (miles de personas); Tasa de riesgo de pobreza (%)
periodo,16,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014; 2013; 2012; 2011; 2010; 2009; 2008
total,118,"12.730,7; 12.868,4; 13.357,1; 13.099,5; 13.205,5; 13.356,8; 13.454,2; 13.750,1; 13.420,6; 13.651,1; 13.219,1; 13.395,4; 13.002,9; 12.536,7; 12.710,8; 12.376,7; 26,9; 27,5; 28,5; 27,9; 28,4; 28,9; 29,2; 29,9; 29,7; 28,6; 28,1; 27,2; 27,7; 27,3; 9.567,1; 9.584,7; 10.159,8; 9.829,3; 9.610,4; 9.949,6; 9.950,1; 10.268,9; 10.178,1; 10.218,4; 9.424,9; 9.656,3; 9.549,9; 9.550,6; 9.342,0; 8.996,9; 20,2; 20,4; 21,7; 21,0"
