columna,n_unicos,muestra
comunidades_autonomas,20,TOTAL NACIONAL; ANDALUCÍA; ARAGÓN; ASTURIAS (PRINCIPADO DE); BALEARS (ILLES); CANARIAS; CANTABRIA; CASTILLA Y LEÓN; CASTILLA - LA MANCHA; CATALUÑA; COMUNITAT VALENCIANA; EXTREMADURA; GALICIA; MADRID (COMUNIDAD DE); MURCIA (REGIÓN DE); NAVARRA (COMUNIDAD FORAL DE); PAÍS VASCO; RIOJA (LA); CIUDAD AUTÓNOMA DE CEUTA; CIUDAD AUTÓNOMA DE MELILLA
tipologia_penal,44,1. CONTRA LAS PERSONAS; 1.1.-Homicidios dolosos/asesinatos; 1.1.1.-Homicidios dolosos/asesinatos consumados; 1.2.-Lesiones; 1.3.-Malos tratos ámbito familiar; 1.4.-Otros contra las personas; 2. CONTRA LA LIBERTAD; 2.1.-Malos tratos habituales en el ámbito familiar; 2.2.-Otros contra la libertad; 3. LIBERTAD SEXUAL; 3.1.-Agresión sexual; 3.2.-Agresión sexual con penetración; 3.3.-Corrupción de menores o incapacitados; 3.4.-Pornografía de menores; 3.5.-Otros contra la libertad sexual; 4. RELACIONES FAMILIARES; 5. PATRIMONIO; 5.1.-Hurtos; 5.2.-Robos con fuerza en las cosas; 5.2.1.-Robos con fuerza en las cosas en el interior de vehículos; 5.2.2.-Robos con fuerza en viviendas; 5.2.3.-Robos con fuerza en establecimientos; 5.3.-Robos con violencia o intimidación; 5.3.1.-Robos con violencia en vía pública; 5.3.2.-Robos con violencia en viviendas; 5.3.3.-Robos con violencia en establecimientos; 5.4.-Sustracción de vehículos; 5.5.-Estafas; 5.5.1.-Estafas informáticas; 5.6.-Daños; 5.7.-Contra la propiedad intelectual/industrial; 5.8.-Blanqueo de capitales; 5.9.-Otros contra el patrimonio; 6. SEGURIDAD COLECTIVA; 6.1.-Tráfico de drogas; 6.2.-Contra la seguridad vial; 6.3.-Otros contra la seguridad colectiva; 7. FALSEDADES; 8. ADMÓN. PÚBLICA; 9. ADMÓN. JUSTICIA; 10. ORDEN PÚBLICO; 11. LEGISLACIÓN ESPECIAL; 12. OTRAS INFRACCIONES PENALES; TOTAL INFRACCIONES PENALES
sexo,3,Masculino; Femenino; Ambos sexos
periodo,14,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014; 2013; 2012; 2011; 2010
