columna,n_unicos,muestra
sexo,3,Ambos sexos; Hombres; Mujeres
edad,8,Total; Menores de 16 años; De 16 a 29 años; De 30 a 44 años; De 45 a 64 años; 65 y más años; Menos de 18 años; De 18 a 64 años
tasa_de_riesgo_de_pobreza_o_exclusion_social_y_sus_componentes,4,Tasa de riesgo de pobreza o exclusión social (indicador AROPE); En riesgo de pobreza (renta año anterior a la entrevista); Con carencia material severa; Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años)
periodo,17,2024; 2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014; 2013; 2012; 2011; 2010; 2009; 2008
total,339,"26,1; 26,9; 26,3; 27,6; 26,4; 25,3; 26,6; 27,9; 28,6; 29,2; 27,3; 27,2; 26,7; 24,7; 23,8; 19,7; 20,2; 20,4; 21,7; 21,0; 20,7; 21,5; 21,6; 22,3; 22,1; 22,2; 20,8; 20,6; 19,8; 8,4; 8,9; 8,1; 7,3; 7,0; 4,7; 5,4; 5,1; 5,8; 6,4; 7,1; 6,2; 4,5; 4,9; 3,6; 8,2; 8,5; 8,7; 11,7; 9,9; 10,8"
