columna,n_unicos,muestra
nacimiento_residencia,2,Gini; Gini (con alquiler imputado)
periodo,14,2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014; 2013; 2012; 2011; 2010; 2009; 2008
total,24,"33; 32,1; 33,2; 34,1; 34,5; 34,6; 34,7; 33,7; 34,2; 34; 33,5; 32,9; 32,4; 30,3; 29,6; 30,4; 31,1; 31,5; 31,6; 31,7; 31,2; 30,7; 30,5; 29,9"
