"ts","kind","script","caller","path","rows","cols"
"2025-09-21 12:49:25","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/estat_nama_10_pc_filtered_en.csv",14190,19
"2025-09-21 12:49:25","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/gini.csv",28,3
"2025-09-21 12:49:26","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_conocidos.csv",13552,4
"2025-09-21 12:49:26","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_esclarecidos.csv",13552,4
"2025-09-21 12:49:33","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/poblacion_espana.csv",384480,5
"2025-09-21 12:49:35","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/tasas_paro.csv",3666,4
"2025-09-21 12:49:35","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/umbral_pobreza.csv",128,4
"2025-09-21 12:49:36","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/arope.csv",1632,5
"2025-09-21 12:49:38","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/gini.csv",28,3
"2025-09-21 12:49:43","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/poblacion_espana.csv",384480,5
"2025-09-21 12:49:46","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/tasas_paro.csv",3666,4
"2025-09-21 12:49:46","read","02_config_diccionarios_y_excepciones.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/umbral_pobreza.csv",128,4
"2025-09-22 09:42:42","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/arope.csv",1632,5,"sep=;;enc=UTF-8"
"2025-09-22 09:42:42","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_arope.csv",5,1,NA
"2025-09-22 09:42:42","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_arope.csv",5,3,NA
"2025-09-22 09:42:43","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/crecimiento_pib.csv",180,3,"sep=;;enc=UTF-8"
