archivo,sep,n_problems
arope.csv,;,0
crecimiento_pib.csv,;,0
detenciones_extranjeros_tipologia.csv,;,0
detenciones_tipologia.csv,;,0
epa_activos_16_29_trimestral.csv,;,0
estat_nama_10_pc_filtered_en.csv,;,0
gini.csv,;,0
hechos_conocidos.csv,;,0
hechos_esclarecidos.csv,;,0
poblacion_espana.csv,;,0
tasas_paro.csv,;,0
umbral_pobreza.csv,;,0
