archivo,issue,detalle
arope.csv,parse_numeric,"cols=1, ejemplos=Tasa de riesgo de pobreza o exclusión social (indicador AROPE) | En riesgo de pobreza (renta año anterior a la entrevista) | Con carencia material severa"
umbral_pobreza.csv,años_fuera_2010_2023,2008–2023 (16 fuera)
