columna,n_unicos,muestra
nacionalidad,72,Total; Española; País de la UE27_2020 sin España; País de la UE28 sin España; Bélgica; Bulgaria; Dinamarca; Finlandia; Francia; Irlanda; Italia; Países Bajos; Polonia; Portugal; Alemania; Rumanía; Suecia; Lituania; Otro país de la Unión Europea sin España; País de Europa menos UE27_2020; Reino Unido; País de Europa menos UE28; Noruega; Suiza; Ucrania; Moldavia; Rusia; Otro país del resto de Europa; De Africa; Argelia; Gambia; Ghana; Guinea; Guinea Ecuatorial; Mali; Marruecos; Mauritania; Nigeria; Senegal; Otro país de África; De América del Norte; Estados Unidos de América; México; Canadá; De Centro América y Caribe; Cuba; Honduras; Nicaragua; República Dominicana; Otros países de Centro América y Caribe
grupo_quinquenal_de_edad,20,Todas las edades; De 0 a 4 años; De 5 a 9 años; De 10 a 14 años; De 15 a 19 años; De 20 a 24 años; De 25 a 29 años; De 30 a 34 años; De 35 a 39 años; De 40 a 44 años; De 45 a 49 años; De 50 a 54 años; De 55 a 59 años; De 60 a 64 años; De 65 a 69 años; De 70 a 74 años; De 75 a 79 años; De 80 a 84 años; De 85 a 89 años; 90 y más años
sexo,3,Total; Hombres; Mujeres
periodo,89,1 de enero de 2024; 1 de octubre de 2023; 1 de julio de 2023; 1 de abril de 2023; 1 de enero de 2023; 1 de octubre de 2022; 1 de julio de 2022; 1 de abril de 2022; 1 de enero de 2022; 1 de octubre de 2021; 1 de julio de 2021; 1 de abril de 2021; 1 de enero de 2021; 1 de octubre de 2020; 1 de julio de 2020; 1 de abril de 2020; 1 de enero de 2020; 1 de octubre de 2019; 1 de julio de 2019; 1 de abril de 2019; 1 de enero de 2019; 1 de octubre de 2018; 1 de julio de 2018; 1 de abril de 2018; 1 de enero de 2018; 1 de octubre de 2017; 1 de julio de 2017; 1 de abril de 2017; 1 de enero de 2017; 1 de octubre de 2016; 1 de julio de 2016; 1 de abril de 2016; 1 de enero de 2016; 1 de octubre de 2015; 1 de julio de 2015; 1 de abril de 2015; 1 de enero de 2015; 1 de octubre de 2014; 1 de julio de 2014; 1 de abril de 2014; 1 de enero de 2014; 1 de octubre de 2013; 1 de julio de 2013; 1 de abril de 2013; 1 de enero de 2013; 1 de octubre de 2012; 1 de julio de 2012; 1 de abril de 2012; 1 de enero de 2012; 1 de octubre de 2011
