columna,n_unicos,muestra
comunidades_y_ciudades_autonomas,20,"Total Nacional; Andalucía; Aragón; Asturias, Principado de; Balears, Illes; Canarias; Cantabria; Castilla y León; Castilla - La Mancha; Cataluña; Comunitat Valenciana; Extremadura; Galicia; Madrid, Comunidad de; Murcia, Región de; Navarra, Comunidad Foral de; País Vasco; Rioja, La; Ceuta; Melilla"
periodo,9,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015
total,159,"1,4; 5,21; 6,68; -11,42; 1,15; 1,95; 2,71; 2,82; 4,17; 1,54; 4,22; 6,26; -11,11; 1,39; 2,46; 2,56; 2,3; 3,7; 1,68; 3,04; 5,52; -8,97; 0,41; 2,6; 2,52; 2,96; 2,55; 4,64; 6,16; -9,92; 1,71; 2,2; 2,78; 2,1; 3,75; 3,51; 14,44; 11,27; -23,54; 0,3; 2,02; 3,36; 3,84; 11,06; 8,78; -19,4; 0,5; 1,5; 3,08; 2,14"
