nacionalidad,grupo_quinquenal_de_edad,sexo,periodo,total
Noruega,De 75 a 79 años,Mujeres,1 de enero de 2012,480
Noruega,De 75 a 79 años,Mujeres,1 de octubre de 2011,
Noruega,De 75 a 79 años,Mujeres,1 de julio de 2011,453
Noruega,De 75 a 79 años,Mujeres,1 de abril de 2011,
Noruega,De 75 a 79 años,Mujeres,1 de enero de 2011,426
Noruega,De 75 a 79 años,Mujeres,1 de octubre de 2010,
Noruega,De 75 a 79 años,Mujeres,1 de julio de 2010,416
Noruega,De 75 a 79 años,Mujeres,1 de abril de 2010,
Noruega,De 75 a 79 años,Mujeres,1 de enero de 2010,394
Noruega,De 80 a 84 años,Total,1 de octubre de 2023,608
Noruega,De 80 a 84 años,Total,1 de julio de 2023,598
Noruega,De 80 a 84 años,Total,1 de abril de 2023,600
Noruega,De 80 a 84 años,Total,1 de enero de 2023,604
Noruega,De 80 a 84 años,Total,1 de octubre de 2022,595
Noruega,De 80 a 84 años,Total,1 de julio de 2022,608
Noruega,De 80 a 84 años,Total,1 de abril de 2022,600
Noruega,De 80 a 84 años,Total,1 de enero de 2022,596
Noruega,De 80 a 84 años,Total,1 de octubre de 2021,599
Noruega,De 80 a 84 años,Total,1 de julio de 2021,579
Noruega,De 80 a 84 años,Total,1 de abril de 2021,587
Noruega,De 80 a 84 años,Total,1 de enero de 2021,572
Noruega,De 80 a 84 años,Total,1 de octubre de 2020,
Noruega,De 80 a 84 años,Total,1 de julio de 2020,612
Noruega,De 80 a 84 años,Total,1 de abril de 2020,
Noruega,De 80 a 84 años,Total,1 de enero de 2020,646
Noruega,De 80 a 84 años,Total,1 de octubre de 2019,
Noruega,De 80 a 84 años,Total,1 de julio de 2019,669
Noruega,De 80 a 84 años,Total,1 de abril de 2019,
Noruega,De 80 a 84 años,Total,1 de enero de 2019,723
Noruega,De 80 a 84 años,Total,1 de octubre de 2018,
Noruega,De 80 a 84 años,Total,1 de julio de 2018,708
Noruega,De 80 a 84 años,Total,1 de abril de 2018,
Noruega,De 80 a 84 años,Total,1 de enero de 2018,728
Noruega,De 80 a 84 años,Total,1 de octubre de 2017,
Noruega,De 80 a 84 años,Total,1 de julio de 2017,734
Noruega,De 80 a 84 años,Total,1 de abril de 2017,
Noruega,De 80 a 84 años,Total,1 de enero de 2017,766
Noruega,De 80 a 84 años,Total,1 de octubre de 2016,
Noruega,De 80 a 84 años,Total,1 de julio de 2016,741
Noruega,De 80 a 84 años,Total,1 de abril de 2016,
Noruega,De 80 a 84 años,Total,1 de enero de 2016,735
Noruega,De 80 a 84 años,Total,1 de octubre de 2015,
Noruega,De 80 a 84 años,Total,1 de julio de 2015,728
Noruega,De 80 a 84 años,Total,1 de abril de 2015,
Noruega,De 80 a 84 años,Total,1 de enero de 2015,713
Noruega,De 80 a 84 años,Total,1 de octubre de 2014,
Noruega,De 80 a 84 años,Total,1 de julio de 2014,724
Noruega,De 80 a 84 años,Total,1 de abril de 2014,
Noruega,De 80 a 84 años,Total,1 de enero de 2014,727
Noruega,De 80 a 84 años,Total,1 de octubre de 2013,
Noruega,De 80 a 84 años,Total,1 de julio de 2013,704
Noruega,De 80 a 84 años,Total,1 de abril de 2013,
Noruega,De 80 a 84 años,Total,1 de enero de 2013,681
Noruega,De 80 a 84 años,Total,1 de octubre de 2012,
Noruega,De 80 a 84 años,Total,1 de julio de 2012,629
Noruega,De 80 a 84 años,Total,1 de abril de 2012,
Noruega,De 80 a 84 años,Total,1 de enero de 2012,593
Noruega,De 80 a 84 años,Total,1 de octubre de 2011,
Noruega,De 80 a 84 años,Total,1 de julio de 2011,556
Noruega,De 80 a 84 años,Total,1 de abril de 2011,
Noruega,De 80 a 84 años,Total,1 de enero de 2011,523
Noruega,De 80 a 84 años,Total,1 de octubre de 2010,
Noruega,De 80 a 84 años,Total,1 de julio de 2010,480
Noruega,De 80 a 84 años,Total,1 de abril de 2010,
Noruega,De 80 a 84 años,Total,1 de enero de 2010,445
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2023,353
Noruega,De 80 a 84 años,Hombres,1 de julio de 2023,347
Noruega,De 80 a 84 años,Hombres,1 de abril de 2023,348
Noruega,De 80 a 84 años,Hombres,1 de enero de 2023,354
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2022,345
Noruega,De 80 a 84 años,Hombres,1 de julio de 2022,346
Noruega,De 80 a 84 años,Hombres,1 de abril de 2022,354
Noruega,De 80 a 84 años,Hombres,1 de enero de 2022,349
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2021,354
Noruega,De 80 a 84 años,Hombres,1 de julio de 2021,343
Noruega,De 80 a 84 años,Hombres,1 de abril de 2021,342
Noruega,De 80 a 84 años,Hombres,1 de enero de 2021,321
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2020,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2020,352
Noruega,De 80 a 84 años,Hombres,1 de abril de 2020,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2020,384
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2019,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2019,391
Noruega,De 80 a 84 años,Hombres,1 de abril de 2019,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2019,413
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2018,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2018,404
Noruega,De 80 a 84 años,Hombres,1 de abril de 2018,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2018,416
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2017,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2017,422
Noruega,De 80 a 84 años,Hombres,1 de abril de 2017,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2017,443
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2016,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2016,432
Noruega,De 80 a 84 años,Hombres,1 de abril de 2016,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2016,433
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2015,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2015,432
Noruega,De 80 a 84 años,Hombres,1 de abril de 2015,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2015,419
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2014,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2014,430
Noruega,De 80 a 84 años,Hombres,1 de abril de 2014,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2014,431
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2013,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2013,421
Noruega,De 80 a 84 años,Hombres,1 de abril de 2013,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2013,412
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2012,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2012,385
Noruega,De 80 a 84 años,Hombres,1 de abril de 2012,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2012,359
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2011,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2011,329
Noruega,De 80 a 84 años,Hombres,1 de abril de 2011,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2011,299
Noruega,De 80 a 84 años,Hombres,1 de octubre de 2010,
Noruega,De 80 a 84 años,Hombres,1 de julio de 2010,276
Noruega,De 80 a 84 años,Hombres,1 de abril de 2010,
Noruega,De 80 a 84 años,Hombres,1 de enero de 2010,258
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2023,255
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2023,251
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2023,252
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2023,250
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2022,250
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2022,262
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2022,246
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2022,247
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2021,245
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2021,236
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2021,245
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2021,251
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2020,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2020,260
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2020,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2020,262
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2019,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2019,278
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2019,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2019,310
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2018,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2018,304
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2018,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2018,312
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2017,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2017,312
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2017,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2017,323
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2016,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2016,309
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2016,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2016,302
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2015,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2015,296
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2015,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2015,294
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2014,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2014,294
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2014,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2014,296
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2013,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2013,283
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2013,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2013,269
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2012,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2012,244
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2012,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2012,235
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2011,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2011,227
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2011,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2011,224
Noruega,De 80 a 84 años,Mujeres,1 de octubre de 2010,
Noruega,De 80 a 84 años,Mujeres,1 de julio de 2010,204
Noruega,De 80 a 84 años,Mujeres,1 de abril de 2010,
Noruega,De 80 a 84 años,Mujeres,1 de enero de 2010,187
Noruega,De 85 a 89 años,Total,1 de octubre de 2023,242
Noruega,De 85 a 89 años,Total,1 de julio de 2023,242
Noruega,De 85 a 89 años,Total,1 de abril de 2023,229
Noruega,De 85 a 89 años,Total,1 de enero de 2023,233
Noruega,De 85 a 89 años,Total,1 de octubre de 2022,250
Noruega,De 85 a 89 años,Total,1 de julio de 2022,257
Noruega,De 85 a 89 años,Total,1 de abril de 2022,249
Noruega,De 85 a 89 años,Total,1 de enero de 2022,249
Noruega,De 85 a 89 años,Total,1 de octubre de 2021,229
Noruega,De 85 a 89 años,Total,1 de julio de 2021,208
Noruega,De 85 a 89 años,Total,1 de abril de 2021,203
Noruega,De 85 a 89 años,Total,1 de enero de 2021,200
Noruega,De 85 a 89 años,Total,1 de octubre de 2020,
Noruega,De 85 a 89 años,Total,1 de julio de 2020,211
Noruega,De 85 a 89 años,Total,1 de abril de 2020,
Noruega,De 85 a 89 años,Total,1 de enero de 2020,243
Noruega,De 85 a 89 años,Total,1 de octubre de 2019,
Noruega,De 85 a 89 años,Total,1 de julio de 2019,268
Noruega,De 85 a 89 años,Total,1 de abril de 2019,
Noruega,De 85 a 89 años,Total,1 de enero de 2019,307
Noruega,De 85 a 89 años,Total,1 de octubre de 2018,
Noruega,De 85 a 89 años,Total,1 de julio de 2018,305
Noruega,De 85 a 89 años,Total,1 de abril de 2018,
Noruega,De 85 a 89 años,Total,1 de enero de 2018,348
Noruega,De 85 a 89 años,Total,1 de octubre de 2017,
Noruega,De 85 a 89 años,Total,1 de julio de 2017,352
Noruega,De 85 a 89 años,Total,1 de abril de 2017,
Noruega,De 85 a 89 años,Total,1 de enero de 2017,372
Noruega,De 85 a 89 años,Total,1 de octubre de 2016,
Noruega,De 85 a 89 años,Total,1 de julio de 2016,374
Noruega,De 85 a 89 años,Total,1 de abril de 2016,
Noruega,De 85 a 89 años,Total,1 de enero de 2016,356
Noruega,De 85 a 89 años,Total,1 de octubre de 2015,
Noruega,De 85 a 89 años,Total,1 de julio de 2015,328
Noruega,De 85 a 89 años,Total,1 de abril de 2015,
Noruega,De 85 a 89 años,Total,1 de enero de 2015,300
Noruega,De 85 a 89 años,Total,1 de octubre de 2014,
Noruega,De 85 a 89 años,Total,1 de julio de 2014,307
Noruega,De 85 a 89 años,Total,1 de abril de 2014,
Noruega,De 85 a 89 años,Total,1 de enero de 2014,288
Noruega,De 85 a 89 años,Total,1 de octubre de 2013,
Noruega,De 85 a 89 años,Total,1 de julio de 2013,279
Noruega,De 85 a 89 años,Total,1 de abril de 2013,
Noruega,De 85 a 89 años,Total,1 de enero de 2013,285
Noruega,De 85 a 89 años,Total,1 de octubre de 2012,
Noruega,De 85 a 89 años,Total,1 de julio de 2012,277
Noruega,De 85 a 89 años,Total,1 de abril de 2012,
Noruega,De 85 a 89 años,Total,1 de enero de 2012,275
Noruega,De 85 a 89 años,Total,1 de octubre de 2011,
Noruega,De 85 a 89 años,Total,1 de julio de 2011,254
Noruega,De 85 a 89 años,Total,1 de abril de 2011,
Noruega,De 85 a 89 años,Total,1 de enero de 2011,232
Noruega,De 85 a 89 años,Total,1 de octubre de 2010,
Noruega,De 85 a 89 años,Total,1 de julio de 2010,224
Noruega,De 85 a 89 años,Total,1 de abril de 2010,
Noruega,De 85 a 89 años,Total,1 de enero de 2010,222
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2023,133
Noruega,De 85 a 89 años,Hombres,1 de julio de 2023,130
Noruega,De 85 a 89 años,Hombres,1 de abril de 2023,125
Noruega,De 85 a 89 años,Hombres,1 de enero de 2023,127
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2022,138
Noruega,De 85 a 89 años,Hombres,1 de julio de 2022,148
Noruega,De 85 a 89 años,Hombres,1 de abril de 2022,143
Noruega,De 85 a 89 años,Hombres,1 de enero de 2022,145
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2021,128
Noruega,De 85 a 89 años,Hombres,1 de julio de 2021,117
Noruega,De 85 a 89 años,Hombres,1 de abril de 2021,112
Noruega,De 85 a 89 años,Hombres,1 de enero de 2021,109
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2020,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2020,116
Noruega,De 85 a 89 años,Hombres,1 de abril de 2020,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2020,135
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2019,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2019,148
Noruega,De 85 a 89 años,Hombres,1 de abril de 2019,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2019,174
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2018,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2018,176
Noruega,De 85 a 89 años,Hombres,1 de abril de 2018,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2018,198
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2017,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2017,201
Noruega,De 85 a 89 años,Hombres,1 de abril de 2017,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2017,223
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2016,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2016,217
Noruega,De 85 a 89 años,Hombres,1 de abril de 2016,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2016,206
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2015,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2015,187
Noruega,De 85 a 89 años,Hombres,1 de abril de 2015,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2015,172
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2014,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2014,176
Noruega,De 85 a 89 años,Hombres,1 de abril de 2014,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2014,164
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2013,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2013,162
Noruega,De 85 a 89 años,Hombres,1 de abril de 2013,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2013,169
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2012,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2012,164
Noruega,De 85 a 89 años,Hombres,1 de abril de 2012,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2012,162
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2011,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2011,153
Noruega,De 85 a 89 años,Hombres,1 de abril de 2011,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2011,143
Noruega,De 85 a 89 años,Hombres,1 de octubre de 2010,
Noruega,De 85 a 89 años,Hombres,1 de julio de 2010,138
Noruega,De 85 a 89 años,Hombres,1 de abril de 2010,
Noruega,De 85 a 89 años,Hombres,1 de enero de 2010,133
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2023,109
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2023,112
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2023,104
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2023,106
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2022,112
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2022,109
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2022,106
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2022,104
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2021,101
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2021,91
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2021,91
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2021,91
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2020,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2020,95
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2020,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2020,108
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2019,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2019,120
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2019,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2019,133
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2018,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2018,129
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2018,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2018,150
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2017,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2017,151
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2017,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2017,149
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2016,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2016,157
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2016,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2016,150
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2015,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2015,141
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2015,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2015,128
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2014,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2014,131
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2014,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2014,124
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2013,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2013,117
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2013,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2013,116
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2012,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2012,113
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2012,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2012,113
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2011,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2011,101
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2011,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2011,89
Noruega,De 85 a 89 años,Mujeres,1 de octubre de 2010,
Noruega,De 85 a 89 años,Mujeres,1 de julio de 2010,87
Noruega,De 85 a 89 años,Mujeres,1 de abril de 2010,
Noruega,De 85 a 89 años,Mujeres,1 de enero de 2010,89
Noruega,90 y más años,Total,1 de octubre de 2023,91
Noruega,90 y más años,Total,1 de julio de 2023,90
Noruega,90 y más años,Total,1 de abril de 2023,91
Noruega,90 y más años,Total,1 de enero de 2023,100
Noruega,90 y más años,Total,1 de octubre de 2022,95
Noruega,90 y más años,Total,1 de julio de 2022,97
Noruega,90 y más años,Total,1 de abril de 2022,94
Noruega,90 y más años,Total,1 de enero de 2022,93
Noruega,90 y más años,Total,1 de octubre de 2021,89
Noruega,90 y más años,Total,1 de julio de 2021,92
Noruega,90 y más años,Total,1 de abril de 2021,85
Noruega,90 y más años,Total,1 de enero de 2021,84
Noruega,90 y más años,Total,1 de octubre de 2020,
Noruega,90 y más años,Total,1 de julio de 2020,87
Noruega,90 y más años,Total,1 de abril de 2020,
Noruega,90 y más años,Total,1 de enero de 2020,104
Noruega,90 y más años,Total,1 de octubre de 2019,
Noruega,90 y más años,Total,1 de julio de 2019,108
Noruega,90 y más años,Total,1 de abril de 2019,
Noruega,90 y más años,Total,1 de enero de 2019,116
Noruega,90 y más años,Total,1 de octubre de 2018,
Noruega,90 y más años,Total,1 de julio de 2018,120
Noruega,90 y más años,Total,1 de abril de 2018,
Noruega,90 y más años,Total,1 de enero de 2018,150
Noruega,90 y más años,Total,1 de octubre de 2017,
Noruega,90 y más años,Total,1 de julio de 2017,155
Noruega,90 y más años,Total,1 de abril de 2017,
Noruega,90 y más años,Total,1 de enero de 2017,198
Noruega,90 y más años,Total,1 de octubre de 2016,
Noruega,90 y más años,Total,1 de julio de 2016,197
Noruega,90 y más años,Total,1 de abril de 2016,
Noruega,90 y más años,Total,1 de enero de 2016,191
Noruega,90 y más años,Total,1 de octubre de 2015,
Noruega,90 y más años,Total,1 de julio de 2015,194
Noruega,90 y más años,Total,1 de abril de 2015,
Noruega,90 y más años,Total,1 de enero de 2015,180
Noruega,90 y más años,Total,1 de octubre de 2014,
Noruega,90 y más años,Total,1 de julio de 2014,172
Noruega,90 y más años,Total,1 de abril de 2014,
Noruega,90 y más años,Total,1 de enero de 2014,158
Noruega,90 y más años,Total,1 de octubre de 2013,
Noruega,90 y más años,Total,1 de julio de 2013,147
Noruega,90 y más años,Total,1 de abril de 2013,
Noruega,90 y más años,Total,1 de enero de 2013,137
Noruega,90 y más años,Total,1 de octubre de 2012,
Noruega,90 y más años,Total,1 de julio de 2012,126
Noruega,90 y más años,Total,1 de abril de 2012,
Noruega,90 y más años,Total,1 de enero de 2012,123
Noruega,90 y más años,Total,1 de octubre de 2011,
Noruega,90 y más años,Total,1 de julio de 2011,112
Noruega,90 y más años,Total,1 de abril de 2011,
Noruega,90 y más años,Total,1 de enero de 2011,106
Noruega,90 y más años,Total,1 de octubre de 2010,
Noruega,90 y más años,Total,1 de julio de 2010,93
Noruega,90 y más años,Total,1 de abril de 2010,
Noruega,90 y más años,Total,1 de enero de 2010,79
Noruega,90 y más años,Hombres,1 de octubre de 2023,45
Noruega,90 y más años,Hombres,1 de julio de 2023,46
Noruega,90 y más años,Hombres,1 de abril de 2023,46
Noruega,90 y más años,Hombres,1 de enero de 2023,51
Noruega,90 y más años,Hombres,1 de octubre de 2022,47
Noruega,90 y más años,Hombres,1 de julio de 2022,47
Noruega,90 y más años,Hombres,1 de abril de 2022,44
Noruega,90 y más años,Hombres,1 de enero de 2022,47
Noruega,90 y más años,Hombres,1 de octubre de 2021,41
Noruega,90 y más años,Hombres,1 de julio de 2021,43
Noruega,90 y más años,Hombres,1 de abril de 2021,39
Noruega,90 y más años,Hombres,1 de enero de 2021,40
Noruega,90 y más años,Hombres,1 de octubre de 2020,
Noruega,90 y más años,Hombres,1 de julio de 2020,44
Noruega,90 y más años,Hombres,1 de abril de 2020,
Noruega,90 y más años,Hombres,1 de enero de 2020,50
Noruega,90 y más años,Hombres,1 de octubre de 2019,
Noruega,90 y más años,Hombres,1 de julio de 2019,57
Noruega,90 y más años,Hombres,1 de abril de 2019,
Noruega,90 y más años,Hombres,1 de enero de 2019,63
Noruega,90 y más años,Hombres,1 de octubre de 2018,
Noruega,90 y más años,Hombres,1 de julio de 2018,67
Noruega,90 y más años,Hombres,1 de abril de 2018,
Noruega,90 y más años,Hombres,1 de enero de 2018,83
Noruega,90 y más años,Hombres,1 de octubre de 2017,
Noruega,90 y más años,Hombres,1 de julio de 2017,87
Noruega,90 y más años,Hombres,1 de abril de 2017,
Noruega,90 y más años,Hombres,1 de enero de 2017,103
Noruega,90 y más años,Hombres,1 de octubre de 2016,
Noruega,90 y más años,Hombres,1 de julio de 2016,108
Noruega,90 y más años,Hombres,1 de abril de 2016,
Noruega,90 y más años,Hombres,1 de enero de 2016,106
Noruega,90 y más años,Hombres,1 de octubre de 2015,
Noruega,90 y más años,Hombres,1 de julio de 2015,107
Noruega,90 y más años,Hombres,1 de abril de 2015,
Noruega,90 y más años,Hombres,1 de enero de 2015,102
Noruega,90 y más años,Hombres,1 de octubre de 2014,
Noruega,90 y más años,Hombres,1 de julio de 2014,95
Noruega,90 y más años,Hombres,1 de abril de 2014,
Noruega,90 y más años,Hombres,1 de enero de 2014,88
Noruega,90 y más años,Hombres,1 de octubre de 2013,
Noruega,90 y más años,Hombres,1 de julio de 2013,77
Noruega,90 y más años,Hombres,1 de abril de 2013,
Noruega,90 y más años,Hombres,1 de enero de 2013,73
Noruega,90 y más años,Hombres,1 de octubre de 2012,
Noruega,90 y más años,Hombres,1 de julio de 2012,68
Noruega,90 y más años,Hombres,1 de abril de 2012,
Noruega,90 y más años,Hombres,1 de enero de 2012,68
Noruega,90 y más años,Hombres,1 de octubre de 2011,
Noruega,90 y más años,Hombres,1 de julio de 2011,62
Noruega,90 y más años,Hombres,1 de abril de 2011,
Noruega,90 y más años,Hombres,1 de enero de 2011,58
Noruega,90 y más años,Hombres,1 de octubre de 2010,
Noruega,90 y más años,Hombres,1 de julio de 2010,52
Noruega,90 y más años,Hombres,1 de abril de 2010,
Noruega,90 y más años,Hombres,1 de enero de 2010,46
Noruega,90 y más años,Mujeres,1 de octubre de 2023,46
Noruega,90 y más años,Mujeres,1 de julio de 2023,44
