ano,paro_15_29,metodo
2010,31.87646132634303,mixto
2011,33.46346222304872,mixto
2012,40.45569918675741,mixto
2013,41.77523156572221,mixto
2014,38.38815636613211,mixto
2015,37.083359365896854,mixto
2016,33.05925345109651,mixto
2017,28.033233569812747,mixto
2018,26.11513525643702,mixto
2019,24.841708920298203,mixto
2020,28.07281869195936,mixto
2021,26.61643928070686,mixto
2022,21.455430968543837,mixto
2023,20.017164150674496,mixto
