edad,sexo,periodo,total
Total,Mujeres,2012T4,"26,22"
Total,Mujeres,2012T3,"25,10"
Total,Mujeres,2012T2,"24,36"
Total,Mujeres,2012T1,"24,46"
Total,Mujeres,2011T4,"22,92"
Total,Mujeres,2011T3,"21,75"
Total,Mujeres,2011T2,"20,92"
Total,Mujeres,2011T1,"21,66"
Total,Mujeres,2010T4,"20,51"
Total,Mujeres,2010T3,"20,18"
Total,Mujeres,2010T2,"20,30"
Total,Mujeres,2010T1,"19,90"
De 16 a 19 años,Ambos sexos,2023T4,"42,86"
De 16 a 19 años,Ambos sexos,2023T3,"41,41"
De 16 a 19 años,Ambos sexos,2023T2,"43,50"
De 16 a 19 años,Ambos sexos,2023T1,"45,30"
De 16 a 19 años,Ambos sexos,2022T4,"41,29"
De 16 a 19 años,Ambos sexos,2022T3,"43,83"
De 16 a 19 años,Ambos sexos,2022T2,"48,78"
De 16 a 19 años,Ambos sexos,2022T1,"45,73"
De 16 a 19 años,Ambos sexos,2021T4,"50,23"
De 16 a 19 años,Ambos sexos,2021T3,"43,25"
De 16 a 19 años,Ambos sexos,2021T2,"55,15"
De 16 a 19 años,Ambos sexos,2021T1,"58,42"
De 16 a 19 años,Ambos sexos,2020T4,"60,14"
De 16 a 19 años,Ambos sexos,2020T3,"55,93"
De 16 a 19 años,Ambos sexos,2020T2,"54,50"
De 16 a 19 años,Ambos sexos,2020T1,"47,29"
De 16 a 19 años,Ambos sexos,2019T4,"43,90"
De 16 a 19 años,Ambos sexos,2019T3,"42,15"
De 16 a 19 años,Ambos sexos,2019T2,"46,26"
De 16 a 19 años,Ambos sexos,2019T1,"49,26"
De 16 a 19 años,Ambos sexos,2018T4,"46,89"
De 16 a 19 años,Ambos sexos,2018T3,"45,43"
De 16 a 19 años,Ambos sexos,2018T2,"51,64"
De 16 a 19 años,Ambos sexos,2018T1,"56,15"
De 16 a 19 años,Ambos sexos,2017T4,"54,20"
De 16 a 19 años,Ambos sexos,2017T3,"50,41"
De 16 a 19 años,Ambos sexos,2017T2,"55,98"
De 16 a 19 años,Ambos sexos,2017T1,"58,74"
De 16 a 19 años,Ambos sexos,2016T4,"58,67"
De 16 a 19 años,Ambos sexos,2016T3,"54,69"
De 16 a 19 años,Ambos sexos,2016T2,"63,52"
De 16 a 19 años,Ambos sexos,2016T1,"64,12"
De 16 a 19 años,Ambos sexos,2015T4,"66,09"
De 16 a 19 años,Ambos sexos,2015T3,"63,73"
De 16 a 19 años,Ambos sexos,2015T2,"69,36"
De 16 a 19 años,Ambos sexos,2015T1,"70,45"
De 16 a 19 años,Ambos sexos,2014T4,"67,28"
De 16 a 19 años,Ambos sexos,2014T3,"66,71"
De 16 a 19 años,Ambos sexos,2014T2,"70,39"
De 16 a 19 años,Ambos sexos,2014T1,"70,16"
De 16 a 19 años,Ambos sexos,2013T4,"75,53"
De 16 a 19 años,Ambos sexos,2013T3,"72,15"
De 16 a 19 años,Ambos sexos,2013T2,"73,00"
De 16 a 19 años,Ambos sexos,2013T1,"75,63"
De 16 a 19 años,Ambos sexos,2012T4,"73,88"
De 16 a 19 años,Ambos sexos,2012T3,"71,89"
De 16 a 19 años,Ambos sexos,2012T2,"73,19"
De 16 a 19 años,Ambos sexos,2012T1,"71,44"
De 16 a 19 años,Ambos sexos,2011T4,"69,15"
De 16 a 19 años,Ambos sexos,2011T3,"60,38"
De 16 a 19 años,Ambos sexos,2011T2,"62,53"
De 16 a 19 años,Ambos sexos,2011T1,"65,30"
De 16 a 19 años,Ambos sexos,2010T4,"63,67"
De 16 a 19 años,Ambos sexos,2010T3,"59,99"
De 16 a 19 años,Ambos sexos,2010T2,"62,15"
De 16 a 19 años,Ambos sexos,2010T1,"59,54"
De 16 a 19 años,Hombres,2023T4,"41,53"
De 16 a 19 años,Hombres,2023T3,"41,70"
De 16 a 19 años,Hombres,2023T2,"43,96"
De 16 a 19 años,Hombres,2023T1,"47,01"
De 16 a 19 años,Hombres,2022T4,"43,47"
De 16 a 19 años,Hombres,2022T3,"45,12"
De 16 a 19 años,Hombres,2022T2,"49,25"
De 16 a 19 años,Hombres,2022T1,"43,15"
De 16 a 19 años,Hombres,2021T4,"50,85"
De 16 a 19 años,Hombres,2021T3,"43,84"
De 16 a 19 años,Hombres,2021T2,"50,77"
De 16 a 19 años,Hombres,2021T1,"55,67"
De 16 a 19 años,Hombres,2020T4,"53,76"
De 16 a 19 años,Hombres,2020T3,"51,28"
De 16 a 19 años,Hombres,2020T2,"50,51"
De 16 a 19 años,Hombres,2020T1,"45,53"
De 16 a 19 años,Hombres,2019T4,"42,08"
De 16 a 19 años,Hombres,2019T3,"40,97"
De 16 a 19 años,Hombres,2019T2,"44,87"
De 16 a 19 años,Hombres,2019T1,"43,60"
De 16 a 19 años,Hombres,2018T4,"46,89"
De 16 a 19 años,Hombres,2018T3,"45,39"
De 16 a 19 años,Hombres,2018T2,"51,15"
De 16 a 19 años,Hombres,2018T1,"56,61"
De 16 a 19 años,Hombres,2017T4,"53,79"
De 16 a 19 años,Hombres,2017T3,"51,87"
De 16 a 19 años,Hombres,2017T2,"54,67"
De 16 a 19 años,Hombres,2017T1,"56,78"
De 16 a 19 años,Hombres,2016T4,"54,62"
De 16 a 19 años,Hombres,2016T3,"53,45"
De 16 a 19 años,Hombres,2016T2,"61,79"
De 16 a 19 años,Hombres,2016T1,"66,16"
De 16 a 19 años,Hombres,2015T4,"62,49"
De 16 a 19 años,Hombres,2015T3,"61,51"
De 16 a 19 años,Hombres,2015T2,"66,49"
De 16 a 19 años,Hombres,2015T1,"68,93"
De 16 a 19 años,Hombres,2014T4,"63,28"
De 16 a 19 años,Hombres,2014T3,"62,91"
De 16 a 19 años,Hombres,2014T2,"68,71"
De 16 a 19 años,Hombres,2014T1,"68,25"
De 16 a 19 años,Hombres,2013T4,"74,85"
De 16 a 19 años,Hombres,2013T3,"70,69"
De 16 a 19 años,Hombres,2013T2,"68,75"
De 16 a 19 años,Hombres,2013T1,"75,26"
De 16 a 19 años,Hombres,2012T4,"72,95"
De 16 a 19 años,Hombres,2012T3,"71,28"
De 16 a 19 años,Hombres,2012T2,"72,97"
De 16 a 19 años,Hombres,2012T1,"71,05"
De 16 a 19 años,Hombres,2011T4,"69,19"
De 16 a 19 años,Hombres,2011T3,"61,47"
De 16 a 19 años,Hombres,2011T2,"63,92"
De 16 a 19 años,Hombres,2011T1,"64,08"
De 16 a 19 años,Hombres,2010T4,"62,37"
De 16 a 19 años,Hombres,2010T3,"58,95"
De 16 a 19 años,Hombres,2010T2,"60,59"
De 16 a 19 años,Hombres,2010T1,"58,92"
De 16 a 19 años,Mujeres,2023T4,"44,83"
De 16 a 19 años,Mujeres,2023T3,"41,02"
De 16 a 19 años,Mujeres,2023T2,"42,91"
De 16 a 19 años,Mujeres,2023T1,"43,19"
De 16 a 19 años,Mujeres,2022T4,"38,29"
De 16 a 19 años,Mujeres,2022T3,"42,22"
De 16 a 19 años,Mujeres,2022T2,"48,21"
De 16 a 19 años,Mujeres,2022T1,"48,92"
De 16 a 19 años,Mujeres,2021T4,"49,48"
De 16 a 19 años,Mujeres,2021T3,"42,57"
De 16 a 19 años,Mujeres,2021T2,"61,01"
De 16 a 19 años,Mujeres,2021T1,"62,28"
De 16 a 19 años,Mujeres,2020T4,"69,18"
De 16 a 19 años,Mujeres,2020T3,"63,17"
De 16 a 19 años,Mujeres,2020T2,"61,07"
De 16 a 19 años,Mujeres,2020T1,"50,28"
De 16 a 19 años,Mujeres,2019T4,"46,55"
De 16 a 19 años,Mujeres,2019T3,"43,70"
De 16 a 19 años,Mujeres,2019T2,"48,11"
De 16 a 19 años,Mujeres,2019T1,"56,57"
De 16 a 19 años,Mujeres,2018T4,"46,89"
De 16 a 19 años,Mujeres,2018T3,"45,49"
De 16 a 19 años,Mujeres,2018T2,"52,28"
De 16 a 19 años,Mujeres,2018T1,"55,55"
De 16 a 19 años,Mujeres,2017T4,"54,74"
De 16 a 19 años,Mujeres,2017T3,"48,34"
De 16 a 19 años,Mujeres,2017T2,"57,81"
De 16 a 19 años,Mujeres,2017T1,"61,77"
De 16 a 19 años,Mujeres,2016T4,"64,02"
De 16 a 19 años,Mujeres,2016T3,"56,30"
De 16 a 19 años,Mujeres,2016T2,"65,96"
De 16 a 19 años,Mujeres,2016T1,"61,24"
De 16 a 19 años,Mujeres,2015T4,"70,97"
De 16 a 19 años,Mujeres,2015T3,"66,77"
