ano,tipo,valor
2013,1.4.-Otros contra las personas,90115
2013,10. ORDEN PÚBLICO,29157
2013,11. LEGISLACIÓN ESPECIAL,261
2013,12. OTRAS INFRACCIONES PENALES,4891
2013,2. CONTRA LA LIBERTAD,35164
2013,2.1.-Malos tratos habituales en el ámbito familiar,13344
2013,2.2.-Otros contra la libertad,21820
2013,3. LIBERTAD SEXUAL,6766
2013,3.1.-Agresión sexual,3605
2013,3.2.-Agresión sexual con penetración,1395
2013,3.3.-Corrupción de menores o incapacitados,253
2013,3.4.-Pornografía de menores,305
2013,3.5.-Otros contra la libertad sexual,1208
2013,4. RELACIONES FAMILIARES,9143
2013,5. PATRIMONIO,314507
2013,5.1.-Hurtos,126519
2013,5.2.-Robos con fuerza en las cosas,62150
2013,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,13496
2013,5.2.2.-Robos con fuerza en viviendas,18416
2013,5.2.3.-Robos con fuerza en establecimientos,9040
2013,5.3.-Robos con violencia o intimidación,22064
2013,5.3.1.-Robos con violencia en vía pública,8937
2013,5.3.2.-Robos con violencia en viviendas,1641
2013,5.3.3.-Robos con violencia en establecimientos,3245
2013,5.4.-Sustracción de vehículos,13105
2013,5.5.-Estafas,34852
2013,5.5.1.-Estafas informáticas,7017
2013,5.6.-Daños,28849
2013,5.7.-Contra la propiedad intelectual/industrial,3145
2013,5.8.-Blanqueo de capitales,241
2013,5.9.-Otros contra el patrimonio,23582
2013,6. SEGURIDAD COLECTIVA,68223
2013,6.1.-Tráfico de drogas,13844
2013,6.2.-Contra la seguridad vial,52869
2013,6.3.-Otros contra la seguridad colectiva,1510
2013,7. FALSEDADES,11173
2013,8. ADMÓN. PÚBLICA,310
2013,9. ADMÓN. JUSTICIA,26383
2013,TOTAL INFRACCIONES PENALES,736368
2014,1. CONTRA LAS PERSONAS,233846
2014,1.1.-Homicidios dolosos/asesinatos,950
2014,1.1.1.-Homicidios dolosos/asesinatos consumados,232
2014,1.2.-Lesiones,78117
2014,1.3.-Malos tratos ámbito familiar,61442
2014,1.4.-Otros contra las personas,93337
2014,10. ORDEN PÚBLICO,26958
2014,11. LEGISLACIÓN ESPECIAL,188
2014,12. OTRAS INFRACCIONES PENALES,4989
2014,2. CONTRA LA LIBERTAD,34292
2014,2.1.-Malos tratos habituales en el ámbito familiar,12410
2014,2.2.-Otros contra la libertad,21882
2014,3. LIBERTAD SEXUAL,7088
2014,3.1.-Agresión sexual,3806
2014,3.2.-Agresión sexual con penetración,1325
2014,3.3.-Corrupción de menores o incapacitados,286
2014,3.4.-Pornografía de menores,425
2014,3.5.-Otros contra la libertad sexual,1246
2014,4. RELACIONES FAMILIARES,9435
2014,5. PATRIMONIO,298162
2014,5.1.-Hurtos,120763
2014,5.2.-Robos con fuerza en las cosas,54622
2014,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,11754
2014,5.2.2.-Robos con fuerza en viviendas,16754
2014,5.2.3.-Robos con fuerza en establecimientos,8235
2014,5.3.-Robos con violencia o intimidación,18383
2014,5.3.1.-Robos con violencia en vía pública,7558
2014,5.3.2.-Robos con violencia en viviendas,1334
2014,5.3.3.-Robos con violencia en establecimientos,2791
2014,5.4.-Sustracción de vehículos,11690
2014,5.5.-Estafas,35659
2014,5.5.1.-Estafas informáticas,7884
2014,5.6.-Daños,27775
2014,5.7.-Contra la propiedad intelectual/industrial,2456
2014,5.8.-Blanqueo de capitales,216
2014,5.9.-Otros contra el patrimonio,26598
2014,6. SEGURIDAD COLECTIVA,62185
2014,6.1.-Tráfico de drogas,12657
2014,6.2.-Contra la seguridad vial,48027
2014,6.3.-Otros contra la seguridad colectiva,1501
2014,7. FALSEDADES,11383
2014,8. ADMÓN. PÚBLICA,426
2014,9. ADMÓN. JUSTICIA,26405
2014,TOTAL INFRACCIONES PENALES,715357
2015,1. CONTRA LAS PERSONAS,189246
2015,1.1.-Homicidios dolosos/asesinatos,893
2015,1.1.1.-Homicidios dolosos/asesinatos consumados,244
2015,1.2.-Lesiones,76483
2015,1.3.-Malos tratos ámbito familiar,63117
2015,1.4.-Otros contra las personas,48753
2015,10. ORDEN PÚBLICO,21118
2015,11. LEGISLACIÓN ESPECIAL,180
2015,12. OTRAS INFRACCIONES PENALES,6247
2015,2. CONTRA LA LIBERTAD,60388
2015,2.1.-Malos tratos habituales en el ámbito familiar,12230
2015,2.2.-Otros contra la libertad,48158
2015,3. LIBERTAD SEXUAL,7500
2015,3.1.-Agresión sexual,4026
2015,3.2.-Agresión sexual con penetración,1399
2015,3.3.-Corrupción de menores o incapacitados,358
2015,3.4.-Pornografía de menores,540
2015,3.5.-Otros contra la libertad sexual,1177
2015,4. RELACIONES FAMILIARES,8794
2015,5. PATRIMONIO,273069
2015,5.1.-Hurtos,111625
2015,5.2.-Robos con fuerza en las cosas,44417
2015,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,9754
2015,5.2.2.-Robos con fuerza en viviendas,12995
2015,5.2.3.-Robos con fuerza en establecimientos,7448
2015,5.3.-Robos con violencia o intimidación,16028
2015,5.3.1.-Robos con violencia en vía pública,6414
2015,5.3.2.-Robos con violencia en viviendas,1195
2015,5.3.3.-Robos con violencia en establecimientos,2500
2015,5.4.-Sustracción de vehículos,11660
2015,5.5.-Estafas,36074
2015,5.5.1.-Estafas informáticas,10344
2015,5.6.-Daños,26091
2015,5.7.-Contra la propiedad intelectual/industrial,1865
2015,5.8.-Blanqueo de capitales,273
2015,5.9.-Otros contra el patrimonio,25036
2015,6. SEGURIDAD COLECTIVA,55506
2015,6.1.-Tráfico de drogas,11390
2015,6.2.-Contra la seguridad vial,42718
2015,6.3.-Otros contra la seguridad colectiva,1398
2015,7. FALSEDADES,11438
2015,8. ADMÓN. PÚBLICA,384
2015,9. ADMÓN. JUSTICIA,25917
2015,TOTAL INFRACCIONES PENALES,659787
2016,1. CONTRA LAS PERSONAS,145212
2016,1.1.-Homicidios dolosos/asesinatos,1019
2016,1.1.1.-Homicidios dolosos/asesinatos consumados,210
2016,1.2.-Lesiones,77292
2016,1.3.-Malos tratos ámbito familiar,65493
2016,1.4.-Otros contra las personas,1408
2016,10. ORDEN PÚBLICO,17642
2016,11. LEGISLACIÓN ESPECIAL,131
2016,12. OTRAS INFRACCIONES PENALES,7435
2016,2. CONTRA LA LIBERTAD,89305
2016,2.1.-Malos tratos habituales en el ámbito familiar,11489
2016,2.2.-Otros contra la libertad,77816
2016,3. LIBERTAD SEXUAL,8381
2016,3.1.-Agresión sexual,4806
2016,3.2.-Agresión sexual con penetración,1514
2016,3.3.-Corrupción de menores o incapacitados,292
2016,3.4.-Pornografía de menores,477
2016,3.5.-Otros contra la libertad sexual,1292
2016,4. RELACIONES FAMILIARES,7465
2016,5. PATRIMONIO,273027
2016,5.1.-Hurtos,109627
2016,5.2.-Robos con fuerza en las cosas,45511
2016,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,10574
