ano,paro_joven,arope
2010,37.447825977640946,26.1
2011,40.88814006826856,26.7
2012,47.5012226583187,27.2
2013,49.817603613456015,27.3
2014,47.021067685735886,29.2
2015,44.23111766054698,28.6
2016,40.35349424936562,27.9
2017,35.926248140674545,26.6
2018,32.24982026342606,26.1
2019,30.10717126596086,25.3
2020,36.078194573620614,26.4
2021,33.7132933400969,27.6
2022,28.14816682489508,26.3
2023,27.063685519287,26.9
