sexo,edad,tasa_de_riesgo_de_pobreza_o_exclusion_social_y_sus_componentes,periodo,total
Ambos sexos,Menores de 16 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2011,"31,6"
Ambos sexos,Menores de 16 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2010,"32,6"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2023,"28,5"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2022,"27,7"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2021,"28,7"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2020,"27,6"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2019,"27,1"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2018,"26,2"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2017,"28,1"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2016,"28,9"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2015,"28,8"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2014,"30,1"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2013,"26,7"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2012,"26,9"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2011,"27,2"
Ambos sexos,Menores de 16 años,En riesgo de pobreza (renta año anterior a la entrevista),2010,"28,8"
Ambos sexos,Menores de 16 años,Con carencia material severa,2023,"10,8"
Ambos sexos,Menores de 16 años,Con carencia material severa,2022,"10,1"
Ambos sexos,Menores de 16 años,Con carencia material severa,2021,"8,6"
Ambos sexos,Menores de 16 años,Con carencia material severa,2020,"9,1"
Ambos sexos,Menores de 16 años,Con carencia material severa,2019,"6,1"
Ambos sexos,Menores de 16 años,Con carencia material severa,2018,"6,2"
Ambos sexos,Menores de 16 años,Con carencia material severa,2017,"6,4"
Ambos sexos,Menores de 16 años,Con carencia material severa,2016,"6,8"
Ambos sexos,Menores de 16 años,Con carencia material severa,2015,"9,1"
Ambos sexos,Menores de 16 años,Con carencia material severa,2014,"9,6"
Ambos sexos,Menores de 16 años,Con carencia material severa,2013,"8,4"
Ambos sexos,Menores de 16 años,Con carencia material severa,2012,"7,4"
Ambos sexos,Menores de 16 años,Con carencia material severa,2011,"5,2"
Ambos sexos,Menores de 16 años,Con carencia material severa,2010,"7,2"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2023,"7,1"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2022,"6,8"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2021,"8,8"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2020,"7,0"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2019,"8,3"
