ano,tipo,total
2013,5.2.3.-robos con fuerza en establecimientos,9040
2013,5.3.-robos con violencia o intimidacion,22061
2013,5.3.1.-robos con violencia en via publica,8936
2013,5.3.2.-robos con violencia en viviendas,1641
2013,5.3.3.-robos con violencia en establecimientos,3245
2013,5.4.-sustraccion de vehiculos,13073
2013,5.5.-estafas,34321
2013,5.5.1.-estafas informaticas,6796
2013,5.6.-danos,28846
2013,5.7.-contra la propiedad intelectual/industrial,3144
2013,5.8.-blanqueo de capitales,232
2013,5.9.-otros contra el patrimonio,23566
2013,6. seguridad colectiva,68217
2013,6.1.-trafico de drogas,13839
2013,6.2.-contra la seguridad vial,52869
2013,6.3.-otros contra la seguridad colectiva,1509
2013,7. falsedades,10835
2013,8. admon. publica,310
2013,9. admon. justicia,26368
2013,total infracciones penales,735153
2014,1. contra las personas,233693
2014,1.1.-homicidios dolosos/asesinatos,950
2014,1.1.1.-homicidios dolosos/asesinatos consumados,232
2014,1.2.-lesiones,78102
2014,1.3.-malos tratos ambito familiar,61370
2014,1.4.-otros contra las personas,93271
2014,10. orden publico,26952
2014,11. legislacion especial,188
2014,12. otras infracciones penales,4984
2014,2. contra la libertad,34248
2014,2.1.-malos tratos habituales en el ambito familiar,12403
2014,2.2.-otros contra la libertad,21845
2014,3. libertad sexual,7073
2014,3.1.-agresion sexual,3801
2014,3.2.-agresion sexual con penetracion,1321
2014,3.3.-corrupcion de menores o incapacitados,283
2014,3.4.-pornografia de menores,423
2014,3.5.-otros contra la libertad sexual,1245
2014,4. relaciones familiares,9361
2014,5. patrimonio,297671
2014,5.1.-hurtos,120754
2014,5.2.-robos con fuerza en las cosas,54614
2014,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,11754
2014,5.2.2.-robos con fuerza en viviendas,16751
2014,5.2.3.-robos con fuerza en establecimientos,8235
2014,5.3.-robos con violencia o intimidacion,18382
2014,5.3.1.-robos con violencia en via publica,7558
2014,5.3.2.-robos con violencia en viviendas,1333
2014,5.3.3.-robos con violencia en establecimientos,2791
2014,5.4.-sustraccion de vehiculos,11618
2014,5.5.-estafas,35291
2014,5.5.1.-estafas informaticas,7717
2014,5.6.-danos,27774
2014,5.7.-contra la propiedad intelectual/industrial,2455
2014,5.8.-blanqueo de capitales,211
2014,5.9.-otros contra el patrimonio,26572
2014,6. seguridad colectiva,62161
2014,6.1.-trafico de drogas,12639
2014,6.2.-contra la seguridad vial,48022
2014,6.3.-otros contra la seguridad colectiva,1500
2014,7. falsedades,10987
2014,8. admon. publica,426
2014,9. admon. justicia,26379
2014,total infracciones penales,714123
2015,1. contra las personas,189084
2015,1.1.-homicidios dolosos/asesinatos,892
2015,1.1.1.-homicidios dolosos/asesinatos consumados,243
2015,1.2.-lesiones,76473
2015,1.3.-malos tratos ambito familiar,63011
2015,1.4.-otros contra las personas,48708
2015,10. orden publico,21114
2015,11. legislacion especial,180
2015,12. otras infracciones penales,6234
2015,2. contra la libertad,60335
2015,2.1.-malos tratos habituales en el ambito familiar,12222
2015,2.2.-otros contra la libertad,48113
2015,3. libertad sexual,7491
2015,3.1.-agresion sexual,4021
2015,3.2.-agresion sexual con penetracion,1397
2015,3.3.-corrupcion de menores o incapacitados,358
2015,3.4.-pornografia de menores,539
2015,3.5.-otros contra la libertad sexual,1176
2015,4. relaciones familiares,8708
2015,5. patrimonio,272524
2015,5.1.-hurtos,111615
2015,5.2.-robos con fuerza en las cosas,44412
2015,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,9753
2015,5.2.2.-robos con fuerza en viviendas,12995
2015,5.2.3.-robos con fuerza en establecimientos,7446
2015,5.3.-robos con violencia o intimidacion,16028
2015,5.3.1.-robos con violencia en via publica,6414
2015,5.3.2.-robos con violencia en viviendas,1195
2015,5.3.3.-robos con violencia en establecimientos,2500
2015,5.4.-sustraccion de vehiculos,11583
2015,5.5.-estafas,35662
2015,5.5.1.-estafas informaticas,10162
2015,5.6.-danos,26089
2015,5.7.-contra la propiedad intelectual/industrial,1863
2015,5.8.-blanqueo de capitales,261
2015,5.9.-otros contra el patrimonio,25011
2015,6. seguridad colectiva,55490
2015,6.1.-trafico de drogas,11374
2015,6.2.-contra la seguridad vial,42718
2015,6.3.-otros contra la seguridad colectiva,1398
2015,7. falsedades,11060
2015,8. admon. publica,383
2015,9. admon. justicia,25899
2015,total infracciones penales,658502
2016,1. contra las personas,145098
2016,1.1.-homicidios dolosos/asesinatos,1019
2016,1.1.1.-homicidios dolosos/asesinatos consumados,210
2016,1.2.-lesiones,77284
2016,1.3.-malos tratos ambito familiar,65388
2016,1.4.-otros contra las personas,1407
2016,10. orden publico,17638
2016,11. legislacion especial,131
2016,12. otras infracciones penales,7431
2016,2. contra la libertad,89201
2016,2.1.-malos tratos habituales en el ambito familiar,11473
2016,2.2.-otros contra la libertad,77728
2016,3. libertad sexual,8367
2016,3.1.-agresion sexual,4797
2016,3.2.-agresion sexual con penetracion,1511
2016,3.3.-corrupcion de menores o incapacitados,292
2016,3.4.-pornografia de menores,476
2016,3.5.-otros contra la libertad sexual,1291
2016,4. relaciones familiares,7378
2016,5. patrimonio,272517
2016,5.1.-hurtos,109612
2016,5.2.-robos con fuerza en las cosas,45504
2016,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10574
2016,5.2.2.-robos con fuerza en viviendas,13715
2016,5.2.3.-robos con fuerza en establecimientos,7898
2016,5.3.-robos con violencia o intimidacion,16355
2016,5.3.1.-robos con violencia en via publica,6737
2016,5.3.2.-robos con violencia en viviendas,1169
2016,5.3.3.-robos con violencia en establecimientos,2625
2016,5.4.-sustraccion de vehiculos,11795
2016,5.5.-estafas,37540
2016,5.5.1.-estafas informaticas,11302
