ano,share_extranjeros
2010,30.695491338676636
2011,28.93713441237963
2012,27.975976158354335
2013,27.155103724838295
2014,24.979241595448183
2015,24.144496691598025
2016,24.515404853017916
2017,24.479799928165697
2018,25.20084898587725
2019,26.14110603710097
2020,31.58772225702308
2021,32.05868205868206
2022,33.892124409197926
2023,35.39843352915715
