ano,tipo,sexo,valor
2011,1.1.-homicidios dolosos/asesinatos,hombres,360
2011,1.1.-homicidios dolosos/asesinatos,mujeres,39
2011,1.1.-homicidios dolosos/asesinatos,total,399
2011,1.1.1.-homicidios dolosos/asesinatos consumados,hombres,151
2011,1.1.1.-homicidios dolosos/asesinatos consumados,mujeres,25
2011,1.1.1.-homicidios dolosos/asesinatos consumados,total,176
2011,1.2.-lesiones,hombres,7251
2011,1.2.-lesiones,mujeres,1290
2011,1.2.-lesiones,total,8541
2011,1.3.-malos tratos ambito familiar,hombres,14952
2011,1.3.-malos tratos ambito familiar,mujeres,1308
2011,1.3.-malos tratos ambito familiar,total,16260
2011,1.4.-otros contra las personas,hombres,2312
2011,1.4.-otros contra las personas,mujeres,670
2011,1.4.-otros contra las personas,total,2982
2011,10. orden publico,hombres,8075
2011,10. orden publico,mujeres,1247
2011,10. orden publico,total,9322
2011,11. legislacion especial,hombres,49
2011,11. legislacion especial,mujeres,9
2011,11. legislacion especial,total,58
2011,12. otras infracciones penales,hombres,1395
2011,12. otras infracciones penales,mujeres,322
2011,12. otras infracciones penales,total,1717
2011,2. contra la libertad,hombres,6125
2011,2. contra la libertad,mujeres,674
2011,2. contra la libertad,total,6799
2011,2.1.-malos tratos habituales en el ambito familiar,hombres,2841
2011,2.1.-malos tratos habituales en el ambito familiar,mujeres,170
2011,2.1.-malos tratos habituales en el ambito familiar,total,3011
2011,2.2.-otros contra la libertad,hombres,3284
2011,2.2.-otros contra la libertad,mujeres,504
2011,2.2.-otros contra la libertad,total,3788
2011,3. libertad sexual,hombres,2046
2011,3. libertad sexual,mujeres,242
2011,3. libertad sexual,total,2288
2011,3.1.-agresion sexual,hombres,1094
2011,3.1.-agresion sexual,mujeres,11
2011,3.1.-agresion sexual,total,1105
2011,3.2.-agresion sexual con penetracion,hombres,528
2011,3.2.-agresion sexual con penetracion,mujeres,6
2011,3.2.-agresion sexual con penetracion,total,534
2011,3.3.-corrupcion de menores o incapacitados,hombres,37
2011,3.3.-corrupcion de menores o incapacitados,mujeres,16
2011,3.3.-corrupcion de menores o incapacitados,total,53
2011,3.4.-pornografia de menores,hombres,39
2011,3.4.-pornografia de menores,mujeres,4
2011,3.4.-pornografia de menores,total,43
2011,3.5.-otros contra la libertad sexual,hombres,348
2011,3.5.-otros contra la libertad sexual,mujeres,205
2011,3.5.-otros contra la libertad sexual,total,553
2011,4. relaciones familiares,hombres,332
2011,4. relaciones familiares,mujeres,184
2011,4. relaciones familiares,total,516
2011,5. patrimonio,hombres,45099
2011,5. patrimonio,mujeres,9381
2011,5. patrimonio,total,54480
2011,5.1.-hurtos,hombres,15550
2011,5.1.-hurtos,mujeres,6273
2011,5.1.-hurtos,total,21823
2011,5.2.-robos con fuerza en las cosas,hombres,13644
2011,5.2.-robos con fuerza en las cosas,mujeres,825
2011,5.2.-robos con fuerza en las cosas,total,14469
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,hombres,2532
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,mujeres,70
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,2602
2011,5.2.2.-robos con fuerza en viviendas,hombres,3379
2011,5.2.2.-robos con fuerza en viviendas,mujeres,275
2011,5.2.2.-robos con fuerza en viviendas,total,3654
2011,5.2.3.-robos con fuerza en establecimientos,hombres,2937
2011,5.2.3.-robos con fuerza en establecimientos,mujeres,166
2011,5.2.3.-robos con fuerza en establecimientos,total,3103
2011,5.3.-robos con violencia o intimidacion,hombres,6258
2011,5.3.-robos con violencia o intimidacion,mujeres,556
2011,5.3.-robos con violencia o intimidacion,total,6814
2011,5.3.1.-robos con violencia en via publica,hombres,4010
2011,5.3.1.-robos con violencia en via publica,mujeres,266
2011,5.3.1.-robos con violencia en via publica,total,4276
2011,5.3.2.-robos con violencia en viviendas,hombres,503
2011,5.3.2.-robos con violencia en viviendas,mujeres,78
2011,5.3.2.-robos con violencia en viviendas,total,581
2011,5.3.3.-robos con violencia en establecimientos,hombres,788
2011,5.3.3.-robos con violencia en establecimientos,mujeres,94
2011,5.3.3.-robos con violencia en establecimientos,total,882
2011,5.4.-sustraccion de vehiculos,hombres,1866
2011,5.4.-sustraccion de vehiculos,mujeres,135
2011,5.4.-sustraccion de vehiculos,total,2001
2011,5.5.-estafas,hombres,2553
2011,5.5.-estafas,mujeres,774
2011,5.5.-estafas,total,3327
2011,5.5.1.-estafas informaticas,hombres,468
2011,5.5.1.-estafas informaticas,mujeres,147
2011,5.5.1.-estafas informaticas,total,615
2011,5.6.-danos,hombres,1929
2011,5.6.-danos,mujeres,186
2011,5.6.-danos,total,2115
2011,5.7.-contra la propiedad intelectual/industrial,hombres,1338
2011,5.7.-contra la propiedad intelectual/industrial,mujeres,109
2011,5.7.-contra la propiedad intelectual/industrial,total,1447
2011,5.8.-blanqueo de capitales,hombres,113
2011,5.8.-blanqueo de capitales,mujeres,71
2011,5.8.-blanqueo de capitales,total,184
2011,5.9.-otros contra el patrimonio,hombres,1848
2011,5.9.-otros contra el patrimonio,mujeres,452
2011,5.9.-otros contra el patrimonio,total,2300
2011,6. seguridad colectiva,hombres,18413
2011,6. seguridad colectiva,mujeres,2095
2011,6. seguridad colectiva,total,20508
2011,6.1.-trafico de drogas,hombres,6917
2011,6.1.-trafico de drogas,mujeres,1228
2011,6.1.-trafico de drogas,total,8145
2011,6.2.-contra la seguridad vial,hombres,11033
2011,6.2.-contra la seguridad vial,mujeres,805
2011,6.2.-contra la seguridad vial,total,11838
2011,6.3.-otros contra la seguridad colectiva,hombres,463
2011,6.3.-otros contra la seguridad colectiva,mujeres,62
2011,6.3.-otros contra la seguridad colectiva,total,525
2011,7. falsedades,hombres,5377
2011,7. falsedades,mujeres,941
2011,7. falsedades,total,6318
2011,8. admon. publica,hombres,39
2011,8. admon. publica,mujeres,4
2011,8. admon. publica,total,43
2011,9. admon. justicia,hombres,4787
2011,9. admon. justicia,mujeres,481
2011,9. admon. justicia,total,5268
2011,total infracciones penales,hombres,116612
2011,total infracciones penales,mujeres,18887
2011,total infracciones penales,total,135499
2012,1. contra las personas,hombres,22582
2012,1. contra las personas,mujeres,3254
2012,1. contra las personas,total,25836
2012,1.1.-homicidios dolosos/asesinatos,hombres,295
2012,1.1.-homicidios dolosos/asesinatos,mujeres,31
2012,1.1.-homicidios dolosos/asesinatos,total,326
2012,1.1.1.-homicidios dolosos/asesinatos consumados,hombres,125
2012,1.1.1.-homicidios dolosos/asesinatos consumados,mujeres,15
2012,1.1.1.-homicidios dolosos/asesinatos consumados,total,140
2012,1.2.-lesiones,hombres,6408
2012,1.2.-lesiones,mujeres,1259
2012,1.2.-lesiones,total,7667
2012,1.3.-malos tratos ambito familiar,hombres,13886
2012,1.3.-malos tratos ambito familiar,mujeres,1291
2012,1.3.-malos tratos ambito familiar,total,15177
2012,1.4.-otros contra las personas,hombres,1993
2012,1.4.-otros contra las personas,mujeres,673
2012,1.4.-otros contra las personas,total,2666
2012,10. orden publico,hombres,7234
2012,10. orden publico,mujeres,1165
2012,10. orden publico,total,8399
2012,11. legislacion especial,hombres,63
2012,11. legislacion especial,mujeres,6
2012,11. legislacion especial,total,69
2012,12. otras infracciones penales,hombres,1278
2012,12. otras infracciones penales,mujeres,347
2012,12. otras infracciones penales,total,1625
2012,2. contra la libertad,hombres,5432
2012,2. contra la libertad,mujeres,694
2012,2. contra la libertad,total,6126
2012,2.1.-malos tratos habituales en el ambito familiar,hombres,2564
2012,2.1.-malos tratos habituales en el ambito familiar,mujeres,184
2012,2.1.-malos tratos habituales en el ambito familiar,total,2748
2012,2.2.-otros contra la libertad,hombres,2868
2012,2.2.-otros contra la libertad,mujeres,510
2012,2.2.-otros contra la libertad,total,3378
2012,3. libertad sexual,hombres,1770
2012,3. libertad sexual,mujeres,225
2012,3. libertad sexual,total,1995
2012,3.1.-agresion sexual,hombres,961
2012,3.1.-agresion sexual,mujeres,17
2012,3.1.-agresion sexual,total,978
2012,3.2.-agresion sexual con penetracion,hombres,433
2012,3.2.-agresion sexual con penetracion,mujeres,14
2012,3.2.-agresion sexual con penetracion,total,447
2012,3.3.-corrupcion de menores o incapacitados,hombres,41
2012,3.3.-corrupcion de menores o incapacitados,mujeres,13
2012,3.3.-corrupcion de menores o incapacitados,total,54
2012,3.4.-pornografia de menores,hombres,37
