ano,tipo,valor
2013,5.3.1.-robos con violencia en via publica,4073
2013,5.3.2.-robos con violencia en viviendas,595
2013,5.3.3.-robos con violencia en establecimientos,970
2013,5.4.-sustraccion de vehiculos,1444
2013,5.5.-estafas,3269
2013,5.5.1.-estafas informaticas,587
2013,5.6.-danos,1836
2013,5.7.-contra la propiedad intelectual/industrial,1882
2013,5.8.-blanqueo de capitales,177
2013,5.9.-otros contra el patrimonio,3393
2013,6. seguridad colectiva,17574
2013,6.1.-trafico de drogas,7359
2013,6.2.-contra la seguridad vial,9835
2013,6.3.-otros contra la seguridad colectiva,380
2013,7. falsedades,6364
2013,8. admon. publica,46
2013,9. admon. justicia,4296
2013,total infracciones penales,124394
2014,1. contra las personas,21611
2014,1.1.-homicidios dolosos/asesinatos,198
2014,1.1.1.-homicidios dolosos/asesinatos consumados,74
2014,1.2.-lesiones,6363
2014,1.3.-malos tratos ambito familiar,12801
2014,1.4.-otros contra las personas,2249
2014,10. orden publico,6808
2014,11. legislacion especial,55
2014,12. otras infracciones penales,1566
2014,2. contra la libertad,5119
2014,2.1.-malos tratos habituales en el ambito familiar,2232
2014,2.2.-otros contra la libertad,2887
2014,3. libertad sexual,1684
2014,3.1.-agresion sexual,818
2014,3.2.-agresion sexual con penetracion,369
2014,3.3.-corrupcion de menores o incapacitados,42
2014,3.4.-pornografia de menores,49
2014,3.5.-otros contra la libertad sexual,406
2014,4. relaciones familiares,546
2014,5. patrimonio,45583
2014,5.1.-hurtos,20217
2014,5.2.-robos con fuerza en las cosas,10126
2014,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1279
2014,5.2.2.-robos con fuerza en viviendas,4235
2014,5.2.3.-robos con fuerza en establecimientos,1869
2014,5.3.-robos con violencia o intimidacion,4643
2014,5.3.1.-robos con violencia en via publica,2887
2014,5.3.2.-robos con violencia en viviendas,483
2014,5.3.3.-robos con violencia en establecimientos,764
2014,5.4.-sustraccion de vehiculos,1209
2014,5.5.-estafas,2780
2014,5.5.1.-estafas informaticas,473
2014,5.6.-danos,1659
2014,5.7.-contra la propiedad intelectual/industrial,1484
2014,5.8.-blanqueo de capitales,171
2014,5.9.-otros contra el patrimonio,3294
2014,6. seguridad colectiva,14949
2014,6.1.-trafico de drogas,6196
2014,6.2.-contra la seguridad vial,8364
2014,6.3.-otros contra la seguridad colectiva,389
2014,7. falsedades,6335
2014,8. admon. publica,53
2014,9. admon. justicia,3690
2014,total infracciones penales,107999
2015,1. contra las personas,19923
2015,1.1.-homicidios dolosos/asesinatos,230
2015,1.1.1.-homicidios dolosos/asesinatos consumados,91
2015,1.2.-lesiones,5951
2015,1.3.-malos tratos ambito familiar,12430
2015,1.4.-otros contra las personas,1312
2015,10. orden publico,5573
2015,11. legislacion especial,68
2015,12. otras infracciones penales,1404
2015,2. contra la libertad,5332
2015,2.1.-malos tratos habituales en el ambito familiar,2036
2015,2.2.-otros contra la libertad,3296
2015,3. libertad sexual,1496
2015,3.1.-agresion sexual,755
2015,3.2.-agresion sexual con penetracion,341
2015,3.3.-corrupcion de menores o incapacitados,36
2015,3.4.-pornografia de menores,45
2015,3.5.-otros contra la libertad sexual,319
2015,4. relaciones familiares,420
2015,5. patrimonio,35459
2015,5.1.-hurtos,16434
2015,5.2.-robos con fuerza en las cosas,6996
2015,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,988
2015,5.2.2.-robos con fuerza en viviendas,2813
2015,5.2.3.-robos con fuerza en establecimientos,1377
2015,5.3.-robos con violencia o intimidacion,3602
2015,5.3.1.-robos con violencia en via publica,2269
2015,5.3.2.-robos con violencia en viviendas,340
2015,5.3.3.-robos con violencia en establecimientos,565
2015,5.4.-sustraccion de vehiculos,1139
2015,5.5.-estafas,2241
2015,5.5.1.-estafas informaticas,427
2015,5.6.-danos,1251
2015,5.7.-contra la propiedad intelectual/industrial,1130
2015,5.8.-blanqueo de capitales,188
2015,5.9.-otros contra el patrimonio,2478
2015,6. seguridad colectiva,12429
2015,6.1.-trafico de drogas,4988
2015,6.2.-contra la seguridad vial,7135
2015,6.3.-otros contra la seguridad colectiva,306
2015,7. falsedades,6258
2015,8. admon. publica,57
2015,9. admon. justicia,3389
2015,total infracciones penales,91808
2016,1. contra las personas,19467
2016,1.1.-homicidios dolosos/asesinatos,290
2016,1.1.1.-homicidios dolosos/asesinatos consumados,107
2016,1.2.-lesiones,6027
2016,1.3.-malos tratos ambito familiar,12786
2016,1.4.-otros contra las personas,364
2016,10. orden publico,5156
2016,11. legislacion especial,94
2016,12. otras infracciones penales,1343
2016,2. contra la libertad,6137
2016,2.1.-malos tratos habituales en el ambito familiar,1930
2016,2.2.-otros contra la libertad,4207
2016,3. libertad sexual,1623
2016,3.1.-agresion sexual,877
2016,3.2.-agresion sexual con penetracion,376
2016,3.3.-corrupcion de menores o incapacitados,43
2016,3.4.-pornografia de menores,40
2016,3.5.-otros contra la libertad sexual,287
2016,4. relaciones familiares,334
2016,5. patrimonio,35199
2016,5.1.-hurtos,16744
2016,5.2.-robos con fuerza en las cosas,6765
2016,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1031
2016,5.2.2.-robos con fuerza en viviendas,3077
2016,5.2.3.-robos con fuerza en establecimientos,1326
2016,5.3.-robos con violencia o intimidacion,3929
2016,5.3.1.-robos con violencia en via publica,2568
2016,5.3.2.-robos con violencia en viviendas,357
2016,5.3.3.-robos con violencia en establecimientos,598
2016,5.4.-sustraccion de vehiculos,1049
2016,5.5.-estafas,2173
2016,5.5.1.-estafas informaticas,446
2016,5.6.-danos,1433
2016,5.7.-contra la propiedad intelectual/industrial,1092
2016,5.8.-blanqueo de capitales,201
2016,5.9.-otros contra el patrimonio,1813
2016,6. seguridad colectiva,11637
2016,6.1.-trafico de drogas,4758
2016,6.2.-contra la seguridad vial,6580
2016,6.3.-otros contra la seguridad colectiva,299
2016,7. falsedades,5780
2016,8. admon. publica,36
2016,9. admon. justicia,3395
2016,total infracciones penales,90201
2017,1. contra las personas,21304
2017,1.1.-homicidios dolosos/asesinatos,270
2017,1.1.1.-homicidios dolosos/asesinatos consumados,86
2017,1.2.-lesiones,6802
2017,1.3.-malos tratos ambito familiar,13814
2017,1.4.-otros contra las personas,418
2017,10. orden publico,5428
2017,11. legislacion especial,76
2017,12. otras infracciones penales,1343
2017,2. contra la libertad,6676
2017,2.1.-malos tratos habituales en el ambito familiar,1989
2017,2.2.-otros contra la libertad,4687
2017,3. libertad sexual,1775
2017,3.1.-agresion sexual,970
2017,3.2.-agresion sexual con penetracion,393
2017,3.3.-corrupcion de menores o incapacitados,53
2017,3.4.-pornografia de menores,52
2017,3.5.-otros contra la libertad sexual,307
2017,4. relaciones familiares,367
2017,5. patrimonio,34077
2017,5.1.-hurtos,16905
2017,5.2.-robos con fuerza en las cosas,5836
2017,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,977
2017,5.2.2.-robos con fuerza en viviendas,2466
2017,5.2.3.-robos con fuerza en establecimientos,1093
2017,5.3.-robos con violencia o intimidacion,3701
2017,5.3.1.-robos con violencia en via publica,2298
2017,5.3.2.-robos con violencia en viviendas,312
2017,5.3.3.-robos con violencia en establecimientos,622
2017,5.4.-sustraccion de vehiculos,895
2017,5.5.-estafas,2179
2017,5.5.1.-estafas informaticas,393
2017,5.6.-danos,1483
2017,5.7.-contra la propiedad intelectual/industrial,890
2017,5.8.-blanqueo de capitales,191
2017,5.9.-otros contra el patrimonio,1997
2017,6. seguridad colectiva,11914
2017,6.1.-trafico de drogas,4906
2017,6.2.-contra la seguridad vial,6653
2017,6.3.-otros contra la seguridad colectiva,355
2017,7. falsedades,5235
2017,8. admon. publica,88
2017,9. admon. justicia,3728
2017,total infracciones penales,92011
2018,1. contra las personas,22512
2018,1.1.-homicidios dolosos/asesinatos,277
2018,1.1.1.-homicidios dolosos/asesinatos consumados,93
2018,1.2.-lesiones,7172
2018,1.3.-malos tratos ambito familiar,14614
2018,1.4.-otros contra las personas,449
2018,10. orden publico,5521
2018,11. legislacion especial,83
2018,12. otras infracciones penales,1266
2018,2. contra la libertad,7161
2018,2.1.-malos tratos habituales en el ambito familiar,2094
2018,2.2.-otros contra la libertad,5067
2018,3. libertad sexual,2230
2018,3.1.-agresion sexual,1320
2018,3.2.-agresion sexual con penetracion,516
2018,3.3.-corrupcion de menores o incapacitados,26
2018,3.4.-pornografia de menores,79
2018,3.5.-otros contra la libertad sexual,289
2018,4. relaciones familiares,395
2018,5. patrimonio,36349
2018,5.1.-hurtos,17963
2018,5.2.-robos con fuerza en las cosas,5727
2018,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1037
2018,5.2.2.-robos con fuerza en viviendas,2536
2018,5.2.3.-robos con fuerza en establecimientos,1041
2018,5.3.-robos con violencia o intimidacion,4019
2018,5.3.1.-robos con violencia en via publica,2482
2018,5.3.2.-robos con violencia en viviendas,321
2018,5.3.3.-robos con violencia en establecimientos,728
2018,5.4.-sustraccion de vehiculos,697
2018,5.5.-estafas,2574
2018,5.5.1.-estafas informaticas,559
2018,5.6.-danos,1472
2018,5.7.-contra la propiedad intelectual/industrial,1327
2018,5.8.-blanqueo de capitales,123
2018,5.9.-otros contra el patrimonio,2447
2018,6. seguridad colectiva,13419
2018,6.1.-trafico de drogas,5431
2018,6.2.-contra la seguridad vial,7496
2018,6.3.-otros contra la seguridad colectiva,492
2018,7. falsedades,6577
2018,8. admon. publica,77
2018,9. admon. justicia,3909
2018,total infracciones penales,99499
2019,1. contra las personas,25183
2019,1.1.-homicidios dolosos/asesinatos,287
2019,1.1.1.-homicidios dolosos/asesinatos consumados,99
2019,1.2.-lesiones,7991
2019,1.3.-malos tratos ambito familiar,16416
2019,1.4.-otros contra las personas,489
2019,10. orden publico,5850
2019,11. legislacion especial,118
2019,12. otras infracciones penales,1475
2019,2. contra la libertad,8019
2019,2.1.-malos tratos habituales en el ambito familiar,2396
2019,2.2.-otros contra la libertad,5623
2019,3. libertad sexual,2477
2019,3.1.-agresion sexual,1509
2019,3.2.-agresion sexual con penetracion,557
2019,3.3.-corrupcion de menores o incapacitados,21
2019,3.4.-pornografia de menores,78
2019,3.5.-otros contra la libertad sexual,312
2019,4. relaciones familiares,336
2019,5. patrimonio,38284
2019,5.1.-hurtos,18080
2019,5.2.-robos con fuerza en las cosas,5978
2019,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1074
2019,5.2.2.-robos con fuerza en viviendas,2475
2019,5.2.3.-robos con fuerza en establecimientos,1309
2019,5.3.-robos con violencia o intimidacion,5047
2019,5.3.1.-robos con violencia en via publica,3264
2019,5.3.2.-robos con violencia en viviendas,321
2019,5.3.3.-robos con violencia en establecimientos,760
2019,5.4.-sustraccion de vehiculos,758
2019,5.5.-estafas,2973
2019,5.5.1.-estafas informaticas,914
2019,5.6.-danos,1643
2019,5.7.-contra la propiedad intelectual/industrial,1096
2019,5.8.-blanqueo de capitales,130
2019,5.9.-otros contra el patrimonio,2579
2019,6. seguridad colectiva,14427
2019,6.1.-trafico de drogas,6031
2019,6.2.-contra la seguridad vial,8105
2019,6.3.-otros contra la seguridad colectiva,291
2019,7. falsedades,7060
2019,8. admon. publica,46
2019,9. admon. justicia,4401
2019,total infracciones penales,107676
2020,1. contra las personas,28944
2020,1.1.-homicidios dolosos/asesinatos,381
2020,1.1.1.-homicidios dolosos/asesinatos consumados,101
2020,1.2.-lesiones,9300
2020,1.3.-malos tratos ambito familiar,18595
2020,1.4.-otros contra las personas,668
2020,10. orden publico,9525
2020,11. legislacion especial,123
2020,12. otras infracciones penales,1115
2020,2. contra la libertad,10743
2020,2.1.-malos tratos habituales en el ambito familiar,2598
2020,2.2.-otros contra la libertad,8145
2020,3. libertad sexual,2622
2020,3.1.-agresion sexual,1520
2020,3.2.-agresion sexual con penetracion,703
2020,3.3.-corrupcion de menores o incapacitados,23
2020,3.4.-pornografia de menores,71
2020,3.5.-otros contra la libertad sexual,305
2020,4. relaciones familiares,583
2020,5. patrimonio,51452
2020,5.1.-hurtos,20369
2020,5.2.-robos con fuerza en las cosas,8497
2020,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1086
2020,5.2.2.-robos con fuerza en viviendas,3114
2020,5.2.3.-robos con fuerza en establecimientos,2058
2020,5.3.-robos con violencia o intimidacion,5941
2020,5.3.1.-robos con violencia en via publica,3810
2020,5.3.2.-robos con violencia en viviendas,399
2020,5.3.3.-robos con violencia en establecimientos,1008
2020,5.4.-sustraccion de vehiculos,858
2020,5.5.-estafas,3447
2020,5.5.1.-estafas informaticas,1244
2020,5.6.-danos,2679
2020,5.7.-contra la propiedad intelectual/industrial,485
2020,5.8.-blanqueo de capitales,87
2020,5.9.-otros contra el patrimonio,9089
2020,6. seguridad colectiva,14657
2020,6.1.-trafico de drogas,6388
2020,6.2.-contra la seguridad vial,7992
2020,6.3.-otros contra la seguridad colectiva,277
2020,7. falsedades,5382
2020,8. admon. publica,21
2020,9. admon. justicia,5941
2020,total infracciones penales,131108
2021,1. contra las personas,32835
2021,1.1.-homicidios dolosos/asesinatos,439
2021,1.1.1.-homicidios dolosos/asesinatos consumados,112
2021,1.2.-lesiones,10961
2021,1.3.-malos tratos ambito familiar,20563
2021,1.4.-otros contra las personas,872
2021,10. orden publico,8409
2021,11. legislacion especial,131
2021,12. otras infracciones penales,1615
2021,2. contra la libertad,12203
2021,2.1.-malos tratos habituales en el ambito familiar,2784
2021,2.2.-otros contra la libertad,9419
2021,3. libertad sexual,3605
2021,3.1.-agresion sexual,2188
2021,3.2.-agresion sexual con penetracion,939
2021,3.3.-corrupcion de menores o incapacitados,53
2021,3.4.-pornografia de menores,78
2021,3.5.-otros contra la libertad sexual,347
2021,4. relaciones familiares,727
2021,5. patrimonio,55861
2021,5.1.-hurtos,23089
2021,5.2.-robos con fuerza en las cosas,8615
2021,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1890
2021,5.2.2.-robos con fuerza en viviendas,3099
2021,5.2.3.-robos con fuerza en establecimientos,1878
2021,5.3.-robos con violencia o intimidacion,6865
2021,5.3.1.-robos con violencia en via publica,4434
2021,5.3.2.-robos con violencia en viviendas,438
2021,5.3.3.-robos con violencia en establecimientos,1097
2021,5.4.-sustraccion de vehiculos,805
2021,5.5.-estafas,3841
2021,5.5.1.-estafas informaticas,1429
2021,5.6.-danos,3105
2021,5.7.-contra la propiedad intelectual/industrial,634
2021,5.8.-blanqueo de capitales,153
2021,5.9.-otros contra el patrimonio,8754
2021,6. seguridad colectiva,17086
2021,6.1.-trafico de drogas,7314
2021,6.2.-contra la seguridad vial,9490
2021,6.3.-otros contra la seguridad colectiva,282
2021,7. falsedades,6852
2021,8. admon. publica,54
2021,9. admon. justicia,5919
2021,total infracciones penales,145297
2022,1. contra las personas,39276
2022,1.1.-homicidios dolosos/asesinatos,482
2022,1.1.1.-homicidios dolosos/asesinatos consumados,105
2022,1.2.-lesiones,13133
2022,1.3.-malos tratos ambito familiar,24687
2022,1.4.-otros contra las personas,974
2022,10. orden publico,8716
