ano,region,tipo,valor
2010,ASTURIAS (PRINCIPADO DE),2. contra la libertad,660
2010,ASTURIAS (PRINCIPADO DE),2.1.-malos tratos habituales en el ambito familiar,208
2010,ASTURIAS (PRINCIPADO DE),2.2.-otros contra la libertad,452
2010,ASTURIAS (PRINCIPADO DE),3. libertad sexual,153
2010,ASTURIAS (PRINCIPADO DE),3.1.-agresion sexual,76
2010,ASTURIAS (PRINCIPADO DE),3.2.-agresion sexual con penetracion,25
2010,ASTURIAS (PRINCIPADO DE),3.3.-corrupcion de menores o incapacitados,6
2010,ASTURIAS (PRINCIPADO DE),3.4.-pornografia de menores,25
2010,ASTURIAS (PRINCIPADO DE),3.5.-otros contra la libertad sexual,21
2010,ASTURIAS (PRINCIPADO DE),4. relaciones familiares,117
2010,ASTURIAS (PRINCIPADO DE),5. patrimonio,18724
2010,ASTURIAS (PRINCIPADO DE),5.1.-hurtos,8721
2010,ASTURIAS (PRINCIPADO DE),5.2.-robos con fuerza en las cosas,4028
2010,ASTURIAS (PRINCIPADO DE),5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,797
2010,ASTURIAS (PRINCIPADO DE),5.2.2.-robos con fuerza en viviendas,770
2010,ASTURIAS (PRINCIPADO DE),5.2.3.-robos con fuerza en establecimientos,1122
2010,ASTURIAS (PRINCIPADO DE),5.3.-robos con violencia o intimidacion,612
2010,ASTURIAS (PRINCIPADO DE),5.3.1.-robos con violencia en via publica,396
2010,ASTURIAS (PRINCIPADO DE),5.3.2.-robos con violencia en viviendas,46
2010,ASTURIAS (PRINCIPADO DE),5.3.3.-robos con violencia en establecimientos,114
2010,ASTURIAS (PRINCIPADO DE),5.4.-sustraccion de vehiculos,665
2010,ASTURIAS (PRINCIPADO DE),5.5.-estafas,1125
2010,ASTURIAS (PRINCIPADO DE),5.5.1.-estafas informaticas,320
2010,ASTURIAS (PRINCIPADO DE),5.6.-danos,3294
2010,ASTURIAS (PRINCIPADO DE),5.7.-contra la propiedad intelectual/industrial,32
2010,ASTURIAS (PRINCIPADO DE),5.8.-blanqueo de capitales,1
2010,ASTURIAS (PRINCIPADO DE),5.9.-otros contra el patrimonio,246
2010,ASTURIAS (PRINCIPADO DE),6. seguridad colectiva,1194
2010,ASTURIAS (PRINCIPADO DE),6.1.-trafico de drogas,154
2010,ASTURIAS (PRINCIPADO DE),6.2.-contra la seguridad vial,994
2010,ASTURIAS (PRINCIPADO DE),6.3.-otros contra la seguridad colectiva,46
2010,ASTURIAS (PRINCIPADO DE),7. falsedades,129
2010,ASTURIAS (PRINCIPADO DE),8. admon. publica,2
2010,ASTURIAS (PRINCIPADO DE),9. admon. justicia,519
2010,ASTURIAS (PRINCIPADO DE),total infracciones penales,28481
2010,BALEARS (ILLES),1. contra las personas,8938
2010,BALEARS (ILLES),1.1.-homicidios dolosos/asesinatos,41
2010,BALEARS (ILLES),1.1.1.-homicidios dolosos/asesinatos consumados,6
2010,BALEARS (ILLES),1.2.-lesiones,3358
2010,BALEARS (ILLES),1.3.-malos tratos ambito familiar,2137
2010,BALEARS (ILLES),1.4.-otros contra las personas,3402
2010,BALEARS (ILLES),10. orden publico,854
2010,BALEARS (ILLES),11. legislacion especial,1
2010,BALEARS (ILLES),12. otras infracciones penales,200
2010,BALEARS (ILLES),2. contra la libertad,1515
2010,BALEARS (ILLES),2.1.-malos tratos habituales en el ambito familiar,592
2010,BALEARS (ILLES),2.2.-otros contra la libertad,923
2010,BALEARS (ILLES),3. libertad sexual,426
2010,BALEARS (ILLES),3.1.-agresion sexual,213
2010,BALEARS (ILLES),3.2.-agresion sexual con penetracion,65
2010,BALEARS (ILLES),3.3.-corrupcion de menores o incapacitados,16
2010,BALEARS (ILLES),3.4.-pornografia de menores,43
2010,BALEARS (ILLES),3.5.-otros contra la libertad sexual,89
2010,BALEARS (ILLES),4. relaciones familiares,161
2010,BALEARS (ILLES),5. patrimonio,54693
2010,BALEARS (ILLES),5.1.-hurtos,28551
2010,BALEARS (ILLES),5.2.-robos con fuerza en las cosas,13221
2010,BALEARS (ILLES),5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2774
2010,BALEARS (ILLES),5.2.2.-robos con fuerza en viviendas,3476
2010,BALEARS (ILLES),5.2.3.-robos con fuerza en establecimientos,2468
2010,BALEARS (ILLES),5.3.-robos con violencia o intimidacion,1476
2010,BALEARS (ILLES),5.3.1.-robos con violencia en via publica,1031
2010,BALEARS (ILLES),5.3.2.-robos con violencia en viviendas,73
2010,BALEARS (ILLES),5.3.3.-robos con violencia en establecimientos,189
2010,BALEARS (ILLES),5.4.-sustraccion de vehiculos,1970
2010,BALEARS (ILLES),5.5.-estafas,2634
2010,BALEARS (ILLES),5.5.1.-estafas informaticas,546
2010,BALEARS (ILLES),5.6.-danos,5763
2010,BALEARS (ILLES),5.7.-contra la propiedad intelectual/industrial,89
2010,BALEARS (ILLES),5.8.-blanqueo de capitales,10
2010,BALEARS (ILLES),5.9.-otros contra el patrimonio,979
2010,BALEARS (ILLES),6. seguridad colectiva,2078
2010,BALEARS (ILLES),6.1.-trafico de drogas,320
2010,BALEARS (ILLES),6.2.-contra la seguridad vial,1638
2010,BALEARS (ILLES),6.3.-otros contra la seguridad colectiva,120
2010,BALEARS (ILLES),7. falsedades,388
2010,BALEARS (ILLES),8. admon. publica,20
2010,BALEARS (ILLES),9. admon. justicia,888
2010,BALEARS (ILLES),total infracciones penales,70162
2010,CANARIAS,1. contra las personas,21268
2010,CANARIAS,1.1.-homicidios dolosos/asesinatos,61
2010,CANARIAS,1.1.1.-homicidios dolosos/asesinatos consumados,17
2010,CANARIAS,1.2.-lesiones,7562
2010,CANARIAS,1.3.-malos tratos ambito familiar,3512
2010,CANARIAS,1.4.-otros contra las personas,10133
2010,CANARIAS,10. orden publico,1643
2010,CANARIAS,11. legislacion especial,5
2010,CANARIAS,12. otras infracciones penales,171
2010,CANARIAS,2. contra la libertad,2133
2010,CANARIAS,2.1.-malos tratos habituales en el ambito familiar,967
2010,CANARIAS,2.2.-otros contra la libertad,1166
2010,CANARIAS,3. libertad sexual,598
2010,CANARIAS,3.1.-agresion sexual,283
2010,CANARIAS,3.2.-agresion sexual con penetracion,165
2010,CANARIAS,3.3.-corrupcion de menores o incapacitados,29
2010,CANARIAS,3.4.-pornografia de menores,51
2010,CANARIAS,3.5.-otros contra la libertad sexual,70
2010,CANARIAS,4. relaciones familiares,836
2010,CANARIAS,5. patrimonio,61351
2010,CANARIAS,5.1.-hurtos,29107
2010,CANARIAS,5.2.-robos con fuerza en las cosas,13784
2010,CANARIAS,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,3573
2010,CANARIAS,5.2.2.-robos con fuerza en viviendas,3750
2010,CANARIAS,5.2.3.-robos con fuerza en establecimientos,2204
2010,CANARIAS,5.3.-robos con violencia o intimidacion,1944
2010,CANARIAS,5.3.1.-robos con violencia en via publica,1321
2010,CANARIAS,5.3.2.-robos con violencia en viviendas,124
2010,CANARIAS,5.3.3.-robos con violencia en establecimientos,281
2010,CANARIAS,5.4.-sustraccion de vehiculos,2929
2010,CANARIAS,5.5.-estafas,3335
2010,CANARIAS,5.5.1.-estafas informaticas,978
2010,CANARIAS,5.6.-danos,9348
2010,CANARIAS,5.7.-contra la propiedad intelectual/industrial,61
2010,CANARIAS,5.8.-blanqueo de capitales,2
2010,CANARIAS,5.9.-otros contra el patrimonio,841
2010,CANARIAS,6. seguridad colectiva,4187
2010,CANARIAS,6.1.-trafico de drogas,799
2010,CANARIAS,6.2.-contra la seguridad vial,3267
2010,CANARIAS,6.3.-otros contra la seguridad colectiva,121
2010,CANARIAS,7. falsedades,439
2010,CANARIAS,8. admon. publica,22
2010,CANARIAS,9. admon. justicia,1312
2010,CANARIAS,total infracciones penales,93965
2010,CANTABRIA,1. contra las personas,3564
2010,CANTABRIA,1.1.-homicidios dolosos/asesinatos,7
2010,CANTABRIA,1.1.1.-homicidios dolosos/asesinatos consumados,2
2010,CANTABRIA,1.2.-lesiones,1519
2010,CANTABRIA,1.3.-malos tratos ambito familiar,562
2010,CANTABRIA,1.4.-otros contra las personas,1476
2010,CANTABRIA,10. orden publico,412
2010,CANTABRIA,11. legislacion especial,1
2010,CANTABRIA,12. otras infracciones penales,73
2010,CANTABRIA,2. contra la libertad,375
2010,CANTABRIA,2.1.-malos tratos habituales en el ambito familiar,188
2010,CANTABRIA,2.2.-otros contra la libertad,187
2010,CANTABRIA,3. libertad sexual,106
2010,CANTABRIA,3.1.-agresion sexual,44
2010,CANTABRIA,3.2.-agresion sexual con penetracion,22
2010,CANTABRIA,3.3.-corrupcion de menores o incapacitados,5
2010,CANTABRIA,3.4.-pornografia de menores,16
2010,CANTABRIA,3.5.-otros contra la libertad sexual,19
2010,CANTABRIA,4. relaciones familiares,56
2010,CANTABRIA,5. patrimonio,11770
2010,CANTABRIA,5.1.-hurtos,5194
2010,CANTABRIA,5.2.-robos con fuerza en las cosas,2547
2010,CANTABRIA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,383
2010,CANTABRIA,5.2.2.-robos con fuerza en viviendas,604
2010,CANTABRIA,5.2.3.-robos con fuerza en establecimientos,641
2010,CANTABRIA,5.3.-robos con violencia o intimidacion,397
2010,CANTABRIA,5.3.1.-robos con violencia en via publica,277
2010,CANTABRIA,5.3.2.-robos con violencia en viviendas,27
2010,CANTABRIA,5.3.3.-robos con violencia en establecimientos,70
2010,CANTABRIA,5.4.-sustraccion de vehiculos,396
2010,CANTABRIA,5.5.-estafas,681
2010,CANTABRIA,5.5.1.-estafas informaticas,210
2010,CANTABRIA,5.6.-danos,2286
2010,CANTABRIA,5.7.-contra la propiedad intelectual/industrial,31
2010,CANTABRIA,5.8.-blanqueo de capitales,16
2010,CANTABRIA,5.9.-otros contra el patrimonio,222
2010,CANTABRIA,6. seguridad colectiva,777
2010,CANTABRIA,6.1.-trafico de drogas,102
2010,CANTABRIA,6.2.-contra la seguridad vial,637
2010,CANTABRIA,6.3.-otros contra la seguridad colectiva,38
2010,CANTABRIA,7. falsedades,104
2010,CANTABRIA,8. admon. publica,3
2010,CANTABRIA,9. admon. justicia,246
2010,CANTABRIA,total infracciones penales,17487
2010,CASTILLA - LA MANCHA,1. contra las personas,12305
2010,CASTILLA - LA MANCHA,1.1.-homicidios dolosos/asesinatos,44
2010,CASTILLA - LA MANCHA,1.1.1.-homicidios dolosos/asesinatos consumados,12
2010,CASTILLA - LA MANCHA,1.2.-lesiones,4506
2010,CASTILLA - LA MANCHA,1.3.-malos tratos ambito familiar,2635
2010,CASTILLA - LA MANCHA,1.4.-otros contra las personas,5120
2010,CASTILLA - LA MANCHA,10. orden publico,1275
2010,CASTILLA - LA MANCHA,11. legislacion especial,1
2010,CASTILLA - LA MANCHA,12. otras infracciones penales,211
2010,CASTILLA - LA MANCHA,2. contra la libertad,1099
2010,CASTILLA - LA MANCHA,2.1.-malos tratos habituales en el ambito familiar,494
2010,CASTILLA - LA MANCHA,2.2.-otros contra la libertad,605
2010,CASTILLA - LA MANCHA,3. libertad sexual,307
2010,CASTILLA - LA MANCHA,3.1.-agresion sexual,174
2010,CASTILLA - LA MANCHA,3.2.-agresion sexual con penetracion,47
2010,CASTILLA - LA MANCHA,3.3.-corrupcion de menores o incapacitados,10
2010,CASTILLA - LA MANCHA,3.4.-pornografia de menores,24
2010,CASTILLA - LA MANCHA,3.5.-otros contra la libertad sexual,52
2010,CASTILLA - LA MANCHA,4. relaciones familiares,222
2010,CASTILLA - LA MANCHA,5. patrimonio,50702
2010,CASTILLA - LA MANCHA,5.1.-hurtos,17432
2010,CASTILLA - LA MANCHA,5.2.-robos con fuerza en las cosas,17045
2010,CASTILLA - LA MANCHA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2249
2010,CASTILLA - LA MANCHA,5.2.2.-robos con fuerza en viviendas,5049
2010,CASTILLA - LA MANCHA,5.2.3.-robos con fuerza en establecimientos,2867
2010,CASTILLA - LA MANCHA,5.3.-robos con violencia o intimidacion,1220
2010,CASTILLA - LA MANCHA,5.3.1.-robos con violencia en via publica,772
2010,CASTILLA - LA MANCHA,5.3.2.-robos con violencia en viviendas,95
2010,CASTILLA - LA MANCHA,5.3.3.-robos con violencia en establecimientos,226
2010,CASTILLA - LA MANCHA,5.4.-sustraccion de vehiculos,1876
2010,CASTILLA - LA MANCHA,5.5.-estafas,2754
2010,CASTILLA - LA MANCHA,5.5.1.-estafas informaticas,689
2010,CASTILLA - LA MANCHA,5.6.-danos,9568
2010,CASTILLA - LA MANCHA,5.7.-contra la propiedad intelectual/industrial,81
2010,CASTILLA - LA MANCHA,5.8.-blanqueo de capitales,6
2010,CASTILLA - LA MANCHA,5.9.-otros contra el patrimonio,720
2010,CASTILLA - LA MANCHA,6. seguridad colectiva,3775
2010,CASTILLA - LA MANCHA,6.1.-trafico de drogas,409
2010,CASTILLA - LA MANCHA,6.2.-contra la seguridad vial,3269
2010,CASTILLA - LA MANCHA,6.3.-otros contra la seguridad colectiva,97
2010,CASTILLA - LA MANCHA,7. falsedades,550
2010,CASTILLA - LA MANCHA,8. admon. publica,7
2010,CASTILLA - LA MANCHA,9. admon. justicia,1149
2010,CASTILLA - LA MANCHA,total infracciones penales,71603
2010,CASTILLA Y LEON,1. contra las personas,14241
2010,CASTILLA Y LEON,1.1.-homicidios dolosos/asesinatos,38
2010,CASTILLA Y LEON,1.1.1.-homicidios dolosos/asesinatos consumados,10
2010,CASTILLA Y LEON,1.2.-lesiones,5484
2010,CASTILLA Y LEON,1.3.-malos tratos ambito familiar,2214
2010,CASTILLA Y LEON,1.4.-otros contra las personas,6505
2010,CASTILLA Y LEON,10. orden publico,1539
2010,CASTILLA Y LEON,11. legislacion especial,2
2010,CASTILLA Y LEON,12. otras infracciones penales,294
2010,CASTILLA Y LEON,2. contra la libertad,1260
2010,CASTILLA Y LEON,2.1.-malos tratos habituales en el ambito familiar,569
2010,CASTILLA Y LEON,2.2.-otros contra la libertad,691
2010,CASTILLA Y LEON,3. libertad sexual,295
2010,CASTILLA Y LEON,3.1.-agresion sexual,155
2010,CASTILLA Y LEON,3.2.-agresion sexual con penetracion,41
2010,CASTILLA Y LEON,3.3.-corrupcion de menores o incapacitados,7
2010,CASTILLA Y LEON,3.4.-pornografia de menores,34
2010,CASTILLA Y LEON,3.5.-otros contra la libertad sexual,58
2010,CASTILLA Y LEON,4. relaciones familiares,229
2010,CASTILLA Y LEON,5. patrimonio,61232
2010,CASTILLA Y LEON,5.1.-hurtos,28537
2010,CASTILLA Y LEON,5.2.-robos con fuerza en las cosas,13339
2010,CASTILLA Y LEON,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2862
2010,CASTILLA Y LEON,5.2.2.-robos con fuerza en viviendas,2802
2010,CASTILLA Y LEON,5.2.3.-robos con fuerza en establecimientos,2865
2010,CASTILLA Y LEON,5.3.-robos con violencia o intimidacion,1321
2010,CASTILLA Y LEON,5.3.1.-robos con violencia en via publica,818
2010,CASTILLA Y LEON,5.3.2.-robos con violencia en viviendas,110
2010,CASTILLA Y LEON,5.3.3.-robos con violencia en establecimientos,273
2010,CASTILLA Y LEON,5.4.-sustraccion de vehiculos,1410
2010,CASTILLA Y LEON,5.5.-estafas,3173
2010,CASTILLA Y LEON,5.5.1.-estafas informaticas,845
2010,CASTILLA Y LEON,5.6.-danos,12712
2010,CASTILLA Y LEON,5.7.-contra la propiedad intelectual/industrial,78
2010,CASTILLA Y LEON,5.8.-blanqueo de capitales,5
2010,CASTILLA Y LEON,5.9.-otros contra el patrimonio,657
2010,CASTILLA Y LEON,6. seguridad colectiva,3843
2010,CASTILLA Y LEON,6.1.-trafico de drogas,339
2010,CASTILLA Y LEON,6.2.-contra la seguridad vial,3375
2010,CASTILLA Y LEON,6.3.-otros contra la seguridad colectiva,129
2010,CASTILLA Y LEON,7. falsedades,432
2010,CASTILLA Y LEON,8. admon. publica,12
2010,CASTILLA Y LEON,9. admon. justicia,1130
2010,CASTILLA Y LEON,total infracciones penales,84509
2010,CATALUNA,1. contra las personas,37650
2010,CATALUNA,1.1.-homicidios dolosos/asesinatos,270
2010,CATALUNA,1.1.1.-homicidios dolosos/asesinatos consumados,97
2010,CATALUNA,1.2.-lesiones,15552
2010,CATALUNA,1.3.-malos tratos ambito familiar,6481
2010,CATALUNA,1.4.-otros contra las personas,15347
2010,CATALUNA,10. orden publico,4677
2010,CATALUNA,11. legislacion especial,97
2010,CATALUNA,12. otras infracciones penales,1446
2010,CATALUNA,2. contra la libertad,10503
2010,CATALUNA,2.1.-malos tratos habituales en el ambito familiar,3878
2010,CATALUNA,2.2.-otros contra la libertad,6625
2010,CATALUNA,3. libertad sexual,1825
2010,CATALUNA,3.1.-agresion sexual,823
2010,CATALUNA,3.2.-agresion sexual con penetracion,495
2010,CATALUNA,3.3.-corrupcion de menores o incapacitados,59
2010,CATALUNA,3.4.-pornografia de menores,157
2010,CATALUNA,3.5.-otros contra la libertad sexual,291
2010,CATALUNA,4. relaciones familiares,1800
2010,CATALUNA,5. patrimonio,388023
2010,CATALUNA,5.1.-hurtos,181198
2010,CATALUNA,5.2.-robos con fuerza en las cosas,93702
2010,CATALUNA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,44719
2010,CATALUNA,5.2.2.-robos con fuerza en viviendas,21337
2010,CATALUNA,5.2.3.-robos con fuerza en establecimientos,26
2010,CATALUNA,5.3.-robos con violencia o intimidacion,25154
2010,CATALUNA,5.3.1.-robos con violencia en via publica,63
2010,CATALUNA,5.3.2.-robos con violencia en viviendas,1344
2010,CATALUNA,5.3.3.-robos con violencia en establecimientos,10
2010,CATALUNA,5.4.-sustraccion de vehiculos,12538
2010,CATALUNA,5.5.-estafas,16275
2010,CATALUNA,5.5.1.-estafas informaticas,552
2010,CATALUNA,5.6.-danos,47961
2010,CATALUNA,5.7.-contra la propiedad intelectual/industrial,596
2010,CATALUNA,5.8.-blanqueo de capitales,21
2010,CATALUNA,5.9.-otros contra el patrimonio,10578
2010,CATALUNA,6. seguridad colectiva,10534
2010,CATALUNA,6.1.-trafico de drogas,1715
2010,CATALUNA,6.2.-contra la seguridad vial,8624
2010,CATALUNA,6.3.-otros contra la seguridad colectiva,195
2010,CATALUNA,7. falsedades,4550
2010,CATALUNA,8. admon. publica,52
2010,CATALUNA,9. admon. justicia,3766
2010,CATALUNA,total infracciones penales,464923
2010,CIUDAD AUTONOMA DE CEUTA,1. contra las personas,833
2010,CIUDAD AUTONOMA DE CEUTA,1.1.-homicidios dolosos/asesinatos,5
2010,CIUDAD AUTONOMA DE CEUTA,1.1.1.-homicidios dolosos/asesinatos consumados,1
2010,CIUDAD AUTONOMA DE CEUTA,1.2.-lesiones,393
2010,CIUDAD AUTONOMA DE CEUTA,1.3.-malos tratos ambito familiar,71
2010,CIUDAD AUTONOMA DE CEUTA,1.4.-otros contra las personas,364
2010,CIUDAD AUTONOMA DE CEUTA,10. orden publico,160
2010,CIUDAD AUTONOMA DE CEUTA,11. legislacion especial,13
2010,CIUDAD AUTONOMA DE CEUTA,12. otras infracciones penales,52
2010,CIUDAD AUTONOMA DE CEUTA,2. contra la libertad,277
2010,CIUDAD AUTONOMA DE CEUTA,2.1.-malos tratos habituales en el ambito familiar,221
2010,CIUDAD AUTONOMA DE CEUTA,2.2.-otros contra la libertad,56
2010,CIUDAD AUTONOMA DE CEUTA,3. libertad sexual,18
2010,CIUDAD AUTONOMA DE CEUTA,3.1.-agresion sexual,9
2010,CIUDAD AUTONOMA DE CEUTA,3.2.-agresion sexual con penetracion,0
2010,CIUDAD AUTONOMA DE CEUTA,3.3.-corrupcion de menores o incapacitados,3
2010,CIUDAD AUTONOMA DE CEUTA,3.4.-pornografia de menores,3
2010,CIUDAD AUTONOMA DE CEUTA,3.5.-otros contra la libertad sexual,3
2010,CIUDAD AUTONOMA DE CEUTA,4. relaciones familiares,31
2010,CIUDAD AUTONOMA DE CEUTA,5. patrimonio,3053
2010,CIUDAD AUTONOMA DE CEUTA,5.1.-hurtos,983
2010,CIUDAD AUTONOMA DE CEUTA,5.2.-robos con fuerza en las cosas,723
2010,CIUDAD AUTONOMA DE CEUTA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,497
2010,CIUDAD AUTONOMA DE CEUTA,5.2.2.-robos con fuerza en viviendas,93
2010,CIUDAD AUTONOMA DE CEUTA,5.2.3.-robos con fuerza en establecimientos,49
2010,CIUDAD AUTONOMA DE CEUTA,5.3.-robos con violencia o intimidacion,189
2010,CIUDAD AUTONOMA DE CEUTA,5.3.1.-robos con violencia en via publica,141
2010,CIUDAD AUTONOMA DE CEUTA,5.3.2.-robos con violencia en viviendas,8
2010,CIUDAD AUTONOMA DE CEUTA,5.3.3.-robos con violencia en establecimientos,13
2010,CIUDAD AUTONOMA DE CEUTA,5.4.-sustraccion de vehiculos,436
2010,CIUDAD AUTONOMA DE CEUTA,5.5.-estafas,96
2010,CIUDAD AUTONOMA DE CEUTA,5.5.1.-estafas informaticas,60
2010,CIUDAD AUTONOMA DE CEUTA,5.6.-danos,553
2010,CIUDAD AUTONOMA DE CEUTA,5.7.-contra la propiedad intelectual/industrial,9
2010,CIUDAD AUTONOMA DE CEUTA,5.8.-blanqueo de capitales,0
2010,CIUDAD AUTONOMA DE CEUTA,5.9.-otros contra el patrimonio,64
2010,CIUDAD AUTONOMA DE CEUTA,6. seguridad colectiva,1381
2010,CIUDAD AUTONOMA DE CEUTA,6.1.-trafico de drogas,1116
2010,CIUDAD AUTONOMA DE CEUTA,6.2.-contra la seguridad vial,263
2010,CIUDAD AUTONOMA DE CEUTA,6.3.-otros contra la seguridad colectiva,2
2010,CIUDAD AUTONOMA DE CEUTA,7. falsedades,53
2010,CIUDAD AUTONOMA DE CEUTA,8. admon. publica,2
2010,CIUDAD AUTONOMA DE CEUTA,9. admon. justicia,101
2010,CIUDAD AUTONOMA DE CEUTA,total infracciones penales,5974
2010,CIUDAD AUTONOMA DE MELILLA,1. contra las personas,1011
2010,CIUDAD AUTONOMA DE MELILLA,1.1.-homicidios dolosos/asesinatos,4
2010,CIUDAD AUTONOMA DE MELILLA,1.1.1.-homicidios dolosos/asesinatos consumados,0
2010,CIUDAD AUTONOMA DE MELILLA,1.2.-lesiones,501
