ano,region,tipo,valor
2010,Canarias,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,409
2010,Canarias,5.2.2.-robos con fuerza en viviendas,935
2010,Canarias,5.2.3.-robos con fuerza en establecimientos,559
2010,Canarias,5.3.-robos con violencia o intimidacion,836
2010,Canarias,5.3.1.-robos con violencia en via publica,530
2010,Canarias,5.3.2.-robos con violencia en viviendas,72
2010,Canarias,5.3.3.-robos con violencia en establecimientos,159
2010,Canarias,5.4.-sustraccion de vehiculos,634
2010,Canarias,5.5.-estafas,1354
2010,Canarias,5.5.1.-estafas informaticas,226
2010,Canarias,5.6.-danos,2460
2010,Canarias,5.7.-contra la propiedad intelectual/industrial,60
2010,Canarias,5.8.-blanqueo de capitales,1
2010,Canarias,5.9.-otros contra el patrimonio,624
2010,Canarias,6. seguridad colectiva,4153
2010,Canarias,6.1.-trafico de drogas,799
2010,Canarias,6.2.-contra la seguridad vial,3269
2010,Canarias,6.3.-otros contra la seguridad colectiva,85
2010,Canarias,7. falsedades,326
2010,Canarias,8. admon. publica,18
2010,Canarias,9. admon. justicia,1311
2010,Canarias,total infracciones penales,43678
2010,Cantabria,1. contra las personas,3222
2010,Cantabria,1.1.-homicidios dolosos/asesinatos,6
2010,Cantabria,1.1.1.-homicidios dolosos/asesinatos consumados,1
2010,Cantabria,1.2.-lesiones,1331
2010,Cantabria,1.3.-malos tratos ambito familiar,557
2010,Cantabria,1.4.-otros contra las personas,1328
2010,Cantabria,10. orden publico,408
2010,Cantabria,11. legislacion especial,1
2010,Cantabria,12. otras infracciones penales,48
2010,Cantabria,2. contra la libertad,337
2010,Cantabria,2.1.-malos tratos habituales en el ambito familiar,188
2010,Cantabria,2.2.-otros contra la libertad,149
2010,Cantabria,3. libertad sexual,81
2010,Cantabria,3.1.-agresion sexual,33
2010,Cantabria,3.2.-agresion sexual con penetracion,21
2010,Cantabria,3.3.-corrupcion de menores o incapacitados,2
2010,Cantabria,3.4.-pornografia de menores,9
2010,Cantabria,3.5.-otros contra la libertad sexual,16
2010,Cantabria,4. relaciones familiares,57
2010,Cantabria,5. patrimonio,3029
2010,Cantabria,5.1.-hurtos,1173
2010,Cantabria,5.2.-robos con fuerza en las cosas,580
2010,Cantabria,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,56
2010,Cantabria,5.2.2.-robos con fuerza en viviendas,147
2010,Cantabria,5.2.3.-robos con fuerza en establecimientos,192
2010,Cantabria,5.3.-robos con violencia o intimidacion,179
2010,Cantabria,5.3.1.-robos con violencia en via publica,125
2010,Cantabria,5.3.2.-robos con violencia en viviendas,15
2010,Cantabria,5.3.3.-robos con violencia en establecimientos,29
2010,Cantabria,5.4.-sustraccion de vehiculos,84
2010,Cantabria,5.5.-estafas,297
2010,Cantabria,5.5.1.-estafas informaticas,69
2010,Cantabria,5.6.-danos,544
2010,Cantabria,5.7.-contra la propiedad intelectual/industrial,30
2010,Cantabria,5.8.-blanqueo de capitales,14
2010,Cantabria,5.9.-otros contra el patrimonio,128
2010,Cantabria,6. seguridad colectiva,773
2010,Cantabria,6.1.-trafico de drogas,101
2010,Cantabria,6.2.-contra la seguridad vial,640
2010,Cantabria,6.3.-otros contra la seguridad colectiva,32
2010,Cantabria,7. falsedades,79
2010,Cantabria,8. admon. publica,3
2010,Cantabria,9. admon. justicia,242
2010,Cantabria,total infracciones penales,8280
2010,Castilla y León,1. contra las personas,12415
2010,Castilla y León,1.1.-homicidios dolosos/asesinatos,35
2010,Castilla y León,1.1.1.-homicidios dolosos/asesinatos consumados,9
2010,Castilla y León,1.2.-lesiones,4665
2010,Castilla y León,1.3.-malos tratos ambito familiar,2218
2010,Castilla y León,1.4.-otros contra las personas,5497
2010,Castilla y León,10. orden publico,1504
2010,Castilla y León,11. legislacion especial,1
2010,Castilla y León,12. otras infracciones penales,218
2010,Castilla y León,2. contra la libertad,1197
2010,Castilla y León,2.1.-malos tratos habituales en el ambito familiar,565
2010,Castilla y León,2.2.-otros contra la libertad,632
2010,Castilla y León,3. libertad sexual,231
2010,Castilla y León,3.1.-agresion sexual,126
2010,Castilla y León,3.2.-agresion sexual con penetracion,33
2010,Castilla y León,3.3.-corrupcion de menores o incapacitados,7
2010,Castilla y León,3.4.-pornografia de menores,21
2010,Castilla y León,3.5.-otros contra la libertad sexual,44
2010,Castilla y León,4. relaciones familiares,220
2010,Castilla y León,5. patrimonio,12960
2010,Castilla y León,5.1.-hurtos,4792
2010,Castilla y León,5.2.-robos con fuerza en las cosas,2857
2010,Castilla y León,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,757
2010,Castilla y León,5.2.2.-robos con fuerza en viviendas,608
2010,Castilla y León,5.2.3.-robos con fuerza en establecimientos,609
2010,Castilla y León,5.3.-robos con violencia o intimidacion,572
2010,Castilla y León,5.3.1.-robos con violencia en via publica,337
2010,Castilla y León,5.3.2.-robos con violencia en viviendas,42
2010,Castilla y León,5.3.3.-robos con violencia en establecimientos,141
2010,Castilla y León,5.4.-sustraccion de vehiculos,532
2010,Castilla y León,5.5.-estafas,1418
2010,Castilla y León,5.5.1.-estafas informaticas,301
2010,Castilla y León,5.6.-danos,2250
2010,Castilla y León,5.7.-contra la propiedad intelectual/industrial,77
2010,Castilla y León,5.8.-blanqueo de capitales,5
2010,Castilla y León,5.9.-otros contra el patrimonio,457
2010,Castilla y León,6. seguridad colectiva,3799
2010,Castilla y León,6.1.-trafico de drogas,340
2010,Castilla y León,6.2.-contra la seguridad vial,3361
2010,Castilla y León,6.3.-otros contra la seguridad colectiva,98
2010,Castilla y León,7. falsedades,332
2010,Castilla y León,8. admon. publica,12
2010,Castilla y León,9. admon. justicia,1129
2010,Castilla y León,total infracciones penales,34018
2010,Castilla-La Mancha,1. contra las personas,11015
2010,Castilla-La Mancha,1.1.-homicidios dolosos/asesinatos,41
2010,Castilla-La Mancha,1.1.1.-homicidios dolosos/asesinatos consumados,11
2010,Castilla-La Mancha,1.2.-lesiones,3918
2010,Castilla-La Mancha,1.3.-malos tratos ambito familiar,2658
2010,Castilla-La Mancha,1.4.-otros contra las personas,4398
2010,Castilla-La Mancha,10. orden publico,1260
2010,Castilla-La Mancha,11. legislacion especial,1
2010,Castilla-La Mancha,12. otras infracciones penales,169
2010,Castilla-La Mancha,2. contra la libertad,1055
2010,Castilla-La Mancha,2.1.-malos tratos habituales en el ambito familiar,492
2010,Castilla-La Mancha,2.2.-otros contra la libertad,563
2010,Castilla-La Mancha,3. libertad sexual,252
2010,Castilla-La Mancha,3.1.-agresion sexual,149
2010,Castilla-La Mancha,3.2.-agresion sexual con penetracion,40
2010,Castilla-La Mancha,3.3.-corrupcion de menores o incapacitados,6
2010,Castilla-La Mancha,3.4.-pornografia de menores,13
2010,Castilla-La Mancha,3.5.-otros contra la libertad sexual,44
2010,Castilla-La Mancha,4. relaciones familiares,216
2010,Castilla-La Mancha,5. patrimonio,11156
2010,Castilla-La Mancha,5.1.-hurtos,3429
2010,Castilla-La Mancha,5.2.-robos con fuerza en las cosas,3251
2010,Castilla-La Mancha,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,438
2010,Castilla-La Mancha,5.2.2.-robos con fuerza en viviendas,897
2010,Castilla-La Mancha,5.2.3.-robos con fuerza en establecimientos,639
2010,Castilla-La Mancha,5.3.-robos con violencia o intimidacion,549
2010,Castilla-La Mancha,5.3.1.-robos con violencia en via publica,337
2010,Castilla-La Mancha,5.3.2.-robos con violencia en viviendas,47
2010,Castilla-La Mancha,5.3.3.-robos con violencia en establecimientos,104
2010,Castilla-La Mancha,5.4.-sustraccion de vehiculos,570
2010,Castilla-La Mancha,5.5.-estafas,1215
2010,Castilla-La Mancha,5.5.1.-estafas informaticas,262
2010,Castilla-La Mancha,5.6.-danos,1520
2010,Castilla-La Mancha,5.7.-contra la propiedad intelectual/industrial,78
2010,Castilla-La Mancha,5.8.-blanqueo de capitales,6
2010,Castilla-La Mancha,5.9.-otros contra el patrimonio,538
2010,Castilla-La Mancha,6. seguridad colectiva,3735
2010,Castilla-La Mancha,6.1.-trafico de drogas,403
2010,Castilla-La Mancha,6.2.-contra la seguridad vial,3256
2010,Castilla-La Mancha,6.3.-otros contra la seguridad colectiva,76
2010,Castilla-La Mancha,7. falsedades,379
2010,Castilla-La Mancha,8. admon. publica,7
2010,Castilla-La Mancha,9. admon. justicia,1163
2010,Castilla-La Mancha,total infracciones penales,30408
2010,Cataluña,1. contra las personas,34057
2010,Cataluña,1.1.-homicidios dolosos/asesinatos,266
