ano,l_he_rate,l_share_extranjeros,l_pib_pc_real
2010,8.437374430111266,-2.162992090774482,10.106836476522158
2011,8.445507905156594,-2.182592733638803,10.096584182498042
2012,8.437801839211208,-2.208392195476777,10.067305637765523
2013,8.455543025706733,-2.259603611961879,10.056637732029802
2014,8.427663607889933,-2.3291937908369236,10.074495349429808
2015,8.346954780219429,-2.3520982941485964,10.115367911571628
2016,8.320487448474637,-2.359508327036664,10.143291544743445
2017,8.338896230734298,-2.34659384908991,10.170073661693175
2018,8.360889018716701,-2.302282518971194,10.189418091949102
2019,8.395535509016428,-2.2358698977905647,10.200996185805645
2022,8.481000094138787,-2.1110192107094155,10.1950371365144
2023,8.565577135864581,-2.0396010578613226,10.20913232536208
