X.Intercept.,X.L.l_hc_rate..1..,l_share_extranjeros,l_pib_pc_real,X.L.l_pib_pc_real..1..
1,9.642897263285288,-2.182592733638803,10.096584182498042,10.106836476522158
1,9.631573585978591,-2.208392195476777,10.067305637765523,10.096584182498042
1,9.62862786191915,-2.259603611961879,10.056637732029802,10.067305637765523
1,9.587487297779742,-2.3291937908369236,10.074495349429808,10.056637732029802
1,9.54997790333394,-2.3520982941485964,10.115367911571628,10.074495349429808
1,9.52786795321473,-2.359508327036664,10.143291544743445,10.115367911571628
1,9.5166584903291,-2.34659384908991,10.170073661693175,10.143291544743445
1,9.533316272141844,-2.302282518971194,10.189418091949102,10.170073661693175
1,9.573263242715752,-2.2358698977905647,10.200996185805645,10.189418091949102
1,9.602345991254987,-2.181262497028702,10.079539496316489,10.200996185805645
1,9.387777040986611,-2.176911408336921,10.144078017454058,10.079539496316489
1,9.49010760490351,-2.1110192107094155,10.1950371365144,10.144078017454058
1,9.65536740321338,-2.0396010578613226,10.20913232536208,10.1950371365144
