X.Intercept.,X.L.l_he_rate..1..,l_share_extranjeros,X.L.l_share_extranjeros..1..,l_pib_pc_real
1,8.437374430111266,-2.182592733638803,-2.162992090774482,10.096584182498042
1,8.445507905156594,-2.208392195476777,-2.182592733638803,10.067305637765523
1,8.437801839211208,-2.259603611961879,-2.208392195476777,10.056637732029802
1,8.455543025706733,-2.3291937908369236,-2.259603611961879,10.074495349429808
1,8.427663607889933,-2.3520982941485964,-2.3291937908369236,10.115367911571628
1,8.346954780219429,-2.359508327036664,-2.3520982941485964,10.143291544743445
1,8.320487448474637,-2.34659384908991,-2.359508327036664,10.170073661693175
1,8.338896230734298,-2.302282518971194,-2.34659384908991,10.189418091949102
1,8.360889018716701,-2.2358698977905647,-2.302282518971194,10.200996185805645
1,8.395535509016428,-2.181262497028702,-2.2358698977905647,10.079539496316489
1,8.26000681267902,-2.176911408336921,-2.181262497028702,10.144078017454058
1,8.368840854844944,-2.1110192107094155,-2.176911408336921,10.1950371365144
1,8.481000094138787,-2.0396010578613226,-2.1110192107094155,10.20913232536208
