X.Intercept.,X.L.l_hc_rate..1..,l_share_extranjeros,X.L.l_share_extranjeros..1..,X.L.l_share_extranjeros..2..,l_pib_pc_real,X.L.l_pib_pc_real..1..,X.L.l_pib_pc_real..2..
1,9.631573585978591,-2.208392195476777,-2.182592733638803,-2.162992090774482,10.067305637765523,10.096584182498042,10.106836476522158
1,9.62862786191915,-2.259603611961879,-2.208392195476777,-2.182592733638803,10.056637732029802,10.067305637765523,10.096584182498042
1,9.587487297779742,-2.3291937908369236,-2.259603611961879,-2.208392195476777,10.074495349429808,10.056637732029802,10.067305637765523
1,9.54997790333394,-2.3520982941485964,-2.3291937908369236,-2.259603611961879,10.115367911571628,10.074495349429808,10.056637732029802
1,9.52786795321473,-2.359508327036664,-2.3520982941485964,-2.3291937908369236,10.143291544743445,10.115367911571628,10.074495349429808
1,9.5166584903291,-2.34659384908991,-2.359508327036664,-2.3520982941485964,10.170073661693175,10.143291544743445,10.115367911571628
1,9.533316272141844,-2.302282518971194,-2.34659384908991,-2.359508327036664,10.189418091949102,10.170073661693175,10.143291544743445
1,9.573263242715752,-2.2358698977905647,-2.302282518971194,-2.34659384908991,10.200996185805645,10.189418091949102,10.170073661693175
1,9.602345991254987,-2.1110192107094155,-2.2358698977905647,-2.302282518971194,10.1950371365144,10.200996185805645,10.189418091949102
1,9.65536740321338,-2.0396010578613226,-2.1110192107094155,-2.2358698977905647,10.20913232536208,10.1950371365144,10.200996185805645
