X.Intercept.,X.L.l_det_ext_rate..1..,l_share_extranjeros,l_pib_pc_real,X.L.l_pib_pc_real..1..
1,6.5265333502528735,-2.182592733638803,10.096584182498042,10.106836476522158
1,6.74997219542082,-2.208392195476777,10.067305637765523,10.096584182498042
1,6.702905087575571,-2.259603611961879,10.056637732029802,10.067305637765523
1,6.671454286559223,-2.3291937908369236,10.074495349429808,10.056637732029802
1,6.526085705979224,-2.3520982941485964,10.115367911571628,10.074495349429808
1,6.355924156560478,-2.359508327036664,10.143291544743445,10.115367911571628
1,6.343141247216149,-2.34659384908991,10.170073661693175,10.143291544743445
1,6.356535880048133,-2.302282518971194,10.189418091949102,10.170073661693175
1,6.429134521372624,-2.2358698977905647,10.200996185805645,10.189418091949102
1,6.502415928085126,-2.181262497028702,10.079539496316489,10.200996185805645
1,6.696931760311817,-2.176911408336921,10.144078017454058,10.079539496316489
1,6.803425571454054,-2.1110192107094155,10.1950371365144,10.144078017454058
1,6.970976828898647,-2.0396010578613226,10.20913232536208,10.1950371365144
